
[00:00:00.000 --> 00:00:02.740]  願意與我們一起禱告
[00:00:02.740 --> 00:00:06.220]  前衛的聖天父,我們滿心感謝,讚美你
[00:00:06.220 --> 00:00:08.220]  我們是你的兒女
[00:00:08.220 --> 00:00:11.320]  今天你讓我們活在這個時代裏
[00:00:11.320 --> 00:00:16.320]  你讓我們有很多機會與不同的人與事有相遇
[00:00:16.320 --> 00:00:18.320]  我們願意主你幫助我們
[00:00:18.320 --> 00:00:20.320]  我們每一次與人相遇的時候
[00:00:20.320 --> 00:00:22.720]  我們都不是將事情過了就算了
[00:00:22.720 --> 00:00:24.920]  而是每一個相遇的過程裏
[00:00:24.920 --> 00:00:29.680]  我們深信主一定是有一些功課要我們學習
[00:00:29.680 --> 00:00:32.800]  一定有一些教導要我們提醒
[00:00:32.800 --> 00:00:35.640]  有一些事情我們要去共勉
[00:00:35.640 --> 00:00:40.080]  主你今天藉著我們看路德記的信息裏面
[00:00:40.080 --> 00:00:42.800]  我們願意你親自與我們說話
[00:00:42.800 --> 00:00:45.880]  透過路德記裏面不同的人物
[00:00:45.880 --> 00:00:48.360]  擺放在不同的位置上
[00:00:48.360 --> 00:00:51.800]  讓我們再思想今天我們作為你的兒女
[00:00:51.800 --> 00:00:55.160]  我們面對一個好像很混亂的社會
[00:00:55.160 --> 00:00:56.480]  很混亂的情況裏面
[00:00:56.480 --> 00:00:58.480]  我們怎樣去自處
[00:00:58.480 --> 00:01:03.400]  我們怎樣去關注神給我們看到周圍發生的事情
[00:01:03.400 --> 00:01:04.840]  願意你去幫助我們
[00:01:04.840 --> 00:01:08.560]  你的信息成為我們的激勵和提醒
[00:01:08.560 --> 00:01:10.280]  願你的靈與我們同在
[00:01:10.280 --> 00:01:12.720]  垂聽我們眾人在你面前的禱告
[00:01:12.720 --> 00:01:13.920]  祈禱感恩交托
[00:01:13.920 --> 00:01:16.360]  奉基督寶貴名字祈求
[00:01:16.360 --> 00:01:17.640]  阿門
[00:01:17.640 --> 00:01:22.920]  今天我們想分享的一個主題是愛中相遇
[00:01:22.920 --> 00:01:26.000]  愛中相遇其實就是我們原本在夏令會裏面
[00:01:26.000 --> 00:01:27.720]  我們去籌備的時候
[00:01:27.720 --> 00:01:29.240]  我就跟籌委說
[00:01:29.240 --> 00:01:35.520]  咦 不如我們嘗試一下將路德記裏面的信息裏面的相遇
[00:01:35.520 --> 00:01:38.960]  去成為我們夏令會裏面的一個信息
[00:01:38.960 --> 00:01:41.760]  這件事後來就沒有成就
[00:01:41.760 --> 00:01:43.800]  但是很奇妙的就是
[00:01:43.800 --> 00:01:46.640]  當我們看《每日讀經識2》的進度
[00:01:46.640 --> 00:01:49.360]  這幾天我們正正就是在看路德記
[00:01:49.360 --> 00:01:51.880]  路德記其實是一本特別的書
[00:01:51.880 --> 00:01:56.560]  它的特別之處就是它與事思記很有關係
[00:01:56.560 --> 00:01:59.120]  你記得事思記裏面最後那句話
[00:01:59.120 --> 00:02:00.840]  21章25節說
[00:02:00.840 --> 00:02:03.160]  那時以色列中活有亡
[00:02:03.160 --> 00:02:08.440]  各人照自己眼中所看為對的去做
[00:02:08.440 --> 00:02:10.400]  事思記是一個混亂的時代
[00:02:10.400 --> 00:02:12.280]  事思記讓我們看到
[00:02:12.280 --> 00:02:13.960]  無論是百姓
[00:02:13.960 --> 00:02:15.720]  無論是領袖
[00:02:15.720 --> 00:02:18.920]  他們都是在屬靈的低潮當中
[00:02:18.920 --> 00:02:20.840]  所以事思記很出名的一個地方
[00:02:20.840 --> 00:02:24.720]  就是一個不斷的循環
[00:02:24.720 --> 00:02:28.640]  而這個循環是不斷向下的循環
[00:02:28.640 --> 00:02:31.600]  我們看到事思記給我們的景象就是
[00:02:31.600 --> 00:02:34.800]  當百姓遠離神的時候
[00:02:34.800 --> 00:02:36.960]  百姓就向神呼求
[00:02:36.960 --> 00:02:38.280]  神聽他們所求
[00:02:38.280 --> 00:02:41.560]  就派一位事思去帶領他們
[00:02:41.560 --> 00:02:43.920]  去得勝他們的敵人
[00:02:43.920 --> 00:02:46.800]  可惜這個事思過了沒多久之後
[00:02:46.800 --> 00:02:50.360]  他又再一次帶領百姓遠離神
[00:02:50.360 --> 00:02:53.560]  所以這個過程一直延伸下去
[00:02:53.560 --> 00:02:55.800]  以致整個事思時代我們看到
[00:02:55.800 --> 00:02:58.600]  好像是一個惡勢力
[00:02:58.600 --> 00:03:01.320]  不能夠有一種開脫的時間
[00:03:01.320 --> 00:03:02.840]  但是同樣我們看到
[00:03:02.840 --> 00:03:04.520]  在事思的時代裏面
[00:03:04.520 --> 00:03:05.920]  同一個時代
