
[00:00:00.000 --> 00:00:02.000]  靈姐妹平安
[00:00:02.000 --> 00:00:08.000]  我們先預祷告預備我們心去領受主的道
[00:00:08.000 --> 00:00:12.000]  天父求你賜下你的聖靈在我們當中運行
[00:00:12.000 --> 00:00:14.000]  指教我們
[00:00:14.000 --> 00:00:19.000]  我們當中有很多人覺得疲乏、困倦
[00:00:19.000 --> 00:00:22.000]  有些人內心可能感到
[00:00:22.000 --> 00:00:25.000]  似乎在靈裡面有一份麻木
[00:00:25.000 --> 00:00:31.000]  有一種很難聽到自己聲音的感受
[00:00:31.000 --> 00:00:34.000]  主一切的障礙求你幫助我們撈開
[00:00:34.000 --> 00:00:38.000]  我們深信你的聖言是建立我們的生命
[00:00:38.000 --> 00:00:40.000]  是賜力量給疲乏的人
[00:00:40.000 --> 00:00:44.000]  也鼓勵輔助軟弱灰心的人
[00:00:44.000 --> 00:00:48.000]  我們求你用你的話語去幫助我們
[00:00:48.000 --> 00:00:52.000]  讓我們蒙恩又知道傳感恩的心去生活
[00:00:52.000 --> 00:00:55.000]  祈禱奉賢賛明德
[00:01:23.000 --> 00:01:25.000]  所以如果要看牙的話
[00:01:25.000 --> 00:01:28.000]  他自己額外要付出很多金錢
[00:01:28.000 --> 00:01:31.000]  你鄉別井賺錢很辛苦
[00:01:31.000 --> 00:01:35.000]  但花很多錢去做這個要護你的牙齒
[00:01:35.000 --> 00:01:36.000]  很多都不肯做
[00:01:36.000 --> 00:01:38.000]  所以結果有很多壞牙
[00:01:38.000 --> 00:01:40.000]  有很多牙周病等等的問題
[00:01:40.000 --> 00:01:45.000]  所以他們和另一位牙醫就開始了一個服事
[00:01:45.000 --> 00:01:47.000]  叫做Beautiful Smile Ministry
[00:01:47.000 --> 00:01:50.000]  讓人可以展開一個美麗的笑容
[00:01:50.000 --> 00:01:52.000]  因為不怕牙齒有問題
[00:01:52.000 --> 00:01:53.000]  不能見人
[00:01:53.000 --> 00:01:57.000]  所以做好牙齒就可以有一個美麗的笑容
[00:01:57.000 --> 00:02:00.000]  他們開始善行的時候
[00:02:00.000 --> 00:02:02.000]  他們就陸續發現一些不同的需要
[00:02:02.000 --> 00:02:05.000]  包括很多本地貧窮的人
[00:02:05.000 --> 00:02:06.000]  南亞裔人士
[00:02:06.000 --> 00:02:07.000]  有些吸毒的人
[00:02:07.000 --> 00:02:11.000]  因為吸毒的緣故牙齒壞得很嚴重
[00:02:11.000 --> 00:02:14.000]  這些人都很需要牙科的護理
[00:02:14.000 --> 00:02:16.000]  漸漸地因為他們所做的事情
[00:02:16.000 --> 00:02:19.000]  吸引了有十多位的牙科醫生和護士
[00:02:19.000 --> 00:02:21.000]  加入了他們的行列
[00:02:21.000 --> 00:02:25.000]  他們就在禮拜天去做這個服事
[00:02:25.000 --> 00:02:29.000]  結果他們一個星期就做了七天的服事
[00:02:29.000 --> 00:02:31.000]  當中一位醫生說
[00:02:31.000 --> 00:02:35.000]  其實我們有機會認識每一位到訪的人
[00:02:35.000 --> 00:02:37.000]  可以聽聽他們內心的感受
[00:02:37.000 --> 00:02:42.000]  嘗試從信仰的角度去看人的需要去回應
[00:02:42.000 --> 00:02:45.000]  雖然不是每一次都能夠有很多實質的幫助
[00:02:45.000 --> 00:02:49.000]  但是覺得可以聽到他們的心聲
[00:02:49.000 --> 00:02:51.000]  讓他們可以抒發自己生活的難處
[00:02:51.000 --> 00:02:53.000]  其實對他們來說
[00:02:53.000 --> 00:02:55.000]  對於服事的人來說
[00:02:55.000 --> 00:02:56.000]  都是一份收穫
[00:02:56.000 --> 00:02:57.000]  能夠這樣去服事人
[00:02:57.000 --> 00:03:01.000]  他說曾經有一個外傭去到診所的時候
[00:03:01.000 --> 00:03:04.000]  他就發現原來這個診所是基督徒辦的
[00:03:04.000 --> 00:03:06.000]  因為這個外傭是穆斯林背景的
[00:03:06.000 --> 00:03:08.000]  所以他就很想離開
[00:03:08.000 --> 00:03:12.000]  不過其他的同鄉就紛紛勸他留下
[00:03:12.000 --> 00:03:16.000]  他就改變了心意留下來觀察
[00:03:16.000 --> 00:03:18.000]  和大家走一走
[00:03:18.000 --> 00:03:20.000]  家常當中就開始放鬆了
[00:03:20.000 --> 00:03:23.000]  結果後來他就真的去接受
[00:03:23.000 --> 00:03:26.000]  進了治療室去接受一個治療
[00:03:26.000 --> 00:03:28.000]  他又非常緊張
[00:03:28.000 --> 00:03:29.000]  不過很感恩
[00:03:29.000 --> 00:03:32.000]  有一個印尼籍的宣教士在那裡做翻譯
[00:03:32.000 --> 00:03:34.000]  幫助大家溝通
[00:03:34.000 --> 00:03:36.000]  結果就可以和他很詳細的解釋
[00:03:36.000 --> 00:03:38.000]  他牙周病的狀況
[00:03:38.000 --> 00:03:40.000]  又捉住他的手去祈禱
[00:03:40.000 --> 00:03:43.000]  他感動得流了眼淚
[00:03:43.000 --> 00:03:45.000]  治療完之後
[00:03:45.000 --> 00:03:49.000]  一大班接受治療的人一起去唱詩歌
[00:03:49.000 --> 00:03:52.000]  又講述自己的一些不同的經歷
