
[00:00:00.000 --> 00:00:02.000]  好,弟兄姊妹平安
[00:00:02.000 --> 00:00:04.000]  好,我們再一次低頭祈禱
[00:00:04.000 --> 00:00:09.000]  天父,我們多謝你今天給我們一齊來到你面前去聚會
[00:00:09.000 --> 00:00:14.000]  在七天的第一天,我們先是來到你面前去敬拜
[00:00:14.000 --> 00:00:18.000]  開始這一個禮拜的新的開始的時候
[00:00:18.000 --> 00:00:23.000]  我們獻上感恩,求你都是藉著今天我們一齊的崇拜
[00:00:23.000 --> 00:00:26.000]  一齊聽你的說話的時候,你跟我們講說話
[00:00:26.000 --> 00:00:30.000]  讓我們聽到不單止是人的聲音,更加是聽到你的呼喚
[00:00:30.000 --> 00:00:35.000]  讓我們開始四十天標竿人生運動的時候
[00:00:35.000 --> 00:00:39.000]  更加讓我們的人生充滿了目標
[00:00:39.000 --> 00:00:41.000]  以及更加知道我們的意義
[00:00:41.000 --> 00:00:43.000]  奉天書基督教民祈求,阿們
[00:00:43.000 --> 00:00:48.000]  好了,今天大家可能都知道了
[00:00:48.000 --> 00:00:55.000]  今天就是我們四十天標竿人生運動的第一天開始
[00:00:55.000 --> 00:01:00.000]  這個四十天標竿人生,或者解釋一下
[00:01:00.000 --> 00:01:08.000]  有六個禮拜,在這六個禮拜,我們每一堂講道都是相關的
[00:01:08.000 --> 00:01:13.000]  如果你買了那本書,你可以開始看了
[00:01:13.000 --> 00:01:21.000]  每天看一章,看四十天,剛剛就會完成
[00:01:21.000 --> 00:01:27.000]  也鼓勵大家,如果你還沒有參加小組,就要參加小組
[00:01:27.000 --> 00:01:31.000]  因為除了聽道,除了看書之外
[00:01:31.000 --> 00:01:37.000]  其實我們去探討人生的意義和目標
[00:01:37.000 --> 00:01:39.000]  不只是我們自己一個人的
[00:01:39.000 --> 00:01:46.000]  是一個群體一齊來當中思想神所交託給我們
[00:01:46.000 --> 00:01:51.000]  所以我們在小組當中就會一起討論
[00:01:51.000 --> 00:01:55.000]  我們小組會先看一個影片,然後也會討論
[00:01:55.000 --> 00:01:57.000]  我們有不同的小組
[00:01:57.000 --> 00:02:03.000]  如果你平時已經有參加小組,當然就去你的小組
[00:02:03.000 --> 00:02:10.000]  小組會有一本workbook,有一本小手冊
[00:02:10.000 --> 00:02:16.000]  如果你還沒有拿到小手冊,就聯絡你的小組的負責人
[00:02:16.000 --> 00:02:25.000]  記得拿回小手冊,到小組的時候就用那本小手冊去討論
[00:02:25.000 --> 00:02:31.000]  如果你平時沒有參加小組
[00:02:31.000 --> 00:02:40.000]  之後希望你會來找我,我會和你談談什麼時間
[00:02:40.000 --> 00:02:45.000]  我就會介紹你去參加不同的小組
[00:02:45.000 --> 00:02:52.000]  希望大家在這四十天當中是一個非常有意義的
[00:02:52.000 --> 00:02:55.000]  可以大家一起更加豐富
[00:02:55.000 --> 00:03:00.000]  在神面前找到我們人生的意義和目標
[00:03:00.000 --> 00:03:08.000]  一開始的時候就說到標竿人生
[00:03:08.000 --> 00:03:12.000]  為什麼會有一個這樣的題目呢
[00:03:12.000 --> 00:03:17.000]  或者為什麼我們會思想一個這樣的主題呢
[00:03:17.000 --> 00:03:22.000]  在聖經上有一個非常突出的觀念
[00:03:22.000 --> 00:03:24.000]  在哥羅西書第一章十六節這麼說
[00:03:24.000 --> 00:03:30.000]  因為萬有無論是天上的,地上的,能看見的,不能看見的
