
[00:00:00.000 --> 00:00:02.000]  頂姐妹謝祖來平安
[00:00:02.000 --> 00:00:05.000]  今朝早堂我講咗人人有照明
[00:00:05.000 --> 00:00:08.000]  個個做回應嘅第七講
[00:00:08.000 --> 00:00:10.000]  聚與散嘅照明
[00:00:10.000 --> 00:00:14.000]  咁呢就期間提到
[00:00:14.000 --> 00:00:18.000]  近日呢就陸續收到朋友呀
[00:00:18.000 --> 00:00:19.000]  師長呀
[00:00:19.000 --> 00:00:22.000]  甚至會有癌症復發嘅消息
[00:00:22.000 --> 00:00:27.000]  加上呢又有好多心離死別嘅情景
[00:00:27.000 --> 00:00:30.000]  所以內心好沉重
[00:00:30.000 --> 00:00:33.000]  係好多心離死別嘅情景
[00:00:33.000 --> 00:00:35.000]  先講死別
[00:00:35.000 --> 00:00:37.000]  單係呢幾個星期
[00:00:37.000 --> 00:00:41.000]  我哋有好多位頂姐妹同埋佢嘅家人離世
[00:00:41.000 --> 00:00:43.000]  心中呢係好難過
[00:00:43.000 --> 00:00:44.000]  亦都好唔捨得
[00:00:44.000 --> 00:00:48.000]  有我哋衙關大使所關心嘅兩位姐妹
[00:00:48.000 --> 00:00:52.000]  有一位美人小學同學嘅家長
[00:00:52.000 --> 00:00:53.000]  係我哋幫佢洗禮
[00:00:53.000 --> 00:00:59.000]  有一位長仔嘅會友亦都有我哋兩位會友嘅爸爸
[00:00:59.000 --> 00:01:01.000]  有一位會友嘅女兒
[00:01:01.000 --> 00:01:04.000]  前幾日就有位監物師嘅姐妹
[00:01:04.000 --> 00:01:05.000]  謝少芳
[00:01:05.000 --> 00:01:08.000]  佢丈夫係好多人認識嘅傑佬
[00:01:08.000 --> 00:01:11.000]  呢啲都係嚟得好突然
[00:01:11.000 --> 00:01:15.000]  詳細嘅感受我喺晚堂度唔重複
[00:01:15.000 --> 00:01:20.000]  鼓勵頂姐妹可以唔介意聽多堂嘅講道
[00:01:20.000 --> 00:01:22.000]  你可以聽返今朝早堂嘅
[00:01:22.000 --> 00:01:25.000]  除咗死別仲有生離
[00:01:25.000 --> 00:01:29.000]  自從去年政府推出呢個嘅送中條例
[00:01:29.000 --> 00:01:33.000]  至到今日7月1號強推港區國安法
[00:01:33.000 --> 00:01:39.000]  好多嘅國家修訂容許港人移民嘅政策
[00:01:39.000 --> 00:01:44.000]  之後就頂姐妹陸陸續續計劃移民
[00:01:44.000 --> 00:01:46.000]  甚至有啲已經啟程
[00:01:46.000 --> 00:01:48.000]  有啲就準備啟程
[00:01:48.000 --> 00:01:52.000]  星期五有一對夫婦就已經移民
[00:01:52.000 --> 00:01:55.000]  明日我都會送一個會友機
[00:01:55.000 --> 00:01:57.000]  陸陸續續係咁樣
