
[00:00:00.000 --> 00:00:04.180]  好,我們今晚所看的就是強求無效
[00:00:04.180 --> 00:00:07.500]  那你記得大衛當他犯了罪
[00:00:07.500 --> 00:00:10.500]  和別人的妻子發生關係
[00:00:10.500 --> 00:00:13.080]  後來就想欲蓋彌彰
[00:00:13.080 --> 00:00:16.040]  但是計劃不成功
[00:00:16.040 --> 00:00:19.720]  竟然就借刀殺人
[00:00:19.720 --> 00:00:23.040]  讓到烏利亞死於戰場之上
[00:00:23.040 --> 00:00:25.780]  那他就合法地娶了一個寡婦
[00:00:25.780 --> 00:00:29.040]  但是這件事聖經很清楚講了一句話做總結
[00:00:29.040 --> 00:00:31.640]  就是神不喜這件事
[00:00:31.640 --> 00:00:34.440]  但是神是沒有放棄大衛
[00:00:34.440 --> 00:00:38.260]  你記住責備 甚至刑罰
[00:00:38.260 --> 00:00:39.920]  某個程度是祝福
[00:00:39.920 --> 00:00:42.820]  聖經裡面說到神最大最大的刑罰是什麼呢
[00:00:42.820 --> 00:00:45.280]  羅馬書說 就是任憑
[00:00:45.280 --> 00:00:47.120]  就是不再理你了 算了
[00:00:47.120 --> 00:00:49.640]  到最後才一次過審判你
[00:00:49.640 --> 00:00:51.080]  那就大件事了
[00:00:51.080 --> 00:00:55.720]  所以神就來了偷先知拿丹
[00:00:55.720 --> 00:00:58.840]  就宣告要審判他
[00:00:58.840 --> 00:01:04.800]  神就差派先知拿丹去責備大衛
[00:01:04.800 --> 00:01:07.740]  但是拿丹先知非常有智慧
[00:01:07.740 --> 00:01:09.680]  因為始終是一個君王
[00:01:09.680 --> 00:01:11.600]  一去到直戚其妃
[00:01:11.600 --> 00:01:15.440]  很可能就馬上遭到殺身之禍
[00:01:15.440 --> 00:01:17.220]  他就引用了這個故事
[00:01:17.220 --> 00:01:19.400]  然後引起大衛的正義感
[00:01:19.400 --> 00:01:22.640]  然後後來就兜兜將軍就說
[00:01:22.640 --> 00:01:24.680]  那個犯錯人就是你了
[00:01:24.680 --> 00:01:31.320]  那時候大衛有一個跟蘇羅很大的分別
[00:01:31.320 --> 00:01:33.280]  蘇羅沒有真心的認罪
[00:01:33.280 --> 00:01:35.620]  將很多責任推給子民
[00:01:35.620 --> 00:01:36.680]  或者推給別人
[00:01:36.680 --> 00:01:39.080]  順便推在薩博爾身上
[00:01:39.080 --> 00:01:42.240]  但是大衛沒有說任何的事情
[00:01:42.240 --> 00:01:46.420]  馬上承認 我犯罪得罪耶和華
[00:01:46.420 --> 00:01:49.160]  這個真誠的悔改
[00:01:49.160 --> 00:01:53.040]  是令到他繼續能夠蒙聖他的保守
[00:01:53.040 --> 00:01:56.880]  神就立刻宣告會赦免了他的罪
[00:01:56.880 --> 00:01:58.440]  但是正如中國人所說
[00:01:58.440 --> 00:02:01.160]  死罪可赦 活罪難饒
[00:02:01.160 --> 00:02:03.960]  我們遲些就會看到神怎樣刑罰他
[00:02:03.960 --> 00:02:05.520]  雖然是這樣
[00:02:05.520 --> 00:02:07.120]  但是我們看到
[00:02:07.120 --> 00:02:10.720]  這個就是神的公義和慈愛的彰顯
[00:02:10.720 --> 00:02:14.880]  大家如果沒有上個星期參加《刷經》班的話
[00:02:14.880 --> 00:02:18.000]  可以上網聽回上個星期的
