
[00:00:00.000 --> 00:00:04.440]  無處的信息就是看重傳統有所持守
[00:00:04.440 --> 00:00:09.360]  按照教會的傳統論述的話
[00:00:09.360 --> 00:00:14.440]  保羅是在公元的第66年的春天
[00:00:14.440 --> 00:00:17.360]  他從西班牙回到了羅馬
[00:00:17.360 --> 00:00:19.520]  而就在初夏的時候他被抓
[00:00:19.520 --> 00:00:21.000]  所以呢
[00:00:21.000 --> 00:00:22.360]  他寫這封信的題目
[00:00:22.360 --> 00:00:28.640]  他後書是應當寫在這個公元66年的夏秋之間
[00:00:28.640 --> 00:00:33.200]  因爲他知道自己即將殉道
[00:00:33.200 --> 00:00:36.120]  你看那四章六節就說他被焦點的日子到了
[00:00:36.120 --> 00:00:37.280]  他離世的日子近了
[00:00:37.280 --> 00:00:42.160]  所以他是知道這次是躲不過這個死刑的
[00:00:42.160 --> 00:00:42.560]  所以呢
[00:00:42.560 --> 00:00:43.440]  他相當於呢
[00:00:43.440 --> 00:00:48.480]  寫了一封遺囑給提莫泰安排他的後事
[00:00:48.480 --> 00:00:49.880]  不過有人讀這封信呢
[00:00:49.880 --> 00:00:53.160]  覺得他這個語氣太過平淡無奇了
[00:00:53.160 --> 00:00:57.620]  甚至都懷疑他是不是真的是在寫遺囑
[00:00:57.620 --> 00:01:02.240]  但如果你想當時保羅這個處境和他所要面對的這個遭遇
[00:01:02.240 --> 00:01:06.120]  他自己已經清楚知道他這種淡然無奇啊
[00:01:06.120 --> 00:01:09.600]  他這種平淡和冷靜的安排
[00:01:09.600 --> 00:01:12.080]  我覺得那纔是令人震撼
[00:01:12.080 --> 00:01:14.300]  提莫泰呢
[00:01:14.300 --> 00:01:16.040]  他是南加拿大人
[00:01:16.040 --> 00:01:16.700]  很可能呢
[00:01:16.700 --> 00:01:18.800]  他是居比路的居民
[00:01:18.800 --> 00:01:21.920]  可能是在保羅的這個宣教旅程
[00:01:21.920 --> 00:01:23.400]  第一次宣教當中呢
[00:01:23.400 --> 00:01:24.200]  就信了主
[00:01:24.200 --> 00:01:25.840]  他父親是希臘人
[00:01:25.840 --> 00:01:28.160]  他媽媽呢是猶太人
[00:01:28.160 --> 00:01:30.320]  所以經過暗首禮
[00:01:30.320 --> 00:01:33.520]  他就成爲了保羅的宣教的助手
[00:01:33.520 --> 00:01:37.640]  而且保羅在帶他去歐洲馬其頓之前呢
[00:01:37.640 --> 00:01:39.640]  纔給他施行了隔離
[00:01:39.640 --> 00:01:42.940]  就確認他是一個猶太人這個身份了
[00:01:42.940 --> 00:01:43.600]  於是乎呢
[00:01:43.600 --> 00:01:45.800]  他就伴隨着保羅
[00:01:45.800 --> 00:01:47.560]  他就去了很多的地方
[00:01:47.560 --> 00:01:49.040]  比如說特羅亞啦
[00:01:49.040 --> 00:01:50.580]  菲律比啊
[00:01:50.580 --> 00:01:51.560]  比利亞啊
[00:01:51.560 --> 00:01:53.680]  帖薩諾里加雅典啊
[00:01:53.680 --> 00:01:55.640]  哥林多啊等等這些城市
[00:01:55.640 --> 00:01:58.800]  都有這個提摩太的足跡
[00:01:58.800 --> 00:02:00.800]  那保羅的在寫這封信的時候
[00:02:00.800 --> 00:02:03.320]  他已經是派提摩太呢
[00:02:03.320 --> 00:02:05.520]  去到以佛所駐堂墓會了
[00:02:05.520 --> 00:02:09.520]  他任務就是對付那些異端假教師啊
[00:02:09.520 --> 00:02:10.920]  那提摩太後書呢
[00:02:10.920 --> 00:02:15.960]  就是寫給了身在以佛所的這個提摩太好
[00:02:15.960 --> 00:02:17.160]  那我們就看經文了
[00:02:17.160 --> 00:02:21.760]  這個第一段的就想講這個傳承啊
[00:02:21.760 --> 00:02:24.760]  我們一起來讀這第三到第七節
[00:02:24.760 --> 00:02:25.920]  好不好好
[00:02:25.920 --> 00:02:28.560]  一二情我感謝神
