
[00:00:00.000 --> 00:00:05.000]  錄音或錄影
[00:00:05.000 --> 00:00:10.000]  此錄音或錄影的版權是屬於基督教宣導會北角堂所有
[00:00:10.000 --> 00:00:14.000]  我們的屬靈傳統之一是以真理教導為本
[00:00:14.000 --> 00:00:18.000]  歡迎你將此錄音或錄影的連結傳給親友
[00:00:18.000 --> 00:00:24.000]  懇請注意,未經授權請勿轉錄或剪輯本錄音或錄影
[00:00:24.000 --> 00:00:30.000]  甚願好像《使徒行傳》20章32節下所說:
[00:00:30.000 --> 00:00:38.000]  「這道能建立你們,叫你們和一切誠誠的人同得基業」
[00:00:38.000 --> 00:00:43.000]  今天是2025年的最後一個主日
[00:00:43.000 --> 00:00:48.000]  我在此預祝大家明年更加蒙恩
[00:00:48.000 --> 00:00:51.000]  更加愛主,更加認識神
[00:00:51.000 --> 00:00:56.000]  我們一起祈禱
[00:00:56.000 --> 00:00:59.000]  親愛的天父
[00:00:59.000 --> 00:01:03.000]  祢的偉大,祢的全智,祢的全能
[00:01:03.000 --> 00:01:08.000]  不是我們這麼渺小的人可以察覺
[00:01:08.000 --> 00:01:14.000]  主,讓我們藉著今天的訊息去更深的認識祢
[00:01:14.000 --> 00:01:19.000]  並且在我們未來的日子
[00:01:19.000 --> 00:01:22.000]  我們會更加將我們的心交給祢
[00:01:22.000 --> 00:01:27.000]  更加信靠祢,更加信服祢
[00:01:27.000 --> 00:01:30.000]  願祢聖靈教導我們將以下的時間交上
[00:01:30.000 --> 00:01:33.000]  祈禱奉主耶穌基督名求
[00:01:33.000 --> 00:01:44.000]  大埔弘福縣的火災都使我們很悲傷
[00:01:44.000 --> 00:01:50.000]  有些弟兄姊妹問:為何神容許這樣的事發生?
[00:01:50.000 --> 00:01:56.000]  究竟你所信、所認識的神是怎樣的神?
[00:01:56.000 --> 00:02:06.000]  今天讓我們從羅馬書第十一章認識我們所信的神
[00:02:06.000 --> 00:02:15.000]  先講講羅馬書和羅馬教會的背景
[00:02:15.000 --> 00:02:20.000]  羅馬教會起初是由信主的猶太人建立
[00:02:20.000 --> 00:02:24.000]  但後來因為越來越多外族人信主
[00:02:24.000 --> 00:02:29.000]  他們以為神已經丟棄了以色列人
[00:02:29.000 --> 00:02:33.000]  慢慢地他們歧視以色列人
[00:02:33.000 --> 00:02:42.000]  可能亦以為以後外族人會取代以色列人
[00:02:42.000 --> 00:02:47.000]  第十章講到以色列人仍然心硬
[00:02:47.000 --> 00:02:50.000]  他們被拒於福音門外
[00:02:50.000 --> 00:02:54.000]  因為他們拒絕摩西和先知發出的警告
[00:02:54.000 --> 00:02:58.000]  雖然試圖很努力傳福音
[00:02:58.000 --> 00:03:05.000]  但以色列大部分人都不聽,聽而不聞
[00:03:05.000 --> 00:03:08.000]  今天我們來到第十一章
[00:03:08.000 --> 00:03:15.000]  是救恩進程的最後一章
[00:03:15.000 --> 00:03:17.000]  我們要全章來看
[00:03:17.000 --> 00:03:24.000]  才能夠明白保羅想講甚麼訊息
[00:03:24.000 --> 00:03:28.000]  我們先看第一至六節
[00:03:28.000 --> 00:03:34.000]  神並沒有丟棄他的子民
[00:03:34.000 --> 00:03:36.000]  第一節怎樣說呢?
[00:03:36.000 --> 00:03:38.000]  「這樣,我要問
[00:03:38.000 --> 00:03:41.000]  難道神丟棄了他的子民嗎?
[00:03:41.000 --> 00:03:43.000]  絕對沒有
[00:03:43.000 --> 00:03:45.000]  因為我自己是以色列人
[00:03:45.000 --> 00:03:47.000]  是亞伯拉罕的後裔
[00:03:47.000 --> 00:03:50.000]  屬於汴雅民之派」
[00:03:50.000 --> 00:03:52.000]  以色列人是心硬
[00:03:52.000 --> 00:03:55.000]  但神是否就此丟棄他們呢?
[00:03:55.000 --> 00:03:58.000]  保羅說是絕對沒有的
[00:03:58.000 --> 00:04:00.000]  保羅說他自己也是以色列人
[00:04:00.000 --> 00:04:08.000]  但神是很奇妙地拯救了他
[00:04:08.000 --> 00:04:15.000]  神並沒有丟棄他預先認識的子民
[00:04:15.000 --> 00:04:20.000]  這是指神對以色列人的揀選
[00:04:20.000 --> 00:04:24.000]  保羅是用了先知以利亞的例子
[00:04:24.000 --> 00:04:28.000]  大家可能有聽過先知以利亞
[00:04:28.000 --> 00:04:31.000]  是舊約的一位很厲害的先知
[00:04:31.000 --> 00:04:35.000]  新約當施西揚上場的時候
[00:04:35.000 --> 00:04:37.000]  別人問他是否以利亞
[00:04:37.000 --> 00:04:39.000]  所以在以色列人的心中
[00:04:39.000 --> 00:04:42.000]  以利亞是很厲害的
[00:04:42.000 --> 00:04:45.000]  如果我們看列王紀上十八章
[00:04:45.000 --> 00:04:51.000]  當時以利亞一個人對八百多位先知
[00:04:51.000 --> 00:04:55.000]  他擊殺了四百五十位巴力先知
[00:04:55.000 --> 00:04:58.000]  但在第十九章
[00:04:58.000 --> 00:05:03.000]  他被皇后耶洗別追尋他的性命
[00:05:03.000 --> 00:05:05.000]  所以他逃亡
[00:05:05.000 --> 00:05:08.000]  他向神發出埋怨
[00:05:08.000 --> 00:05:12.000]  神告訴以利亞
[00:05:12.000 --> 00:05:15.000]  他仍然留下七千人沒有向巴力屈膝
[00:05:15.000 --> 00:05:22.000]  「留下」這個字是有餘數的意思
[00:05:22.000 --> 00:05:24.000]  我們看第五第六節
[00:05:24.000 --> 00:05:26.000]  所以現在也是這樣
[00:05:26.000 --> 00:05:28.000]  也有愚民留下來
