
[00:00:00.000 --> 00:00:06.000]  在幾年前有一套港產的電影
[00:00:06.000 --> 00:00:10.000]  在推廣和宣傳的時候
[00:00:10.000 --> 00:00:14.000]  他們就用了一句口號
[00:00:14.000 --> 00:00:17.000]  那個口號就是這樣說的
[00:00:17.000 --> 00:00:22.000]  為了夢想你可以去到多準
[00:00:22.000 --> 00:00:27.000]  為了夢想你可以去到多準
[00:00:27.000 --> 00:00:30.000]  這一句的宣傳口號一出之後
[00:00:30.000 --> 00:00:35.000]  慢慢慢慢就成為潮民的金句
[00:00:35.000 --> 00:00:37.000]  有很多的公司
[00:00:37.000 --> 00:00:40.000]  有很多的個人都改一下
[00:00:40.000 --> 00:00:42.000]  借用一下
[00:00:42.000 --> 00:00:45.000]  是很好的金句
[00:00:45.000 --> 00:00:47.000]  舉一些例子
[00:00:47.000 --> 00:00:49.000]  你為了買iPhone
[00:00:49.000 --> 00:00:52.000]  你可以去到多準
[00:00:52.000 --> 00:00:57.000]  你為了兒子和女兒心儀的學校得到讀書
[00:00:57.000 --> 00:01:00.000]  你可以去到多準
[00:01:00.000 --> 00:01:04.000]  為了香港的民主你可以去到多準
[00:01:04.000 --> 00:01:08.000]  為了愛情你可以去到多準
[00:01:08.000 --> 00:01:12.000]  總之借用了為了什麼
[00:01:12.000 --> 00:01:14.000]  你可以去到多準
[00:01:14.000 --> 00:01:18.000]  就成為了潮民金句
[00:01:18.000 --> 00:01:24.000]  今天我們可以嘗試借用一下改一下
[00:01:24.000 --> 00:01:28.000]  去問一問保羅
[00:01:28.000 --> 00:01:32.000]  保羅先生
[00:01:32.000 --> 00:01:38.000]  為了阿尼西姆你可以去到多準
[00:01:38.000 --> 00:01:42.000]  從剛才的經文我們知道
[00:01:42.000 --> 00:01:44.000]  他為了阿尼西姆
[00:01:44.000 --> 00:01:46.000]  他去得很準
[00:01:46.000 --> 00:01:51.000]  為人添加虧損
[00:01:51.000 --> 00:01:54.000]  都不重要對保羅來說
[00:01:54.000 --> 00:01:57.000]  上個月的主餐主日
[00:01:57.000 --> 00:02:01.000]  大家記得我們所講的上篇
[00:02:01.000 --> 00:02:06.000]  我們為己為人要一加一的上篇
[00:02:06.000 --> 00:02:09.000]  為己我們要加一
[00:02:09.000 --> 00:02:12.000]  我們要為在神面前好好的服侍
[00:02:12.000 --> 00:02:14.000]  更多的服侍
[00:02:14.000 --> 00:02:16.000]  更盡心的服侍
[00:02:16.000 --> 00:02:18.000]  所以我們願意加多一樣
[00:02:18.000 --> 00:02:20.000]  加多一步
[00:02:20.000 --> 00:02:24.000]  所以我們用羅馬書的十五章看到保羅
[00:02:24.000 --> 00:02:27.000]  他很想增加一個宣教的工場
[00:02:27.000 --> 00:02:30.000]  就是西班牙
[00:02:30.000 --> 00:02:32.000]  也因為太遠了
[00:02:32.000 --> 00:02:34.000]  不可以一下去到
[00:02:34.000 --> 00:02:37.000]  在當時來說是天涯海角這麼遠
[00:02:37.000 --> 00:02:40.000]  所以他要寫一卷羅馬書
[00:02:40.000 --> 00:02:42.000]  因為剛剛羅馬就在中間位
[00:02:42.000 --> 00:02:44.000]  中途站
[00:02:44.000 --> 00:02:46.000]  他先跟他們打個招呼
[00:02:46.000 --> 00:02:48.000]  講一下自己的理想
[00:02:48.000 --> 00:02:50.000]  講一下自己的信仰
[00:02:50.000 --> 00:02:54.000]  所以留下給我一卷偉大的羅馬書
[00:02:54.000 --> 00:02:57.000]  他很想有一天去到羅馬教會的地方
[00:02:57.000 --> 00:02:59.000]  跟他們有很好的團計之後
[00:02:59.000 --> 00:03:01.000]  就蒙他們送行
[00:03:01.000 --> 00:03:05.000]  我就再上路開拓這個新的工場
[00:03:05.000 --> 00:03:07.000]  為了自己在神面前的服侍
[00:03:07.000 --> 00:03:08.000]  他願意不斷的提升
[00:03:08.000 --> 00:03:10.000]  不斷的向高處行
