
[00:00:00.000 --> 00:00:05.080]  今天是2020年的第一天
[00:00:05.080 --> 00:00:07.600]  新的一年的開始
[00:00:07.600 --> 00:00:10.960]  在這裡也祝願大家
[00:00:10.960 --> 00:00:12.920]  在新的一年
[00:00:12.920 --> 00:00:15.560]  心智更堅定
[00:00:15.560 --> 00:00:18.480]  靈命更豐盛
[00:00:18.480 --> 00:00:20.800]  能夠在新的一年裏面
[00:00:20.800 --> 00:00:25.320]  體會主的恩典多疑又多
[00:00:29.200 --> 00:00:32.400]  我們中國人有一句說話這樣說
[00:00:32.400 --> 00:00:36.400]  活到老 學到老
[00:00:36.400 --> 00:00:42.240]  強調生命要成長 要學習
[00:00:42.240 --> 00:00:44.880]  是不分年紀的
[00:00:44.880 --> 00:00:49.760]  都是不斷的要有吸收 有成長
[00:00:49.760 --> 00:00:53.600]  另外我們中國人也有一句說話叫做
[00:00:53.600 --> 00:00:58.880]  學如逆水行舟 不進則退
[00:00:58.880 --> 00:01:02.200]  如果我們不追求成長
[00:01:02.200 --> 00:01:03.840]  當你停下來的時候
[00:01:03.840 --> 00:01:05.920]  其他人人都進
[00:01:05.920 --> 00:01:07.920]  其實你也是在退步的
[00:01:07.920 --> 00:01:10.280]  所以都是鼓勵我們怎樣
[00:01:10.280 --> 00:01:12.520]  是不斷的學習
[00:01:12.520 --> 00:01:14.640]  是學無止境的
[00:01:14.640 --> 00:01:18.400]  我們想增加多點人生的智慧 知識
[00:01:18.400 --> 00:01:21.480]  又或者是生命的深度的話
[00:01:21.480 --> 00:01:27.080]  我們需要學習 需要成長
[00:01:27.080 --> 00:01:32.160]  這些都是中國人給我們留下的智慧 聰明
[00:01:32.160 --> 00:01:36.440]  是值得我們好好去思考
[00:01:36.440 --> 00:01:37.920]  同樣的道理
[00:01:37.920 --> 00:01:40.960]  我相信在屬靈的生命上
[00:01:40.960 --> 00:01:43.560]  原則都是一樣
[00:01:43.560 --> 00:01:47.640]  如果我們很想在信仰 在生命裏面
[00:01:47.640 --> 00:01:50.400]  在我們認識神那方面
[00:01:50.400 --> 00:01:53.880]  都能夠不斷的有長進的話
[00:01:53.880 --> 00:01:55.520]  其實我們需要怎樣
[00:01:55.520 --> 00:01:58.640]  有很多很多的學習
[00:01:58.640 --> 00:02:01.400]  千萬不要故步自封
[00:02:01.400 --> 00:02:05.000]  如果不是 我們是會退步的
[00:02:05.000 --> 00:02:07.760]  所以很想在新一年裏面
[00:02:07.760 --> 00:02:09.480]  彼此的勉勵
[00:02:09.480 --> 00:02:12.200]  鼓勵我們中間每一位弟兄姊妹
[00:02:12.200 --> 00:02:18.320]  我們無必要追求生命的成長
[00:02:18.320 --> 00:02:24.520]  無必要追求生命的成長
[00:02:24.520 --> 00:02:25.720]  剛才我們所讀的經文
[00:02:25.720 --> 00:02:28.440]  就已經很清楚提醒我們
[00:02:28.440 --> 00:02:31.000]  但其實當我們留意一下聖經
[00:02:31.000 --> 00:02:33.680]  你會發現其實是很多的經文
[00:02:33.680 --> 00:02:36.720]  都提醒我們要追求成長的
[00:02:36.720 --> 00:02:38.840]  不是一處的經文
[00:02:38.840 --> 00:02:40.680]  是很多的經文
[00:02:40.680 --> 00:02:42.520]  在菲律賓書也有
[00:02:42.520 --> 00:02:45.320]  在哥羅西書也有
[00:02:45.320 --> 00:02:48.440]  在希伯來書也有等等等等
[00:02:48.440 --> 00:02:50.920]  提醒我們在知識上
[00:02:50.920 --> 00:02:54.400]  見識上是要多而又多
[00:02:54.400 --> 00:02:58.960]  提醒我們要忘記背後努力面前的
[00:02:58.960 --> 00:03:01.920]  提醒我們要多結果子
[00:03:01.920 --> 00:03:04.600]  我們要多知道神
[00:03:04.600 --> 00:03:09.120]  又提醒我們要離開基督道理的開端
[00:03:09.120 --> 00:03:13.400]  要進到一個完全的地步等等等等
[00:03:13.400 --> 00:03:15.080]  當我們翻查這些經文
[00:03:15.080 --> 00:03:17.320]  發現真的很多
[00:03:17.320 --> 00:03:20.920]  再加上我們今天彼得的說話
[00:03:20.920 --> 00:03:22.800]  在彼得後書的三章
[00:03:22.800 --> 00:03:24.920]  特別是十八節
[00:03:24.920 --> 00:03:31.320]  提醒我們一定要長進
[00:03:31.320 --> 00:03:34.800]  所以求主幫助我們立定心意
[00:03:34.800 --> 00:03:38.160]  在2020年1月1日開始
[00:03:38.160 --> 00:03:40.840]  我們就以生命的成長
[00:03:40.840 --> 00:03:42.760]  信仰的成長
[00:03:42.760 --> 00:03:46.600]  在主的話語裏面的成長等等等等
[00:03:46.600 --> 00:03:50.320]  成為了我們一個新的立志
[00:03:50.320 --> 00:03:51.840]  所以求主幫助我們
[00:03:51.840 --> 00:03:57.560]  亦都求主藉著彼得這些說話
[00:03:57.560 --> 00:04:00.560]  讓我們知道可以怎樣做
[00:04:00.560 --> 00:04:03.320]  剛才我們讀過的是彼得後書
[00:04:03.320 --> 00:04:07.320]  三章的十七、十八節
[00:04:07.320 --> 00:04:12.240]  很明顯是講到要有長進
[00:04:12.240 --> 00:04:13.800]  我們都願意了
[00:04:13.800 --> 00:04:16.120]  我們會問
[00:04:16.120 --> 00:04:17.880]  為甚麼是這樣呢?
[00:04:17.880 --> 00:04:24.120]  有甚麼原因促使我們要去追求長進呢?
[00:04:24.120 --> 00:04:27.000]  長進的原因是甚麼呢?
[00:04:27.000 --> 00:04:31.080]  如果當我們回看這段經文的時候
[00:04:31.080 --> 00:04:33.880]  我們問這個問題我們怎樣去回答呢?
[00:04:33.880 --> 00:04:37.280]  為甚麼我們要長進?
[00:04:37.280 --> 00:04:40.120]  Why?
[00:04:40.120 --> 00:04:41.240]  在這段經文裏面
[00:04:41.240 --> 00:04:44.200]  我們看到有兩個很重要的因素
[00:04:44.200 --> 00:04:48.480]  成為了我們要追求長進的原因
[00:04:48.480 --> 00:04:50.440]  第一個因素是甚麼呢?
[00:04:50.440 --> 00:04:55.520]  第一個因素就是因為這是一個命令
[00:04:55.520 --> 00:04:57.640]  大家有沒有留意到中文的翻譯
[00:04:57.640 --> 00:05:02.120]  你們卻要在我主
[00:05:02.120 --> 00:05:06.400]  救主耶穌基督的恩典和知識上有長進
[00:05:06.400 --> 00:05:09.640]  「要」是否都頗強?
[00:05:09.640 --> 00:05:11.200]  不是說請求你
[00:05:11.200 --> 00:05:13.040]  請你上一上追求長進
[00:05:13.040 --> 00:05:14.760]  不是,是「要」
[00:05:14.760 --> 00:05:17.640]  是一個命令式
[00:05:17.640 --> 00:05:19.000]  既然是屬主的人
[00:05:19.000 --> 00:05:20.960]  既然有屬靈生命的話
[00:05:20.960 --> 00:05:22.440]  你不要讓他停下來
[00:05:22.440 --> 00:05:24.440]  你更加不要讓他萎縮
[00:05:24.440 --> 00:05:26.240]  是要長進的
[00:05:26.240 --> 00:05:28.480]  所以是一個命令
[00:05:28.480 --> 00:05:30.480]  而這句經文的「要長進」
[00:05:30.480 --> 00:05:31.680]  不單只是一個命令
[00:05:31.680 --> 00:05:34.120]  並只是一個持續不斷的意思
[00:05:34.120 --> 00:05:35.560]  你們要繼續成長
[00:05:35.560 --> 00:05:38.240]  繼續成長是不斷的
[00:05:38.240 --> 00:05:39.320]  沒有停下來的
[00:05:39.320 --> 00:05:40.760]  所以和我們剛才所講的
[00:05:40.760 --> 00:05:43.720]  中國人的智慧說話都是很相通的
[00:05:43.720 --> 00:05:44.560]  學到老
[00:05:44.560 --> 00:05:46.400]  活到老就學到老
[00:05:46.400 --> 00:05:47.480]  就是這樣
[00:05:47.480 --> 00:05:50.200]  所以在靈命的追求上
[00:05:50.200 --> 00:05:56.680]  我們真的要收到神的命令
[00:05:56.680 --> 00:05:58.400]  不要不聞不問
[00:05:58.400 --> 00:06:00.520]  不要自誅不離
[00:06:00.520 --> 00:06:02.800]  讓我們提起心肝
[00:06:02.800 --> 00:06:03.840]  提醒自己
[00:06:03.840 --> 00:06:05.400]  鞭策自己
[00:06:05.400 --> 00:06:09.120]  我們要長進
[00:06:09.120 --> 00:06:14.280]  我想這個很能回應聖經裡面的話語的要求
[00:06:14.280 --> 00:06:15.600]  很多時候
[00:06:15.600 --> 00:06:18.000]  我們說一般的教會
