
[00:00:00.000 --> 00:00:04.000]  好,我們今天先讀今日的經文,好嗎?
[00:00:04.000 --> 00:00:10.000]  經文在春埃及的二十三章十至十二節和十四至十七節
[00:00:10.000 --> 00:00:15.000]  裡面就說了我們今天要說的那三樣的重點
[00:00:15.000 --> 00:00:16.000]  我們一起讀,好嗎?
[00:00:16.000 --> 00:00:20.000]  六年你要耕種田地,收藏草產
[00:00:20.000 --> 00:00:24.000]  只是第七年你要叫地歇息,不耕不種
[00:00:24.000 --> 00:00:27.000]  使你民中的窮人有吃的
[00:00:27.000 --> 00:00:30.000]  他們所剩下的野獸可以吃
[00:00:30.000 --> 00:00:34.000]  你的葡萄園和橄欖園也照樣辦理
[00:00:34.000 --> 00:00:38.000]  六日你要做工,第七日要按息
[00:00:38.000 --> 00:00:40.000]  使牛奴可以歇息
[00:00:40.000 --> 00:00:46.000]  並使你婢女的兒子和寄居的都可以舒暢
[00:00:46.000 --> 00:00:49.000]  一年三次你要向我守節
[00:00:49.000 --> 00:00:55.000]  你要守隨舊節,也不可空手朝見我
[00:00:55.000 --> 00:00:57.000]  照我所吩咐你的
[00:00:57.000 --> 00:01:02.000]  在亞北月內所定的日期,吃無烤餅七天
[00:01:02.000 --> 00:01:05.000]  誰也不可空手朝見我
[00:01:05.000 --> 00:01:10.000]  因為你是這月出了埃及,又要守收割節
[00:01:10.000 --> 00:01:15.000]  所收的是你田間所種,牢碌得來初熟之物
[00:01:15.000 --> 00:01:19.000]  並在年底收藏,要守收藏節
[00:01:19.000 --> 00:01:25.000]  一切的男丁要一前三次朝見主耶和華
[00:01:25.000 --> 00:01:30.000]  很明顯,第一點要和大家分享的是安息年
[00:01:30.000 --> 00:01:33.000]  在安息年裏面,我們看另外一節經文
[00:01:33.000 --> 00:01:36.000]  在《利未記》二十五章一至七節
[00:01:36.000 --> 00:01:39.000]  有一個更加詳細的解釋
[00:01:39.000 --> 00:01:45.000]  神怎樣吩咐,藉著摩西去吩咐以色列民守安息年
[00:01:45.000 --> 00:01:47.000]  我讀給大家聽
[00:01:47.000 --> 00:01:50.000]  耶和華在西內山吩咐摩西說
[00:01:50.000 --> 00:01:52.000]  你要吩咐以色列民對他們說
[00:01:52.000 --> 00:01:56.000]  你們到了我所賜你們那地的時候
[00:01:56.000 --> 00:01:59.000]  地要休耕,向耶和華守安息
[00:01:59.000 --> 00:02:04.000]  你們六年要耕種田地,六年要收整葡萄園
[00:02:04.000 --> 00:02:06.000]  收藏地的出產
[00:02:06.000 --> 00:02:09.000]  第七年,地要守完全安息的安息年
[00:02:09.000 --> 00:02:11.000]  就是向耶和華守安息
[00:02:11.000 --> 00:02:16.000]  你們不可耕種田地,也不可收整葡萄園
[00:02:16.000 --> 00:02:19.000]  不可收割自然生長的莊稼
