
[00:00:00.000 --> 00:00:02.000]  各位太古聖堂的大型節目平安
[00:00:02.000 --> 00:00:05.000]  今天的講題在風浪中
[00:00:05.000 --> 00:00:09.000]  不知道大家怕不怕搭船
[00:00:09.000 --> 00:00:14.000]  可能我估計生活在我們今天搭船的經驗
[00:00:14.000 --> 00:00:16.000]  相對來說已經很少了
[00:00:16.000 --> 00:00:18.000]  我們現在很方便
[00:00:18.000 --> 00:00:20.000]  有很多集體的交通工具
[00:00:20.000 --> 00:00:22.000]  甚至我有幾條過海隧道
[00:00:22.000 --> 00:00:24.000]  以前我們小時候
[00:00:24.000 --> 00:00:26.000]  只有一條海底隧道的時候
[00:00:26.000 --> 00:00:28.000]  有很多不同的碼頭
[00:00:28.000 --> 00:00:31.000]  把九龍半島和香港島連接起來
[00:00:31.000 --> 00:00:34.000]  當然現在就算坐天星小輪
[00:00:34.000 --> 00:00:36.000]  航程很短
[00:00:36.000 --> 00:00:38.000]  但是因為海港太窄的原因
[00:00:38.000 --> 00:00:41.000]  其實都很拋
[00:00:41.000 --> 00:00:43.000]  不知道大家坐船的時候
[00:00:43.000 --> 00:00:45.000]  突然覺得很拋的時候
[00:00:45.000 --> 00:00:47.000]  會不會很害怕
[00:00:47.000 --> 00:00:49.000]  或者你覺得都不用擔心
[00:00:49.000 --> 00:00:50.000]  沒事的
[00:00:50.000 --> 00:00:52.000]  剛才所讀的那段經文
[00:00:52.000 --> 00:00:55.000]  其實是一個類似的環境裡面
[00:00:55.000 --> 00:00:58.000]  叛徒和耶穌坐在船上
[00:00:58.000 --> 00:01:01.000]  然後突然之間遇到風浪
[00:01:01.000 --> 00:01:03.000]  當然我們一邊看那段經文的時候
[00:01:03.000 --> 00:01:05.000]  大家都很熟悉這一個
[00:01:05.000 --> 00:01:07.000]  在福音書裡面的記載
[00:01:07.000 --> 00:01:10.000]  耶穌可以平靜風浪
[00:01:10.000 --> 00:01:12.000]  耶穌斥責風斥責浪
[00:01:12.000 --> 00:01:14.000]  然後就平靜了
[00:01:14.000 --> 00:01:17.000]  是一個很戲劇性
[00:01:17.000 --> 00:01:20.000]  甚至可以說這是一個神蹟
[00:01:20.000 --> 00:01:22.000]  是一個神蹟
[00:01:22.000 --> 00:01:24.000]  其實如果我們讀福音書的時候
[00:01:24.000 --> 00:01:26.000]  裡面都記載了
[00:01:26.000 --> 00:01:29.000]  耶穌施行不同的神蹟
[00:01:29.000 --> 00:01:31.000]  耶穌所施行的神蹟
[00:01:31.000 --> 00:01:34.000]  有很多牽涉到醫病
[00:01:34.000 --> 00:01:36.000]  趕鬼
[00:01:36.000 --> 00:01:39.000]  甚至乎會叫死人復活
[00:01:39.000 --> 00:01:41.000]  也有一些神蹟
[00:01:41.000 --> 00:01:43.000]  可能除了醫治的性質之外
[00:01:43.000 --> 00:01:45.000]  可能是改變了
[00:01:45.000 --> 00:01:48.000]  一些大自然的規律
[00:01:48.000 --> 00:01:52.000]  例如可能把水變成酒
[00:01:52.000 --> 00:01:54.000]  他用五塊餅
[00:01:54.000 --> 00:01:56.000]  兩條魚
[00:01:56.000 --> 00:01:58.000]  可以餵飽了幾千人
[00:01:58.000 --> 00:02:01.000]  也包括剛才我們所讀的經文
[00:02:01.000 --> 00:02:04.000]  耶穌可以平靜風浪
[00:02:04.000 --> 00:02:07.000]  大家回想讀福音書的時候
[00:02:07.000 --> 00:02:09.000]  這些不同的記載
[00:02:09.000 --> 00:02:11.000]  關於神蹟的記載
[00:02:11.000 --> 00:02:13.000]  不知道有沒有哪一個神蹟
[00:02:13.000 --> 00:02:17.000]  是令你留下最深刻的印象
[00:02:17.000 --> 00:02:19.000]  或者可以這樣說
[00:02:19.000 --> 00:02:21.000]  可能哪些神蹟對你留下深刻印象
[00:02:21.000 --> 00:02:24.000]  可能很在乎你讀的時候
[00:02:24.000 --> 00:02:27.000]  你當下所面對的困難是什麼
[00:02:27.000 --> 00:02:29.000]  如果你面對疾病
[00:02:29.000 --> 00:02:31.000]  或者你的親人面對疾病
[00:02:31.000 --> 00:02:32.000]  死亡的時候
[00:02:32.000 --> 00:02:34.000]  那些醫治的神蹟
[00:02:34.000 --> 00:02:37.000]  可能對你有很大的共鳴
