
[00:00:00.000 --> 00:00:02.000]  我們滿心的感謝讚美祢
[00:00:02.000 --> 00:00:05.440]  祢自己是那位創造宇宙萬物的真神
[00:00:05.440 --> 00:00:07.440]  祢說有就有 命令就有
[00:00:07.440 --> 00:00:10.640]  所有的事情祢想要成就的一定會成就
[00:00:10.640 --> 00:00:15.100]  祢我們今天懷著一個充足的信心來到祢的面前
[00:00:15.100 --> 00:00:17.900]  我們憑祢自己所應許給我們的
[00:00:17.900 --> 00:00:19.540]  我們抓住祢的應許
[00:00:19.540 --> 00:00:21.540]  無論我們遇到什麼事情
[00:00:21.540 --> 00:00:24.500]  祢我們都知道祢會帶領我們經過
[00:00:24.500 --> 00:00:27.300]  因為我們曉得祢與我們同在
[00:00:27.300 --> 00:00:28.600]  我們謝謝祢
[00:00:28.600 --> 00:00:31.200]  我們把下面的時間都交在自己的手中
[00:00:31.200 --> 00:00:33.200]  祢讓我們真的是定義了
[00:00:33.200 --> 00:00:35.000]  我們要聽祢自己的話
[00:00:35.000 --> 00:00:37.000]  禱告奉耶穌基督的聖名
[00:00:37.000 --> 00:00:40.000]  我們
[00:00:40.000 --> 00:00:41.700]  如果你有聖經的話
[00:00:41.700 --> 00:00:44.000]  或者是電子版的
[00:00:44.000 --> 00:00:48.300]  請你翻開到《創世紀》第35章
[00:00:48.300 --> 00:00:52.000]  我們這一路來都在看雅各他的生命
[00:00:52.000 --> 00:00:56.300]  今天我們大概可以說到了最後一個階段
[00:00:56.300 --> 00:00:59.200]  再下去我們就講到另外一個人
[00:00:59.200 --> 00:01:00.600]  就是約瑟
[00:01:00.600 --> 00:01:02.600]  在約瑟的生命當中
[00:01:02.600 --> 00:01:06.900]  也因為他是雅各最喜愛的一個兒子
[00:01:06.900 --> 00:01:14.700]  所以我們也會繼續的看到雅各他的最後旅程
[00:01:14.700 --> 00:01:17.700]  我們從開始
[00:01:17.700 --> 00:01:20.300]  我們再回想一下雅各
[00:01:20.300 --> 00:01:25.200]  雅各一出生的時候就跟別人不一樣
[00:01:25.200 --> 00:01:27.500]  這也是我們從來沒有聽過的
[00:01:27.500 --> 00:01:30.100]  就是雙生子在肚子裡面
[00:01:30.100 --> 00:01:34.500]  居然會先伸出手來抓一把
