
[00:00:00.000 --> 00:00:01.280]  主持人:第一節目早晨
[00:00:01.280 --> 00:00:02.320]  主持人:幾鍾準備走
[00:00:02.320 --> 00:00:03.440]  主持人:感謝主啊
[00:00:03.440 --> 00:00:06.800]  主持人:三號風球裏面我們都仍然能夠向這個地方進敗
[00:00:06.800 --> 00:00:09.960]  主持人:三號風球的時候我們仍然在這個地方向主進敗
[00:00:09.960 --> 00:00:12.920]  主持人:如果這個的泰利是吧應該是
[00:00:12.920 --> 00:00:14.560]  主持人:風球泰利
[00:00:14.560 --> 00:00:17.000]  主持人:走得快點的話呢已經八號風球了
[00:00:17.000 --> 00:00:20.000]  主持人:又說那個泰利走得快一點的話現在已經八號風球了
[00:00:20.000 --> 00:00:21.560]  主持人:幸而呢他走得慢
[00:00:21.560 --> 00:00:23.240]  主持人:還好他走得比較慢
[00:00:23.240 --> 00:00:26.400]  主持人:今天跟大家繼續講以斯拉紀
[00:00:26.400 --> 00:00:28.760]  主持人:今天我繼續跟大家講以斯拉紀
[00:00:30.000 --> 00:00:31.800]  主持人:二十一次港臺講第一章
[00:00:31.800 --> 00:00:34.640]  主持人:上次如果說大家記得的話我們上次是講第一章
[00:00:34.640 --> 00:00:35.760]  主持人:今天講第三章
[00:00:35.760 --> 00:00:37.000]  主持人:今天講第三章
[00:00:37.000 --> 00:00:38.000]  主持人:爲什麼不講第二章呢
[00:00:38.000 --> 00:00:39.280]  主持人:爲什麼不講第二章呢
[00:00:39.280 --> 00:00:40.080]  主持人:因爲很悶啊
[00:00:40.080 --> 00:00:41.560]  主持人:因爲第二章有點悶
[00:00:41.560 --> 00:00:43.440]  主持人:第二章全部是一個名單
[00:00:43.440 --> 00:00:45.400]  主持人:因爲第二章完全是一個名單
[00:00:45.400 --> 00:00:46.720]  主持人:不是沒有意思的
[00:00:46.720 --> 00:00:47.880]  主持人:並不是說沒有意思
[00:00:47.880 --> 00:00:50.640]  主持人:不過港臺你們一定都睡着了
[00:00:50.640 --> 00:00:52.640]  主持人:但是講到的話一定大家睡着了
[00:00:52.640 --> 00:00:57.920]  主持人:是嗎
[00:00:57.920 --> 00:01:00.320]  主持人:所以就跳了第二章
[00:01:00.320 --> 00:01:01.720]  主持人:所以我們就跳了第二章
[00:01:01.720 --> 00:01:02.720]  主持人:講第三章
[00:01:02.720 --> 00:01:04.080]  主持人:我們就講第三章
[00:01:04.080 --> 00:01:07.360]  主持人:以斯拉紀是講以色列人被擄七十年之後
[00:01:07.360 --> 00:01:10.680]  主持人:以色拉紀是講以色列人被擄七十年之後
[00:01:10.680 --> 00:01:14.640]  主持人:他們迴歸到自己的家鄉國土
[00:01:14.640 --> 00:01:18.680]  主持人:他們迴歸到自己家鄉他們的國土
[00:01:18.680 --> 00:01:22.760]  主持人:被擄七十年他們在巴比倫裏面做奴隸
[00:01:22.760 --> 00:01:25.880]  主持人:被擄七十年他在巴比倫那邊做奴隸
[00:01:25.880 --> 00:01:28.160]  主持人:所以他們沒有機會去敬拜
[00:01:28.160 --> 00:01:30.000]  主持人:他們並沒有機會去敬拜
[00:01:30.000 --> 00:01:31.360]  主持人:更加不會是欠制
[00:01:31.360 --> 00:01:33.560]  主持人:他根本沒有機會去憲制
[00:01:33.560 --> 00:01:37.760]  主持人:所以他們有機會回到自己的家鄉
[00:01:37.760 --> 00:01:39.920]  主持人:當他們有機會回到自己家鄉的時候
[00:01:39.920 --> 00:01:41.120]  主持人:第一是上帝的恩典
[00:01:41.120 --> 00:01:42.640]  主持人:第一這個是上帝的恩典
[00:01:42.640 --> 00:01:46.560]  主持人:是上帝按照他自己的興許
[00:01:46.560 --> 00:01:49.720]  主持人:說七十年之後放他們回自己的國土
[00:01:49.720 --> 00:01:52.840]  主持人:說七十年之後放他們回自己的國土
[00:01:52.840 --> 00:01:56.480]  主持人:你記得上次我們說上帝激動古烈王的心
[00:01:56.480 --> 00:01:59.040]  主持人:所以上次我們講到上帝激動古烈王
[00:01:59.040 --> 00:02:00.400]  主持人:改變國策
[00:02:00.400 --> 00:02:02.120]  主持人:改變他的國策
[00:02:02.120 --> 00:02:04.160]  主持人:讓以色列人能夠回到自己的國土
[00:02:04.160 --> 00:02:06.360]  主持人:讓以色列人能夠回到自己的國土
[00:02:06.360 --> 00:02:09.000]  主持人:但是有這個詔書讓他們回去
[00:02:09.000 --> 00:02:10.800]  主持人:但是有這個詔書讓他們回去
[00:02:10.800 --> 00:02:12.280]  主持人:沒有人回去是沒有用的
[00:02:12.280 --> 00:02:13.880]  主持人:沒有人回去也沒有用的
[00:02:13.880 --> 00:02:15.680]  主持人:所以上帝做第二件事情
[00:02:15.680 --> 00:02:17.520]  主持人:所以上帝做第二件事情
[00:02:17.520 --> 00:02:18.680]  主持人:就是激動民心
[00:02:18.680 --> 00:02:20.680]  主持人:就是激動民心
[00:02:23.840 --> 00:02:26.160]  主持人:讓他們願意回到自己的國土裏面
[00:02:26.160 --> 00:02:26.880]  主持人:重建家園
[00:02:26.880 --> 00:02:28.360]  主持人:同樣重建聖殿
[00:02:28.360 --> 00:02:29.880]  主持人:同樣的重建聖殿
[00:02:29.880 --> 00:02:34.040]  主持人:總共有四萬多人回到自己的地方
[00:02:34.040 --> 00:02:36.080]  主持人:總共有四萬多人願意回去他們自己的國土
[00:02:36.080 --> 00:02:37.200]  主持人:總共有四萬多人願意回去他們自己的國土
[00:02:37.200 --> 00:02:37.960]  主持人:總共有四萬多人願意回去他們自己的國土
