
[00:00:00.000 --> 00:00:06.680]  廣川福音遍插經期好像是蠻新的東西
[00:00:06.680 --> 00:00:10.000]  實際上是老掉了牙了
[00:00:10.000 --> 00:00:12.440]  其實是有新的做法
[00:00:12.440 --> 00:00:16.400]  就好像古舊十家 歷久彌新
[00:00:16.400 --> 00:00:19.720]  我過去已經講過七八次了
[00:00:19.720 --> 00:00:21.840]  那麼我很快全部講一次
[00:00:21.840 --> 00:00:23.720]  我剛開始講的時候
[00:00:23.720 --> 00:00:27.080]  是用韓國金蘭教會
[00:00:27.080 --> 00:00:32.880]  他們從十年 從十二個人一路衝到上萬人
[00:00:32.880 --> 00:00:35.840]  看他們迫切地禱告
[00:00:35.840 --> 00:00:38.040]  看他們呼求神
[00:00:38.040 --> 00:00:40.320]  神為他們所做的事情
[00:00:40.320 --> 00:00:42.440]  然後第二次我講說
[00:00:42.440 --> 00:00:44.080]  這是保羅說的
[00:00:44.080 --> 00:00:47.280]  這福音本是神的大能
[00:00:47.280 --> 00:00:50.200]  先要救以色列人
[00:00:50.200 --> 00:00:53.000]  再要救希臘人等等
[00:00:53.000 --> 00:00:55.320]  然後第三次我說
[00:00:55.320 --> 00:00:58.920]  那個高某耶穌的女人 耶穌說
[00:00:58.920 --> 00:01:01.040]  你們每逢傳福音
[00:01:01.040 --> 00:01:04.240]  要述說這女人為我所做的
[00:01:04.240 --> 00:01:06.240]  這女人為他做了什麼
[00:01:06.240 --> 00:01:08.400]  就是百上所有
[00:01:08.400 --> 00:01:10.240]  所以耶穌說
[00:01:10.240 --> 00:01:13.760]  不要一天到晚說神祝福我 神保守我
[00:01:13.760 --> 00:01:15.560]  我們為神做了什麼
[00:01:15.560 --> 00:01:17.080]  我們也要講
[00:01:17.080 --> 00:01:18.880]  傳福音的時候也要傳
[00:01:18.880 --> 00:01:21.400]  我們要怎樣為神做事情
[00:01:21.400 --> 00:01:23.240]  然後我又講了一次說
[00:01:23.240 --> 00:01:26.840]  我們福音傳遍了以後會是什麼樣子
[00:01:26.840 --> 00:01:28.000]  您知道嗎
[00:01:28.000 --> 00:01:30.960]  後來我跟著兩次講
[00:01:30.960 --> 00:01:34.240]  我們要學習耶穌傳福音
[00:01:34.240 --> 00:01:36.880]  耶穌是怎麼傳福音的
[00:01:36.880 --> 00:01:39.200]  連續講了兩次
[00:01:39.200 --> 00:01:42.320]  今天我要來跟各位講
[00:01:42.320 --> 00:01:44.760]  滿福堡的佳音
[00:01:44.760 --> 00:01:47.840]  這是一個傳福音的一個法寶
[00:01:47.840 --> 00:01:51.120]  我們不能一天到晚講說我們要讀經
[00:01:51.120 --> 00:01:54.120]  我們要禱告清淨神
[00:01:54.120 --> 00:01:56.280]  但是卻不去傳福音
[00:01:56.280 --> 00:01:58.280]  您知道我的意思嗎
[00:01:58.280 --> 00:02:01.080]  就好像你說你要去游泳
[00:02:01.080 --> 00:02:03.080]  你就一直在那邊軟身
[00:02:03.080 --> 00:02:04.640]  軟身 軟身
[00:02:04.640 --> 00:02:06.640]  卻一直不下水
[00:02:06.640 --> 00:02:10.320]  那你再多的練習都沒有用
