
[00:00:00.000 --> 00:00:04.900]  天國聖賢,我們有沒有份呢?
[00:00:04.900 --> 00:00:10.380]  有一次耶穌去參加一個人的邀請
[00:00:10.380 --> 00:00:12.780]  在錦區裡吃飯
[00:00:12.780 --> 00:00:14.900]  圍著桌子吃飯的時候
[00:00:14.900 --> 00:00:16.980]  耶穌就跟賓客說
[00:00:16.980 --> 00:00:18.100]  說什麼呢?
[00:00:18.100 --> 00:00:21.900]  他說那些異人
[00:00:21.900 --> 00:00:24.200]  將來在天國裡
[00:00:24.200 --> 00:00:27.900]  可以跟神一起享受一個豐盛的筵席
[00:00:27.900 --> 00:00:31.900]  這是對那些相信神的人
[00:00:31.900 --> 00:00:35.900]  一個祝福和一個很大的賞賜
[00:00:35.900 --> 00:00:37.900]  聖經告訴我們
[00:00:37.900 --> 00:00:39.900]  同籍的人聽到之後
[00:00:39.900 --> 00:00:41.900]  其中有一個就這樣說
[00:00:41.900 --> 00:00:46.900]  能夠在天國裡跟神一起享受筵席的那些人
[00:00:46.900 --> 00:00:49.900]  多麼有福呢
[00:00:49.900 --> 00:00:52.900]  不知道大家同不同意
[00:00:52.900 --> 00:00:55.900]  能夠在天國裡跟神一起坐籍
[00:00:55.900 --> 00:00:57.900]  坐在神的桌子
[00:00:57.900 --> 00:00:58.900]  跟神一起吃飯
[00:00:58.900 --> 00:01:00.900]  享受豐盛的筵席
[00:01:00.900 --> 00:01:03.900]  以及彼此徵求團契
[00:01:03.900 --> 00:01:06.900]  大家會不會同意這個人的說法
[00:01:06.900 --> 00:01:09.900]  我們能夠這樣就真的有福了
[00:01:09.900 --> 00:01:12.900]  不知道大家有沒有想過
[00:01:12.900 --> 00:01:16.900]  可能有些人覺得還離我們遠一點
[00:01:16.900 --> 00:01:20.900]  好像我們這個年紀就近一點
[00:01:20.900 --> 00:01:21.900]  但不知道大家有沒有想過
[00:01:21.900 --> 00:01:24.900]  在天國的筵席到底是怎樣的呢?
[00:01:24.900 --> 00:01:25.900]  有人想過嗎?
[00:01:25.900 --> 00:01:27.900]  現在的AI很厲害
[00:01:27.900 --> 00:01:30.900]  幫我們了解一下
[00:01:30.900 --> 00:01:33.900]  到底天國的筵席是怎樣的呢?
[00:01:33.900 --> 00:01:34.900]  我們聽一首歌吧
[00:01:34.900 --> 00:01:36.900]  看一段視頻
[00:01:36.900 --> 00:01:45.900]  我看完之後
[00:01:45.900 --> 00:01:47.900]  心裡其中一個問題
[00:01:47.900 --> 00:01:49.900]  不知道在天國的筵席裡
[00:01:49.900 --> 00:01:52.900]  有沒有粥粉和麵飯呢?
[00:01:52.900 --> 00:01:57.900]  還是全部都是吃麵包呢?
[00:01:57.900 --> 00:01:59.900]  不知道大家看完之後覺得
[00:01:59.900 --> 00:02:00.900]  天國裡面的筵席
[00:02:00.900 --> 00:02:04.900]  是不是就像視像所表達的一樣呢?
[00:02:04.900 --> 00:02:05.900]  如果你問我的話
[00:02:05.900 --> 00:02:07.900]  我相信在天國裡面的筵席
