
[00:00:00.000 --> 00:00:04.320]  我們又講一下羅馬書的結構
[00:00:04.320 --> 00:00:05.960]  跟你講過很多次
[00:00:05.960 --> 00:00:11.400]  羅馬書基本上第一到十一章都是神學上的論述
[00:00:11.400 --> 00:00:13.480]  可以說是比較理念一點的
[00:00:13.480 --> 00:00:16.880]  第一到第八章就講到所謂恩訊清義
[00:00:16.880 --> 00:00:18.120]  無門是負面
[00:00:18.120 --> 00:00:20.640]  沒有人能夠靠行為清義或者正面
[00:00:20.640 --> 00:00:22.480]  聖靈在我們心中
[00:00:22.480 --> 00:00:26.040]  我們怎樣過一個聖靈充滿的生活呢?
[00:00:26.040 --> 00:00:29.880]  第九到十一章就是解釋一個當時的難題
[00:00:29.880 --> 00:00:33.320]  為什麼很多以色列人沒有信耶穌呢?
[00:00:33.320 --> 00:00:38.160]  保羅的結論就是神沒有離棄猶太人
[00:00:38.160 --> 00:00:40.720]  只是神有祂的時間而已
[00:00:40.720 --> 00:00:43.680]  然後到十二章開始就是應用篇
[00:00:43.680 --> 00:00:48.240]  就是說既然我們有神這麼豐富的恩典
[00:00:48.240 --> 00:00:49.960]  聖靈已經在我們心中
[00:00:49.960 --> 00:00:52.360]  我們應該怎樣行事為人呢?
[00:00:52.360 --> 00:00:55.520]  所以十二章一節就開始講
[00:00:55.520 --> 00:00:58.640]  我們要將身體獻上當作活祭
[00:00:58.640 --> 00:01:00.360]  或者是理所當然的侍奉
[00:01:00.360 --> 00:01:03.760]  就是說我們要將我們的生命獻上
[00:01:03.760 --> 00:01:06.440]  十二章一直到十五章
[00:01:06.440 --> 00:01:11.640]  大概頭半章十五章大概七八節都是講
[00:01:11.640 --> 00:01:14.280]  就是講所謂將身體獻上
[00:01:14.280 --> 00:01:16.440]  我們的生命獻給主的時候
[00:01:16.440 --> 00:01:19.720]  我們是應該怎樣活出來的實際上
[00:01:19.720 --> 00:01:22.040]  保羅舉了不同的例子
[00:01:22.040 --> 00:01:23.800]  我們提過十二章
[00:01:23.800 --> 00:01:27.720]  他講完身體獻上這個原則之後
[00:01:27.720 --> 00:01:29.960]  接著他第一個例子就是講
[00:01:29.960 --> 00:01:31.720]  在教會的圈子裡面
[00:01:31.720 --> 00:01:33.680]  我們要學習彼此欣賞
[00:01:33.680 --> 00:01:35.880]  各人有各人的不同的恩賜
[00:01:35.880 --> 00:01:38.440]  我們要看別人比自己強
[00:01:38.440 --> 00:01:41.840]  他講完在教會的圈子裡面的生活
[00:01:41.840 --> 00:01:45.560]  接著他就講到我們在社會裡面的生活
[00:01:45.560 --> 00:01:46.760]  保羅就提到了
[00:01:46.760 --> 00:01:49.640]  作人以為美的事我們盡力去做
[00:01:49.640 --> 00:01:52.120]  盡可能與其他人和睦相處
[00:01:52.120 --> 00:01:55.320]  這個十二章下半節提到
[00:01:55.320 --> 00:01:57.960]  十三章就講到信服掌權
[00:01:57.960 --> 00:01:59.400]  這個很有爭議的題目
[00:01:59.400 --> 00:02:01.080]  不過上次都講過了
[00:02:01.080 --> 00:02:02.840]  去到十四章的時候
[00:02:02.840 --> 00:02:06.840]  其實保羅是回到在教會的群體
[00:02:06.840 --> 00:02:08.920]  好像十二章開頭那樣
[00:02:08.920 --> 00:02:10.600]  回到教會的群體
[00:02:10.600 --> 00:02:12.360]  我們應該怎樣生活的
[00:02:12.360 --> 00:02:15.160]  不過這次他舉的就是另一個例子
[00:02:15.160 --> 00:02:18.440]  就不是恩賜比較的問題
[00:02:18.440 --> 00:02:22.120]  就是講對錯的論斷的問題
[00:02:22.120 --> 00:02:23.960]  不過首先要講一件事
[00:02:23.960 --> 00:02:29.240]  保羅這裡強調的就是在教會的群體
[00:02:29.240 --> 00:02:32.600]  或者也引申到譬如在家裡面
[00:02:32.600 --> 00:02:35.400]  總之就是說在一個私人的層面
