
[00:00:00.000 --> 00:00:04.000]  我們一起來翻開聖經再跟因果後書
[00:00:04.000 --> 00:00:07.000]  我們要看第1章18-20節
[00:00:07.000 --> 00:00:14.000]  跟因果後書第1章
[00:00:14.000 --> 00:00:17.000]  我們要讀18-20節
[00:00:17.000 --> 00:00:20.000]  在新約248頁
[00:00:30.000 --> 00:00:40.000]  我們一起來讀從18節讀到20節
[00:00:40.000 --> 00:00:43.000]  我指著信十個神說
[00:00:43.000 --> 00:00:45.000]  我們向你們所傳的道
[00:00:45.000 --> 00:00:47.000]  並沒有是而又非的
[00:00:47.000 --> 00:00:50.000]  因為我和希臘並基摩泰
[00:00:50.000 --> 00:00:52.000]  在你們中間所傳
[00:00:52.000 --> 00:00:54.000]  神的兒子耶穌基督
[00:00:54.000 --> 00:00:56.000]  總沒有是而又非的
[00:00:56.000 --> 00:00:58.000]  在他只有一是
[00:00:58.000 --> 00:01:01.000]  神的應許不論有多少
[00:01:01.000 --> 00:01:03.000]  在基督都是是的
[00:01:03.000 --> 00:01:05.000]  所以藉著他
[00:01:05.000 --> 00:01:07.000]  他也都是實在的
[00:01:07.000 --> 00:01:10.000]  教神因我們得榮耀
[00:01:10.000 --> 00:01:11.000]  我們再讀一遍
[00:01:11.000 --> 00:01:13.000]  從18節讀到20節
[00:01:13.000 --> 00:01:16.000]  我指著信十個神說
[00:01:16.000 --> 00:01:18.000]  我們向你們所傳的道
[00:01:18.000 --> 00:01:20.000]  並沒有是而又非的
[00:01:20.000 --> 00:01:23.000]  因為我和希臘並基摩泰
[00:01:23.000 --> 00:01:25.000]  在你們中間所傳
[00:01:25.000 --> 00:01:27.000]  神的兒子耶穌基督
[00:01:27.000 --> 00:01:29.000]  總沒有是而又非的
[00:01:29.000 --> 00:01:31.000]  在他只有一是
[00:01:31.000 --> 00:01:33.000]  神的應許不論有多少
[00:01:33.000 --> 00:01:35.000]  在基督都是是的
[00:01:35.000 --> 00:01:37.000]  所以藉著他
[00:01:37.000 --> 00:01:39.000]  他也都是實在的
[00:01:39.000 --> 00:01:41.000]  教神因我們得榮耀
[00:01:41.000 --> 00:01:43.000]  我們一起來讀
[00:01:43.000 --> 00:01:47.000]  現在主我們再次來到你們面前
[00:01:47.000 --> 00:01:49.000]  求你來幫助我們
[00:01:49.000 --> 00:01:51.000]  讓我們坐在這裡
[00:01:51.000 --> 00:01:53.000]  讓我們來唱詩敬拜你
[00:01:53.000 --> 00:01:54.000]  主我要表明
[00:01:54.000 --> 00:01:56.000]  主我們尊榮你是我們的主
[00:01:56.000 --> 00:01:59.000]  也求你按著我們在你面前的回應
[00:01:59.000 --> 00:02:02.000]  主你釋下你的祝福跟恩利
[00:02:02.000 --> 00:02:03.000]  在我們當中
[00:02:03.000 --> 00:02:05.000]  求你拆敗聖靈在我們當中
[00:02:05.000 --> 00:02:07.000]  引導我們進入真理當中
[00:02:07.000 --> 00:02:08.000]  主我們謝謝你
[00:02:08.000 --> 00:02:11.000]  求你恩帶我們的心來歸向你
[00:02:11.000 --> 00:02:13.000]  幫助我們挪去在我們生命當中
[00:02:13.000 --> 00:02:15.000]  一切不合你心意的
[00:02:15.000 --> 00:02:17.000]  以致我們可以敬拜你
[00:02:17.000 --> 00:02:18.000]  尊榮你的時候
[00:02:18.000 --> 00:02:19.000]  我們更領受
[00:02:19.000 --> 00:02:22.000]  主你更大的祝福跟恩典
[00:02:22.000 --> 00:02:23.000]  是個在你面前
