
[00:00:00.000 --> 00:00:02.800]  今日的題目就是我說
[00:00:02.800 --> 00:00:05.800]  你欠生命一份神蹟
[00:00:05.800 --> 00:00:08.420]  你欠生命一份神蹟
[00:00:08.420 --> 00:00:11.440]  是我相信每一個人
[00:00:11.440 --> 00:00:16.760]  每一個人都entitled to one miracle
[00:00:16.760 --> 00:00:21.560]  即是說每一個人都是被分配到
[00:00:21.560 --> 00:00:26.600]  有一個神蹟在我們的生命裏面的
[00:00:26.600 --> 00:00:30.440]  我今日就是說你活到今日
[00:00:30.440 --> 00:00:34.480]  假如你都不能夠活得耀眼
[00:00:34.480 --> 00:00:37.320]  活得能夠榮神益人
[00:00:37.320 --> 00:00:41.520]  就一定是
[00:00:41.520 --> 00:00:45.240]  你沒有開啟那個神蹟
[00:00:45.240 --> 00:00:46.840]  沒有activate那個神蹟
[00:00:46.840 --> 00:00:48.960]  沒有啟動那個神蹟
[00:00:48.960 --> 00:00:53.800]  所以你慢慢慢慢你的生命是越活越暗淡了
[00:00:53.800 --> 00:00:55.880]  只有自己的努力
[00:00:55.880 --> 00:00:58.960]  但是就沒有了上帝的參與
[00:00:58.960 --> 00:01:02.000]  我要說的那些
[00:01:02.000 --> 00:01:05.640]  我要說的那些就完全不是勵志的東西
[00:01:05.640 --> 00:01:09.640]  又不是心理學上那些
[00:01:09.640 --> 00:01:13.240]  你知道現在心理學上很多這樣的書
[00:01:13.240 --> 00:01:15.840]  即是說怎樣做一個出色的人
[00:01:15.840 --> 00:01:18.520]  怎樣做一個管理的奇才
[00:01:18.520 --> 00:01:19.680]  那類這樣的東西
[00:01:19.680 --> 00:01:22.280]  就很多很多這類的書
[00:01:22.280 --> 00:01:25.880]  我一直都有一個不滿意就是說
[00:01:25.880 --> 00:01:31.280]  這些書那個神學的涵義在哪裏
[00:01:31.280 --> 00:01:40.880]  假如我們自己是只要調教一下我們的心理的方向
[00:01:40.880 --> 00:01:45.560]  我就可以發揮到生命的力量呢
[00:01:45.560 --> 00:01:49.680]  那就等於我們昔日的自救了
[00:01:49.680 --> 00:01:53.760]  即是說你只要行道德
[00:01:53.760 --> 00:01:57.200]  你只要修橋補路
[00:01:57.200 --> 00:01:59.480]  你就可以自己得救了
[00:01:59.480 --> 00:02:03.200]  如果我能夠反對我們中國這種
[00:02:03.200 --> 00:02:07.920]  自力更生的這種理論呢
[00:02:07.920 --> 00:02:11.760]  我就應該要同樣反對現今心理學上
[00:02:11.760 --> 00:02:15.960]  那種好像你只要re-adjust psychologically
[00:02:15.960 --> 00:02:19.120]  你就能夠做一個成功的人
[00:02:19.120 --> 00:02:21.600]  我說不行
[00:02:21.600 --> 00:02:27.200]  我說這些同樣是自力更生的害死人的道理
[00:02:27.200 --> 00:02:31.200]  所以很多人心理上校正了
[00:02:31.200 --> 00:02:34.480]  那個人仍然是一個空洞的人
[00:02:34.480 --> 00:02:40.440]  他仍然沒有那個神蹟在他的生命那裏被啟動
[00:02:40.440 --> 00:02:42.520]  我今天要和你們說的那些
