
[00:00:00.000 --> 00:00:01.660]  我們等下做個禱告
[00:00:01.660 --> 00:00:06.520]  主耶穌求祢幫助我們學習愛
[00:00:06.520 --> 00:00:09.480]  學習愛不是艱難的
[00:00:09.480 --> 00:00:11.840]  我們可能要付代價
[00:00:11.840 --> 00:00:15.640]  但這個代價是一個輕散的代價
[00:00:15.640 --> 00:00:18.180]  因為祢住在我們裏面
[00:00:18.180 --> 00:00:20.340]  祢為我們付這個代價
[00:00:20.340 --> 00:00:22.280]  祢給我們力量
[00:00:22.280 --> 00:00:24.320]  求今天聽到的時間
[00:00:24.320 --> 00:00:26.460]  祢在我們心中動功
[00:00:26.460 --> 00:00:28.340]  轉化我們的生命
[00:00:28.340 --> 00:00:32.780]  將以下時間交託祈禱奉耶穌基督名
[00:00:32.780 --> 00:00:38.580]  約翰一、二、三書的作者
[00:00:38.580 --> 00:00:40.800]  應該都是同約翰福音
[00:00:40.800 --> 00:00:43.020]  可能是同一個作者
[00:00:43.020 --> 00:00:44.240]  就算不是
[00:00:44.240 --> 00:00:46.240]  其實學術中有不少爭拗
[00:00:46.240 --> 00:00:50.820]  都是同一個可能是師徒關係那類
[00:00:50.820 --> 00:00:54.620]  老實說以我這種性情的人
[00:00:54.620 --> 00:00:56.620]  有時看約翰一書
[00:00:56.620 --> 00:00:58.620]  有時都覺得它頗煩的
[00:00:58.620 --> 00:01:02.000]  我經常都想像寫約翰一書的人
[00:01:02.000 --> 00:01:04.480]  不知是否八、九十歲的老人家
[00:01:04.480 --> 00:01:06.480]  對不起 有些年齡歧視
[00:01:06.480 --> 00:01:08.760]  所以說話就囉囉嗦嗦
[00:01:08.760 --> 00:01:11.160]  剛才你讀那段經文
[00:01:11.160 --> 00:01:14.920]  你都感受到愛字出現過很多次
[00:01:14.920 --> 00:01:18.360]  其實約翰一書是很短的
[00:01:18.360 --> 00:01:21.560]  但是愛作為一個名詞
[00:01:21.560 --> 00:01:25.960]  愛這個名詞希臘文在全本新約出現了一百三十五次
[00:01:25.960 --> 00:01:29.700]  但是在約翰一書已經出現了十六次
[00:01:29.700 --> 00:01:32.100]  佔了超過十分之一
[00:01:32.100 --> 00:01:34.680]  「愛」這個字都在約翰一書出現
