
[00:00:00.000 --> 00:00:08.240]  上星期五我和師母有機會邀請我們MillPeters有兩個已婚小組
[00:00:08.240 --> 00:00:10.360]  達比娜在家裏
[00:00:10.360 --> 00:00:14.440]  是否已婚小組?是已婚小組,CoupleZone
[00:00:14.440 --> 00:00:17.840]  接近感恩節的時間
[00:00:17.840 --> 00:00:22.240]  所以請我們來,大家有些溝通,大家團契,一起感謝天父上帝
[00:00:22.240 --> 00:00:25.960]  在我們聚會的時候,我們說今天沒有什麼特別的節目
[00:00:25.960 --> 00:00:28.760]  只不過希望大家做兩件事,其實還有一件事
[00:00:28.760 --> 00:00:30.480]  不過是兩個問題
[00:00:30.480 --> 00:00:36.280]  第一個就是我們希望每一個人都能夠分享一個為教會感恩的事
[00:00:36.280 --> 00:00:40.000]  然後又分享一件是為自己感恩的事
[00:00:40.000 --> 00:00:43.280]  兩個簡單的感恩,每一個人都要說的
[00:00:43.280 --> 00:00:47.120]  其實整晚時間就過了
[00:00:47.120 --> 00:00:50.480]  當他們分享教會感恩的事情的時候
[00:00:50.480 --> 00:00:52.880]  這群是下面MillPeters弟兄姊妹
[00:00:52.880 --> 00:00:56.000]  不是這裏教會的CoupleZone
[00:00:56.000 --> 00:01:00.520]  絕大部分的人為了什麼事感恩,大家知不知道?
[00:01:00.520 --> 00:01:03.040]  大家就很聰明地問
[00:01:03.040 --> 00:01:06.320]  是否我們Pleasanton的婚堂感恩
[00:01:06.320 --> 00:01:11.520]  他們其中不是全部人,但有很多人都有機會來參加我們的獻堂
[00:01:11.520 --> 00:01:15.080]  所以他們為了教會,蒙神自己的賜福
[00:01:15.080 --> 00:01:18.720]  我們能夠享有一個美麗的地方,在這裏抗爭神的家
[00:01:18.720 --> 00:01:21.240]  不同的情況,不同的體會
[00:01:21.240 --> 00:01:28.640]  但都是為了我們的婚堂,讚美天父上帝
[00:01:28.640 --> 00:01:32.360]  然後到我們分享個人的問題的時候
[00:01:32.360 --> 00:01:35.200]  每一個人有什麼感恩的事項呢?
[00:01:35.200 --> 00:01:42.840]  當然有些人說得多些,有些人說得少些
[00:01:42.840 --> 00:01:47.640]  我在想,每一個人如果信耶穌的話
[00:01:47.640 --> 00:01:52.840]  我們都應該經歷天父上帝很多的恩典
[00:01:52.840 --> 00:01:56.400]  如果我將當日的問題,今天問大家
[00:01:56.400 --> 00:01:59.360]  如果我問大家的話,可能你們每一個在這裏聚會的
[00:01:59.360 --> 00:02:01.720]  都會為了Pleasanton感恩
[00:02:01.720 --> 00:02:03.640]  搬了進來,多開心多快樂呢?
[00:02:03.640 --> 00:02:06.320]  那種喜悅還沒過去
[00:02:06.320 --> 00:02:08.960]  但如果我真的問,現在就問
[00:02:08.960 --> 00:02:14.160]  我正在想一想,你可不可以為自己一件事感恩?
[00:02:14.160 --> 00:02:18.160]  你真的要想一想
[00:02:18.160 --> 00:02:20.280]  為什麼要想一想呢?
[00:02:20.280 --> 00:02:23.120]  兩個情境,兩個原因
[00:02:23.120 --> 00:02:26.760]  一個是太多的感恩,不知道該說哪一件好
[00:02:26.760 --> 00:02:30.880]  太多要感謝讚美天父,都不知道該說哪一件事感恩好
[00:02:30.880 --> 00:02:32.480]  但另一件事呢?
[00:02:32.480 --> 00:02:37.120]  可能說都沒什麼特別,不知道該說什麼感恩
[00:02:37.120 --> 00:02:43.160]  一時之間目色地問,想不起有什麼可以感謝,讚美上帝的
[00:02:43.160 --> 00:02:48.280]  我看是這兩個不同的情境
[00:02:48.280 --> 00:02:52.160]  有時我們一個措手不及,真的會想不起
[00:02:52.160 --> 00:02:56.160]  我記得我讀小學的時候
[00:02:56.160 --> 00:02:58.320]  當然是很多年前
[00:02:58.320 --> 00:03:04.320]  我記得那時候是每一次農曆新年的時間
[00:03:04.320 --> 00:03:06.440]  就很開心的,為什麼呢?
[00:03:06.440 --> 00:03:09.360]  不是單單有利是收,是什麼呢?
[00:03:09.360 --> 00:03:11.240]  有新衣服穿
[00:03:11.240 --> 00:03:15.480]  在那個時間,只有農曆新年才有新衣服穿
[00:03:15.480 --> 00:03:19.080]  所以很開心,這次爸爸媽媽,爸爸不會理媽媽了
[00:03:19.080 --> 00:03:23.280]  買件什麼新衣服給我呢,很開心,期待著有新衣服穿
[00:03:23.280 --> 00:03:26.960]  然後在那個時間,只有一雙鞋子
[00:03:26.960 --> 00:03:28.680]  做什麼都是那雙鞋子
