
[00:00:00.000 --> 00:00:03.540]  大家如果相信了一段時間
[00:00:03.540 --> 00:00:06.380]  你看到這個題目應該有些特別的感受
[00:00:06.380 --> 00:00:08.460]  特別的感受在於
[00:00:08.460 --> 00:00:10.080]  不是吧?
[00:00:10.080 --> 00:00:12.180]  主一講道講這樣的題目
[00:00:12.180 --> 00:00:15.580]  會不會講得完呢?
[00:00:15.580 --> 00:00:17.380]  這個題目很大
[00:00:17.380 --> 00:00:19.380]  人們講了幾百年
[00:00:19.380 --> 00:00:22.540]  整個的神學課程
[00:00:22.540 --> 00:00:24.620]  可能人們的博士論文
[00:00:24.620 --> 00:00:26.740]  都是要研究這件事而已
[00:00:26.740 --> 00:00:28.880]  現在這樣拿來講道
[00:00:28.880 --> 00:00:31.000]  講不講得完呢?
[00:00:31.000 --> 00:00:33.200]  這是一個很大的挑戰
[00:00:33.200 --> 00:00:34.860]  我們呢
[00:00:34.860 --> 00:00:37.360]  因為教會的特殊性
[00:00:37.360 --> 00:00:42.600]  我們沒有一個很經常性的主要學
[00:00:42.600 --> 00:00:44.840]  讓大家很有系統地
[00:00:44.840 --> 00:00:47.160]  去學習聖經的真理
[00:00:47.160 --> 00:00:48.840]  所以很多時候一些
[00:00:48.840 --> 00:00:55.180]  放在主要學或者神學院課程講座的東西
[00:00:55.180 --> 00:00:57.840]  我都會拿出來在講道那裡講
[00:00:57.840 --> 00:01:00.680]  但是大家不用怕了一些題目
[00:01:00.680 --> 00:01:03.100]  好像很大、好像很難明白
[00:01:03.100 --> 00:01:04.480]  其實我們的信仰
[00:01:04.480 --> 00:01:06.980]  並不是要難明白的
[00:01:06.980 --> 00:01:09.540]  當然有時候我開玩笑
[00:01:09.540 --> 00:01:11.500]  跟有些姐妹講音樂
[00:01:11.500 --> 00:01:14.380]  大家都明白我不是一個音樂人
[00:01:14.380 --> 00:01:16.280]  我是本土出家
[00:01:16.280 --> 00:01:18.440]  去學習學習
[00:01:18.440 --> 00:01:19.400]  但是
[00:01:19.400 --> 00:01:20.400]  我又覺得
[00:01:20.400 --> 00:01:24.440]  其實音樂對一般普通人來說
[00:01:24.440 --> 00:01:28.360]  那個需用的程度也不是那麼艱深難明而已
[00:01:28.360 --> 00:01:32.440]  只要你有方法、有系統地慢慢認識
[00:01:32.440 --> 00:01:34.820]  某一個合用的程度
[00:01:34.820 --> 00:01:37.200]  都是足夠容易掌握的
[00:01:37.200 --> 00:01:39.640]  我覺得神學或者聖經的真理
