
[00:00:00.000 --> 00:00:04.000]  我哋今次嘅講道系列都係講到
[00:00:04.000 --> 00:00:09.000]  夠呀 夠唔夠呢 夠唔夠呀 夠了嗎
[00:00:09.000 --> 00:00:12.000]  我諗呢 我哋有時都問呢個問題呀
[00:00:12.000 --> 00:00:15.000]  好多嘢呢係唔夠㗎 係咪呀
[00:00:15.000 --> 00:00:20.000]  好似錢啦 如果話夠唔夠呢 多數都話唔夠
[00:00:20.000 --> 00:00:25.000]  十蚊仔夠唔夠呢 一個 兩個 三個呀
[00:00:25.000 --> 00:00:28.000]  有啲話三個夠啦 可能我哋中央有啲弟兄姊妹呢
[00:00:28.000 --> 00:00:31.000]  生四個 五個呀 嘅
[00:00:31.000 --> 00:00:34.000]  我哋唔知究竟夠唔夠呢
[00:00:34.000 --> 00:00:36.000]  就咩可以滿足到我哋
[00:00:36.000 --> 00:00:39.000]  所以今日呢 我哋想講呢個題目呢就係呢
[00:00:39.000 --> 00:00:44.000]  我夠唔夠屬靈呢 夠唔夠屬靈呢
[00:00:44.000 --> 00:00:46.000]  喺教會當中呢 耐嘅弟兄姊妹呢
[00:00:46.000 --> 00:00:51.000]  成日都聽到呢個名嘅屬靈嘅 屬靈呀
[00:00:51.000 --> 00:00:54.000]  但係好抽象 好抽象呀
[00:00:54.000 --> 00:00:59.000]  咁好耐以前呢 倪拓星 傳道人呀
[00:00:59.000 --> 00:01:03.000]  咁好耐嘅傳道人 佢寫本書叫做屬靈人呀
[00:01:03.000 --> 00:01:07.000]  唔知邊個睇過 都唔容易睇嘅 好長嘅
[00:01:07.000 --> 00:01:11.000]  但睇完之後係咪會屬靈咗啲呢
[00:01:11.000 --> 00:01:15.000]  究竟我哋有幾屬靈呢 我哋夠唔夠屬靈呢
[00:01:15.000 --> 00:01:18.000]  初五嘅屬靈嘅觀念呢
[00:01:18.000 --> 00:01:23.000]  就係呢 影響咗教會嘅合一嘅
[00:01:23.000 --> 00:01:26.000]  如果你覺得自己好屬靈嘅話呢
[00:01:26.000 --> 00:01:29.000]  其實我哋就唔屬靈呀
[00:01:29.000 --> 00:01:32.000]  唔知大家覺得自己屬唔屬靈呀
[00:01:32.000 --> 00:01:34.000]  咁點樣先屬靈呢
[00:01:34.000 --> 00:01:37.000]  有啲教會就話呢 你一定要
[00:01:37.000 --> 00:01:41.000]  即係 著到好市政返嚟啦
[00:01:41.000 --> 00:01:45.000]  咁會點教會 有啲老啲嘅牧師都話
[00:01:45.000 --> 00:01:50.000]  我哋牧師唔屬靈 點解佢話你唔打太嘅
[00:01:50.000 --> 00:01:53.000]  或者你係唔揸住本厚嘅聖經
