
[00:00:00.000 --> 00:00:02.000]  各位聽眾準備好
[00:00:02.000 --> 00:00:04.000]  好
[00:00:04.000 --> 00:00:06.000]  很高興
[00:00:06.000 --> 00:00:08.000]  今天是
[00:00:08.000 --> 00:00:10.000]  農曆年的
[00:00:10.000 --> 00:00:12.000]  十六
[00:00:12.000 --> 00:00:14.000]  是嗎?
[00:00:14.000 --> 00:00:16.000]  昨天是十五
[00:00:16.000 --> 00:00:18.000]  看到你們報告裡面說
[00:00:18.000 --> 00:00:20.000]  昨天有那個慶祝
[00:00:20.000 --> 00:00:22.000]  春晚的
[00:00:22.000 --> 00:00:24.000]  春晚的慶祝
[00:00:24.000 --> 00:00:26.000]  因為昨天晚上就是年宵吧
[00:00:26.000 --> 00:00:28.000]  是嗎?
[00:00:28.000 --> 00:00:30.000]  這次你們有那麼多人
[00:00:30.000 --> 00:00:32.000]  參加一起來慶祝
[00:00:32.000 --> 00:00:34.000]  這個過年這個是好事
[00:00:34.000 --> 00:00:36.000]  我錯過了
[00:00:36.000 --> 00:00:40.000]  我看到你們
[00:00:40.000 --> 00:00:44.000]  這個地區
[00:00:44.000 --> 00:00:46.000]  能夠招聚到那麼多
[00:00:46.000 --> 00:00:48.000]  不但郊外裡面的人
[00:00:48.000 --> 00:00:50.000]  還有郊外外面的人
[00:00:50.000 --> 00:00:52.000]  都是華人吧
[00:00:52.000 --> 00:00:54.000]  如果大家在一塊的話
[00:00:54.000 --> 00:00:56.000]  這個是非常非常不容易的事情
[00:00:56.000 --> 00:00:58.000]  非常的高興
[00:00:58.000 --> 00:01:00.000]  能夠大家在一塊
[00:01:00.000 --> 00:01:02.000]  所以我想到你們這個情況的話
[00:01:02.000 --> 00:01:04.000]  真的跟我今天
[00:01:04.000 --> 00:01:06.000]  所講的這個題目
[00:01:06.000 --> 00:01:08.000]  其實也是
[00:01:08.000 --> 00:01:10.000]  息息相關的
[00:01:10.000 --> 00:01:12.000]  非常
[00:01:12.000 --> 00:01:14.000]  能夠
[00:01:14.000 --> 00:01:16.000]  連得上這個關係
[00:01:16.000 --> 00:01:18.000]  我今天跟大家
[00:01:18.000 --> 00:01:20.000]  要分享的題目就是
[00:01:20.000 --> 00:01:22.000]  一個蒙福的
[00:01:22.000 --> 00:01:24.000]  蒙到上帝祝福的
[00:01:24.000 --> 00:01:26.000]  一個教會的生活
[00:01:26.000 --> 00:01:30.000]  教會是什麼呢?
[00:01:30.000 --> 00:01:34.000]  我們中國人
[00:01:34.000 --> 00:01:36.000]  從老遠的地方
[00:01:36.000 --> 00:01:38.000]  來到美國
[00:01:38.000 --> 00:01:40.000]  離鄉別井
[00:01:40.000 --> 00:01:42.000]  跑到那麼遠的地方
[00:01:42.000 --> 00:01:44.000]  在這裡有更好的工作
