
[00:00:00.000 --> 00:00:03.640]  事實上California是一個很特別的地方
[00:00:03.640 --> 00:00:06.760]  本來是一個沙漠 沒有水
[00:00:06.760 --> 00:00:08.840]  後來就叫Garden Grove
[00:00:08.840 --> 00:00:10.320]  有很多橙子
[00:00:10.320 --> 00:00:13.120]  你看那套電影叫Chinatown
[00:00:13.120 --> 00:00:15.740]  你就知道水從那裡來
[00:00:15.740 --> 00:00:18.120]  我在California住了三年
[00:00:18.120 --> 00:00:22.360]  在南加州讀電影 在USC
[00:00:22.360 --> 00:00:25.440]  Star Wars的George Lucas
[00:00:25.440 --> 00:00:29.240]  和Steven Spielberg都在那裡讀書
[00:00:29.240 --> 00:00:31.400]  George Lucas給學費
[00:00:31.400 --> 00:00:35.200]  Steven Spielberg就偷偷地走來聽課
[00:00:35.200 --> 00:00:36.920]  後來他成名之後
[00:00:36.920 --> 00:00:45.640]  他奉獻140萬美金給南加大學
[00:00:45.640 --> 00:00:50.000]  賠償他的學費
[00:00:50.000 --> 00:00:52.040]  我們有一部電影
[00:00:52.040 --> 00:00:55.720]  在電影門口寫了一句話
[00:00:55.720 --> 00:01:01.680]  Reality Stops Here 夢想就開始
[00:01:01.680 --> 00:01:04.760]  現實在這裡停止
[00:01:04.760 --> 00:01:07.720]  對Silicon Valley來說都很相似
[00:01:07.720 --> 00:01:09.840]  今天年輕人做兩件事
[00:01:09.840 --> 00:01:11.240]  一件事就是四吋螢幕
[00:01:11.240 --> 00:01:14.480]  一件事就是大電影
[00:01:14.480 --> 00:01:16.760]  美國更慘
[00:01:16.760 --> 00:01:19.360]  人們都不去電影院
[00:01:19.360 --> 00:01:23.280]  香港大陸都越來越多人去電影院
[00:01:23.280 --> 00:01:24.680]  所以我很開心
[00:01:24.680 --> 00:01:27.400]  看見你們有一個Panorama的背景
[00:01:27.400 --> 00:01:28.720]  我們仍然相信
[00:01:28.720 --> 00:01:32.280]  四吋螢幕以外還有世界
[00:01:32.280 --> 00:01:33.680]  很重要
[00:01:33.680 --> 00:01:35.840]  所以今天我希望和大家
[00:01:35.840 --> 00:01:39.280]  來看看誰是天下無敵
[00:01:39.280 --> 00:01:41.320]  怎樣死裡逃生
[00:01:41.320 --> 00:01:45.880]  我們先低頭祈禱
[00:01:45.880 --> 00:01:47.880]  主我們感謝祢
[00:01:47.880 --> 00:01:52.480]  祢的恩典幫助我們進入真理
[00:01:52.480 --> 00:01:55.880]  祢導誠肉身讓我們有生命
[00:01:55.880 --> 00:01:57.240]  讓我們有光
[00:01:57.240 --> 00:01:59.240]  讓我們有真理
[00:01:59.240 --> 00:02:01.560]  願祢真是今天捉住我們的心
[00:02:01.560 --> 00:02:03.440]  讓我們知道祢是誰
[00:02:03.440 --> 00:02:05.360]  讓我們知道我們在做什麼
