
[00:00:00.000 --> 00:00:03.000]  各位電影節目,記不記得上一個月講到
[00:00:03.000 --> 00:00:06.000]  講以弗所書第一章的時候,和你們講什麼?
[00:00:06.000 --> 00:00:08.000]  好尷尬喔
[00:00:08.000 --> 00:00:12.000]  記不記得?不記得?
[00:00:12.000 --> 00:00:14.000]  感動喔
[00:00:14.000 --> 00:00:20.000]  我上次問了你們好多次,讀完第一章一至六十四節
[00:00:20.000 --> 00:00:22.000]  有沒有給神的說話,感動你?
[00:00:22.000 --> 00:00:24.000]  感動
[00:00:24.000 --> 00:00:27.000]  因為三為一體的上帝,祂的愛
[00:00:27.000 --> 00:00:29.000]  對我們的呼召,對我們的愛
[00:00:30.000 --> 00:00:33.000]  給我們生命當中,很多很多的感動
[00:00:33.000 --> 00:00:37.000]  以致我們不停的讚美祂
[00:00:37.000 --> 00:00:42.000]  這次到以弗所書第一章十五至二十三節
[00:00:42.000 --> 00:00:45.000]  我們講一下教會的建立
[00:00:45.000 --> 00:00:47.000]  教會建立
[00:00:47.000 --> 00:00:52.000]  你認為我們拍師宣導會
[00:00:52.000 --> 00:00:55.000]  藍堂,粵語堂
[00:00:55.000 --> 00:00:59.000]  我們教會的建立,我們的發展,我們的成長
[00:01:01.000 --> 00:01:03.000]  最重要的是什麼?
[00:01:03.000 --> 00:01:11.000]  什麼是最重要的呢?
[00:01:11.000 --> 00:01:22.000]  我相信每一個人心裡都有一樣
[00:01:22.000 --> 00:01:25.000]  首先在你的腦裡出現的東西
[00:01:25.000 --> 00:01:28.000]  第一印象是什麼?
[00:01:30.000 --> 00:01:32.000]  我們需要同心
[00:01:32.000 --> 00:01:34.000]  詳盡的計劃
[00:01:34.000 --> 00:01:37.000]  清楚的意象,方向
[00:01:37.000 --> 00:01:40.000]  我們需要有地方
[00:01:40.000 --> 00:01:42.000]  錢
[00:01:42.000 --> 00:01:43.000]  人
[00:01:43.000 --> 00:01:46.000]  還有什麼呢?
[00:01:46.000 --> 00:01:49.000]  今天我們祈求神
[00:01:49.000 --> 00:01:52.000]  透過這段經文幫助我們去明白
[00:01:52.000 --> 00:01:54.000]  神祂自己的心意
[00:01:54.000 --> 00:01:59.000]  神要怎樣來建立我們教會,建立我們粵語堂
[00:01:59.000 --> 00:02:01.000]  我們低頭再一次禱告
[00:02:01.000 --> 00:02:12.000]  親愛的天父上帝,我們求祢
[00:02:12.000 --> 00:02:16.000]  求祢的說話
[00:02:16.000 --> 00:02:19.000]  打入我們的內心裡
[00:02:19.000 --> 00:02:22.000]  求祢幫助我們謙卑下來
[00:02:26.000 --> 00:02:30.000]  打開我們的眼睛,打開我們的耳朵,打開我們的心
[00:02:30.000 --> 00:02:33.000]  恭聽神祢自己的教導
[00:02:33.000 --> 00:02:36.000]  帶領我們這段時間
[00:02:36.000 --> 00:02:40.000]  禱告奉耶穌基督聖名求,阿門
[00:02:40.000 --> 00:02:43.000]  首先我們來看看
[00:02:43.000 --> 00:02:49.000]  教會發展
[00:02:49.000 --> 00:02:51.000]  第一件事
[00:02:51.000 --> 00:02:55.000]  神很想我們用禱告來建立我們的教會
[00:02:56.000 --> 00:02:58.000]  我們再一次讀一讀
[00:02:58.000 --> 00:03:01.000]  十五,十六節,預備,一,二,三
