
[00:00:00.000 --> 00:00:03.800]  現在我想和大家一起超越時間的空間
[00:00:03.800 --> 00:00:09.680]  回到保羅寫迦拉太書時的背景
[00:00:09.680 --> 00:00:15.240]  我們看看他在甚麼場景下寫這封信
[00:00:15.240 --> 00:00:20.880]  保羅在寫這封信時也頗不客氣
[00:00:20.880 --> 00:00:24.240]  我們看看三章一節
[00:00:24.240 --> 00:00:26.240]  無知的迦拉太人
[00:00:26.240 --> 00:00:28.160]  耶穌基督釘十字架
[00:00:28.160 --> 00:00:30.720]  已經活畫在你們眼前
[00:00:30.720 --> 00:00:33.440]  誰又迷惑你們呢?
[00:00:33.440 --> 00:00:35.440]  他說無知的迦拉太人
[00:00:35.440 --> 00:00:37.440]  你想像一下如果我在這裏
[00:00:37.440 --> 00:00:39.960]  無知的太古城堂會有
[00:00:39.960 --> 00:00:43.360]  我想會立即把我扔下台
[00:00:43.360 --> 00:00:46.160]  這是一個相當不客氣的
[00:00:46.160 --> 00:00:50.040]  為何保羅要這麼肉緊呢?
[00:00:50.040 --> 00:00:52.040]  我們接下來看看那兩節
[00:00:52.040 --> 00:00:53.680]  請大家一起讀
[00:00:53.680 --> 00:00:57.240]  我只要問你們這一件事
[00:00:57.240 --> 00:00:59.240]  你們受了聖靈
[00:00:59.240 --> 00:01:01.240]  是因行律法
[00:01:01.240 --> 00:01:03.240]  是因信仰信仰
[00:01:03.240 --> 00:01:05.880]  你們會有機會靠聖靈來服務
[00:01:05.880 --> 00:01:08.880]  如果沒有靠聖靈來服務
[00:01:08.880 --> 00:01:11.760]  你們會自給自足嗎?
[00:01:11.760 --> 00:01:15.360]  在這裏保羅主要問他們兩個問題
[00:01:15.360 --> 00:01:16.640]  第一
[00:01:16.640 --> 00:01:19.440]  你們信耶穌接受了聖靈
[00:01:19.440 --> 00:01:20.960]  有新生命的開始
[00:01:20.960 --> 00:01:22.960]  是憑甚麼呢?
[00:01:22.960 --> 00:01:24.960]  是因著信心
[00:01:24.960 --> 00:01:30.080]  還是因行律法而得以稱義呢?
[00:01:30.080 --> 00:01:32.080]  第二個問題
[00:01:32.080 --> 00:01:33.680]  你們信了耶穌
[00:01:33.680 --> 00:01:34.960]  有聖靈
[00:01:34.960 --> 00:01:37.960]  為何現在你們又要以為
[00:01:37.960 --> 00:01:39.960]  要靠守律法
[00:01:39.960 --> 00:01:42.960]  才能保住救恩呢?
[00:01:42.960 --> 00:01:44.960]  這裏有兩個問題
[00:01:44.960 --> 00:01:49.960]  在這裏
[00:01:49.960 --> 00:01:52.960]  如果我們看回《士道行傳》的記載
[00:01:52.960 --> 00:01:54.960]  我們知道
[00:01:54.960 --> 00:01:56.960]  保羅當時如此肉緊
[00:01:56.960 --> 00:01:58.960]  虎口婆心地去教導
[00:01:58.960 --> 00:02:01.960]  這班加拉太的信徒
[00:02:01.960 --> 00:02:04.960]  其實大多數都是外邦人
[00:02:04.960 --> 00:02:07.960]  他們是一班信了主的外邦人
[00:02:07.960 --> 00:02:11.960]  其實是在保羅第一次去旅行報道的時候
[00:02:11.960 --> 00:02:13.960]  帶他們信耶穌
[00:02:13.960 --> 00:02:15.960]  所以他們都是保羅所結的果子
[00:02:15.960 --> 00:02:20.960]  但後來保羅要到其他地方傳道
[00:02:20.960 --> 00:02:22.960]  所以他們離開了
[00:02:22.960 --> 00:02:24.960]  他們離開之後
[00:02:24.960 --> 00:02:26.960]  有一些猶太人來到
[00:02:26.960 --> 00:02:28.960]  這些信主的猶太人
[00:02:28.960 --> 00:02:31.960]  在中間散播一些道理
[00:02:31.960 --> 00:02:35.960]  說你們只是憑信心信了也不夠
[00:02:35.960 --> 00:02:38.960]  要守住舊約的律法
[00:02:38.960 --> 00:02:40.960]  於是這些加拉太的信徒
[00:02:40.960 --> 00:02:43.960]  他們就陷入一個疑惑
[00:02:43.960 --> 00:02:46.960]  到底我們是否信恩信稱義就行呢?
[00:02:46.960 --> 00:02:49.960]  還是還要守住舊約的律法
[00:02:49.960 --> 00:02:51.960]  那些律法才可以保住舊恩呢?
[00:02:51.960 --> 00:02:55.960]  特別其中有一條就是割禮
[00:02:55.960 --> 00:02:59.960]  割禮就是男性割包皮
[00:02:59.960 --> 00:03:04.960]  猶太人在那些男生生出來的第八天
[00:03:04.960 --> 00:03:06.960]  他們就會守割禮
[00:03:06.960 --> 00:03:08.960]  割禮是一個象徵
[00:03:08.960 --> 00:03:11.960]  也是神和阿伯拉罕納約的時候
[00:03:11.960 --> 00:03:13.960]  吩咐阿伯拉罕和他的後裔
[00:03:13.960 --> 00:03:15.960]  都要守這個割禮
[00:03:15.960 --> 00:03:20.960]  這個割禮證明這些人就是神的選民
[00:03:20.960 --> 00:03:23.960]  這些外邦人就會想
[00:03:23.960 --> 00:03:26.960]  到底我們是否還要守這些割禮
[00:03:26.960 --> 00:03:27.960]  這些律法呢?
[00:03:27.960 --> 00:03:29.960]  才可以保住舊恩呢?
[00:03:29.960 --> 00:03:35.960]  保羅就是針對當時很多似是而非的道理
[00:03:35.960 --> 00:03:37.960]  來流傳
[00:03:37.960 --> 00:03:39.960]  所以他就來寫這個加拉太書
[00:03:39.960 --> 00:03:43.960]  他特別在第二至第三章這段經文裏
[00:03:43.960 --> 00:03:45.960]  作出回應
[00:03:45.960 --> 00:03:48.960]  他的回應主要有兩個重點
[00:03:48.960 --> 00:03:52.960]  第一個重點就在第二章十六節
[00:03:52.960 --> 00:03:54.960]  我想請大家一起讀
[00:04:14.960 --> 00:04:17.960]  保羅在這裏講得很清楚
[00:04:17.960 --> 00:04:19.960]  就是要恩信稱義
[00:04:19.960 --> 00:04:23.960]  稱義就是指被定為無罪
[00:04:23.960 --> 00:04:25.960]  人在上帝的面前
[00:04:25.960 --> 00:04:27.960]  怎樣才可以被定為無罪呢?
[00:04:27.960 --> 00:04:30.960]  恩信稱義的意思就是憑信心
[00:04:30.960 --> 00:04:34.960]  憑著我們對上帝的信心
[00:04:34.960 --> 00:04:37.960]  我們相信主耶穌基督是神
[00:04:37.960 --> 00:04:40.960]  接受祂做我們救主和生命的主
[00:04:40.960 --> 00:04:43.960]  因著這個信心
[00:04:43.960 --> 00:04:46.960]  我們就得以在上帝的面前體為無罪
[00:04:46.960 --> 00:04:48.960]  這個就是恩信稱義
[00:04:48.960 --> 00:04:53.960]  為什麼保羅會肯定恩信能夠稱義呢?
[00:04:53.960 --> 00:04:57.960]  其實他在另一本羅馬書裏
[00:04:57.960 --> 00:04:59.960]  講解得更加清楚
[00:04:59.960 --> 00:05:01.960]  在那裏他講得很清楚
[00:05:01.960 --> 00:05:05.960]  律法的功用不是使人得救
[00:05:05.960 --> 00:05:09.960]  律法是使人知罪
[00:05:09.960 --> 00:05:11.960]  我舉個例子
[00:05:11.960 --> 00:05:13.960]  大家都坐過的士
