
[00:00:00.000 --> 00:00:06.000]  今日回來了,讀一節聖經,馬達菲林第五章第十三節
[00:00:06.000 --> 00:00:13.000]  這些是世上的鹽,鹽如果失了味就變得沒用
[00:00:13.000 --> 00:00:16.000]  只會被人扔在外面踩
[00:00:16.000 --> 00:00:19.000]  當然這一節聖經解釋有很多
[00:00:19.000 --> 00:00:21.000]  為什麼鹽會失了味呢?
[00:00:21.000 --> 00:00:26.000]  因為在巴勒斯坦的地方,那些鹽是Rock Salt
[00:00:26.000 --> 00:00:33.000]  就是因為他們不是近海,下了雨雨水積聚在岩石縫那裡
[00:00:33.000 --> 00:00:39.000]  或者在岩層慢慢沉澱積聚了就變成鹽,因為慢慢鹹
[00:00:39.000 --> 00:00:41.000]  我們出汗都知道
[00:00:41.000 --> 00:00:47.000]  但是有些是表面上的,表層的鹹度不是那麼多
[00:00:47.000 --> 00:00:49.000]  可能根本上是不鹹的
[00:00:49.000 --> 00:00:51.000]  這些有什麼用呢?沒用的
[00:00:51.000 --> 00:00:58.000]  但是有相當的硬度就會用來鋪路,所以就被人踐踏
[00:00:58.000 --> 00:01:01.000]  當然有一定的意思在那裡
[00:01:01.000 --> 00:01:04.000]  我相信這個解釋大家都聽過很多次
[00:01:04.000 --> 00:01:08.000]  今天我反而是想從另一個角度來和大家看
[00:01:08.000 --> 00:01:10.000]  其實我們是世上的鹽
[00:01:10.000 --> 00:01:16.000]  當時主耶穌對著那些門徒或者很多跟從祂的人
[00:01:16.000 --> 00:01:19.000]  如果我們看馬達菲林第五章第一節那裡怎麼說
[00:01:19.000 --> 00:01:24.000]  當耶穌在加利利那裡行了很多神蹟、醫病、趕鬼
[00:01:24.000 --> 00:01:28.000]  因此很多人都冒祂的名
[00:01:28.000 --> 00:01:31.000]  因為祂有這樣的能力
[00:01:31.000 --> 00:01:36.000]  正如路加菲林到祂被釘復活之後
[00:01:36.000 --> 00:01:38.000]  那些門徒回頭看
[00:01:38.000 --> 00:01:44.000]  就說祂是一個說話和行事都有能力的先知
[00:01:44.000 --> 00:01:50.000]  當時他們回顧可能已經有些人因為祂能夠行神蹟
[00:01:50.000 --> 00:01:53.000]  被祂吸引,所以跟著祂去
[00:01:53.000 --> 00:01:55.000]  馬達菲林第五章第一節說
[00:01:55.000 --> 00:01:58.000]  那時候跟從祂的人很多
[00:01:58.000 --> 00:02:01.000]  耶穌就帶他們上山那裡
[00:02:01.000 --> 00:02:05.000]  然後就叫那些門徒來到祂的面前
[00:02:05.000 --> 00:02:07.000]  開口教訓他們
[00:02:07.000 --> 00:02:09.000]  然後就說八福
[00:02:09.000 --> 00:02:16.000]  有八個有福的人,虛心的人有福
[00:02:16.000 --> 00:02:19.000]  然後就來到第十三節
[00:02:19.000 --> 00:02:22.000]  說你們是世上的兒
[00:02:22.000 --> 00:02:25.000]  當然你們究竟是指什麼人呢?
[00:02:25.000 --> 00:02:27.000]  我相信是指那些門徒
[00:02:27.000 --> 00:02:29.000]  就是那些門徒
[00:02:29.000 --> 00:02:31.000]  就是那些願意學耶穌的說話
[00:02:31.000 --> 00:02:33.000]  願意聽耶穌說話的人
[00:02:33.000 --> 00:02:38.000]  正如八福,很多時候我們以為八福是神給我們的福氣
[00:02:38.000 --> 00:02:41.000]  但是你看回今天,沒可能這些是神給我們的福氣
[00:02:41.000 --> 00:02:43.000]  虛心的人
[00:02:43.000 --> 00:02:45.000]  哀傷的人
[00:02:45.000 --> 00:02:49.000]  為二受逼迫的人
[00:02:49.000 --> 00:02:51.000]  饑渴無意
[00:02:51.000 --> 00:02:54.000]  我們也想神給我們一個饑渴的心
