
[00:00:00.000 --> 00:00:02.000]  我們一起先有祈禱
[00:00:30.000 --> 00:00:43.000]  所以大家都認識有一個時裝品牌叫GAP
[00:00:43.000 --> 00:00:47.000]  甚至是有人在昨天我講這篇稿子的時候
[00:00:47.000 --> 00:00:50.000]  在有位會長進來的時候
[00:00:50.000 --> 00:00:54.000]  我們就看到他穿了一件GAP的衣服進來
[00:00:54.000 --> 00:00:57.000]  這個品牌非常出名流行
[00:00:57.000 --> 00:01:04.000]  甚至在美國你也會去買一些便宜有質素的GAP時裝
[00:01:04.000 --> 00:01:08.000]  很多人會猜為什麼這個時裝品牌叫GAP
[00:01:08.000 --> 00:01:17.000]  這個品牌是來自美國三藩市在1969年開始第一間店舖
[00:01:17.000 --> 00:01:19.000]  一直發展到今天
[00:01:19.000 --> 00:01:26.000]  原來有一個謠言有人說GAP其實意思是一個英文宿舍
[00:01:26.000 --> 00:01:30.000]  宿舍是Gate and Pride
[00:01:30.000 --> 00:01:33.000]  可能因為在三藩市起家的緣故
[00:01:33.000 --> 00:01:39.000]  人們就在想是不是代表了同志與自豪的意思呢
[00:01:39.000 --> 00:01:42.000]  我就再找一下網上的資料
[00:01:42.000 --> 00:01:43.000]  希望也是對的
[00:01:43.000 --> 00:01:46.000]  其實這個不是真正的原因
[00:01:46.000 --> 00:01:53.000]  是因為在60年代美國發現一個非常大的空隙
[00:01:53.000 --> 00:01:56.000]  就是Generation Gap一個很大的代溝
[00:01:56.000 --> 00:01:58.000]  年輕的一輩和傳統的一輩
[00:01:58.000 --> 00:02:04.000]  對於文化政治道德宗教等等都非常有很大的分歧
[00:02:04.000 --> 00:02:07.000]  甚至在服飾上也是
[00:02:07.000 --> 00:02:13.000]  如果大家大概了解美國這一段歷史的時間
[00:02:13.000 --> 00:02:16.000]  那段時間有一些他們的戰爭
[00:02:16.000 --> 00:02:18.000]  內部的政治情況
[00:02:18.000 --> 00:02:25.000]  而近來拿了諾貝爾獎文學獎又不稀罕不去拿獎的Bob Dylan
[00:02:25.000 --> 00:02:27.000]  也是這個時代的產品
[00:02:27.000 --> 00:02:32.000]  甚至是蘋果的創辦人之一Steve Jobs
[00:02:32.000 --> 00:02:37.000]  也是受這一輩的背景和Bob Dylan的音樂影響
[00:02:37.000 --> 00:02:42.000]  這個Gap的創辦人叫做Donald Fisher
[00:02:42.000 --> 00:02:43.000]  不是Donald Trump
[00:02:43.000 --> 00:02:54.000]  原先本來是一些勞動階層工作穿的牛仔褲
[00:02:54.000 --> 00:02:59.000]  開始在60年代美國人就當是一種普通的便服
[00:02:59.000 --> 00:03:01.000]  這樣去穿出街
[00:03:01.000 --> 00:03:04.000]  這個也是一個時裝上的轉變
[00:03:04.000 --> 00:03:06.000]  年輕一輩喜歡穿牛仔褲
[00:03:06.000 --> 00:03:10.000]  有一次他就想去買一條牛仔褲穿
[00:03:10.000 --> 00:03:14.000]  但是就需要走遍很多不同的店鋪
[00:03:14.000 --> 00:03:18.000]  都找不到一條合適他自己的牛仔褲
[00:03:18.000 --> 00:03:24.000]  於是就將這個沮喪悲憤化為力量和商機
[00:03:24.000 --> 00:03:27.000]  去想不如我去開一間時裝店
[00:03:27.000 --> 00:03:30.000]  做一個牛仔褲專門店
[00:03:30.000 --> 00:03:32.000]  讓人能夠來到我這裡One Stop
[00:03:32.000 --> 00:03:36.000]  一站就可以找到適合自己的牛仔褲
[00:03:36.000 --> 00:03:43.000]  而且因為這個概念這個代與代之間的代溝的空隙
[00:03:43.000 --> 00:03:49.000]  他就將他的牛仔褲專門店稱為Gab
[00:03:49.000 --> 00:03:50.000]  是這樣起價的
[00:03:50.000 --> 00:03:53.000]  當然大家現在看到不單止去買牛仔褲
[00:03:53.000 --> 00:03:54.000]  買很多不同的東西
[00:03:54.000 --> 00:03:57.000]  甚至不同的在資深不同的時裝品牌
[00:03:57.000 --> 00:04:00.000]  去到國際不同的地方香港都有他們的分店
[00:04:00.000 --> 00:04:02.000]  非常之成功
[00:04:02.000 --> 00:04:07.000]  讓我看到一樣東西原來當你看到一些事物
[00:04:07.000 --> 00:04:11.000]  事情上面有一個空隙有一個Gab
[00:04:11.000 --> 00:04:14.000]  當你看到這個甚至是虹溝的時候
[00:04:14.000 --> 00:04:19.000]  若我們能夠有能力將這個空隙去填補的時候
[00:04:19.000 --> 00:04:25.000]  會帶來一個非常之厲害的後果
[00:04:25.000 --> 00:04:31.000]  在商機上Donald和Doris Fisher這對夫婦
[00:04:31.000 --> 00:04:35.000]  去見到這一方面能夠造成很成功的企業
[00:04:35.000 --> 00:04:37.000]  但是甚至在全福音上
[00:04:37.000 --> 00:04:40.000]  我今天想說若我們在找聖靈
[00:04:40.000 --> 00:04:44.000]  讓我們見到福音的空隙在哪裡
[00:04:44.000 --> 00:04:49.000]  又配合聖靈的感動在那裡去工作
[00:04:49.000 --> 00:04:51.000]  將罪人帶到耶穌面前
[00:04:51.000 --> 00:04:57.000]  相信會帶來一個非常之大的福音的復興
[00:04:57.000 --> 00:05:01.000]  不知道大家如果去看一套電影
[00:05:01.000 --> 00:05:03.000]  你先將電影的頭十分鐘看完
[00:05:03.000 --> 00:05:06.000]  大概知道整個故事要處理什麼問題
[00:05:06.000 --> 00:05:08.000]  有什麼張力
