
[00:00:00.000 --> 00:00:01.500]  原來是2026年
[00:00:01.500 --> 00:00:02.840]  上個星期可能見到面的時候
[00:00:02.840 --> 00:00:03.900]  我們說我們下年見了
[00:00:03.900 --> 00:00:05.380]  今天就見了
[00:00:05.380 --> 00:00:10.640]  不知道2025年對你來說是一個怎樣的一年
[00:00:10.640 --> 00:00:11.720]  就是過去的一年
[00:00:11.720 --> 00:00:14.360]  你想起來的時候對你來說是一個怎樣的情況
[00:00:14.360 --> 00:00:18.200]  對你來說
[00:00:18.200 --> 00:00:21.060]  在工作上會不會是一個剛剛退休
[00:00:21.060 --> 00:00:24.420]  享受勞碌得來之份的一年
[00:00:24.420 --> 00:00:25.760]  聖經真的這樣說的
[00:00:25.760 --> 00:00:27.900]  我們可以享受我們勞碌得來的那一份
[00:00:28.940 --> 00:00:32.720]  還是你仍然忙於工作上很多的事務
[00:00:32.720 --> 00:00:34.320]  努力地打拼
[00:00:34.320 --> 00:00:38.200]  希望在你的事業、工作裡面更上一層樓
[00:00:38.200 --> 00:00:41.400]  還是你剛剛出來工作
[00:00:41.400 --> 00:00:44.740]  整個職場對你來說都很新鮮
[00:00:44.740 --> 00:00:45.740]  很雀躍
[00:00:45.740 --> 00:00:49.280]  經過學習的訓練
[00:00:49.280 --> 00:00:51.080]  你終於能夠一展所長
[00:00:51.080 --> 00:00:55.080]  在家庭生活上來說
[00:00:55.080 --> 00:00:56.840]  你是不是剛剛成立家庭
[00:00:57.240 --> 00:00:59.520]  享受著甜蜜的二人世界呢?
[00:00:59.520 --> 00:01:01.900]  昨晚我去了一個婚禮
[00:01:01.900 --> 00:01:04.040]  看到新人很甜蜜的
[00:01:04.040 --> 00:01:04.840]  整個過程
[00:01:04.840 --> 00:01:07.880]  不知道去年是不是你剛剛只是這樣子
[00:01:07.880 --> 00:01:10.040]  來開始你的二人世界
[00:01:10.040 --> 00:01:12.800]  還是你的兒女剛剛出生
[00:01:12.800 --> 00:01:16.360]  開始面對著養育的重任
[00:01:16.360 --> 00:01:19.560]  職場、家庭兩方面
[00:01:19.560 --> 00:01:22.200]  帶給你很大的壓力
[00:01:22.200 --> 00:01:25.040]  以致覺得原來真的很不容易
[00:01:25.040 --> 00:01:26.840]  用甜蜜的二人世界
[00:01:26.840 --> 00:01:28.720]  進入有兒女的世界
[00:01:28.720 --> 00:01:31.760]  同樣可能你的兒女已經成長
[00:01:31.760 --> 00:01:33.960]  你面對著空巢期的來臨
[00:01:33.960 --> 00:01:36.320]  又或者
[00:01:36.320 --> 00:01:38.680]  在我們人生當中都有終局的
[00:01:38.680 --> 00:01:40.560]  可能你有家人安息主懷
[00:01:40.560 --> 00:01:44.280]  心裡面仍然對他充滿了很多懷念
[00:01:44.280 --> 00:01:45.800]  很多不捨得
[00:01:45.800 --> 00:01:49.400]  同樣地在我們信仰生活是怎樣呢?
[00:01:49.400 --> 00:01:54.160]  在2025年你覺得你和神有一個非常親密的關係
[00:01:54.720 --> 00:01:57.960]  享受著豐盛的屬靈的生活
[00:01:57.960 --> 00:02:01.400]  還是你覺得你和主的關係一般般
[00:02:01.400 --> 00:02:03.680]  平平淡淡、不覺不失
[00:02:03.680 --> 00:02:08.040]  還是其實我很少和主見面
[00:02:08.040 --> 00:02:12.640]  過了一個膽而無味的宗教生活
[00:02:12.640 --> 00:02:15.120]  我有來守禮拜的
[00:02:15.120 --> 00:02:16.800]  這些是以前老人家說的
[00:02:16.800 --> 00:02:18.040]  我來守禮拜的
[00:02:18.040 --> 00:02:19.200]  不過其他時間
[00:02:19.200 --> 00:02:21.800]  我和神的關係不是很親密
[00:02:21.800 --> 00:02:23.800]  沒有什麼特別大的關係
[00:02:25.720 --> 00:02:27.160]  以上這一切
[00:02:27.160 --> 00:02:29.200]  可能不是我們人生的全部
[00:02:29.200 --> 00:02:31.000]  不過我相信這三樣東西
