
[00:00:00.000 --> 00:00:03.000]  再一次remind一下弟兄姊妹
[00:00:03.000 --> 00:00:05.400]  這個提摩泰後書
[00:00:05.400 --> 00:00:10.500]  差不多保羅在羅馬受困的時候
[00:00:10.500 --> 00:00:12.500]  差不多要殉道
[00:00:12.500 --> 00:00:16.500]  所以他知道他的日子都不是很長
[00:00:16.500 --> 00:00:21.500]  當時是受一個壓迫
[00:00:21.500 --> 00:00:24.500]  一個危機
[00:00:24.500 --> 00:00:26.500]  可能連命都沒有了
[00:00:26.500 --> 00:00:28.500]  在這樣的情況之下
[00:00:28.500 --> 00:00:31.500]  就寫了一封信給提摩泰
[00:00:31.500 --> 00:00:34.500]  提摩泰大家記不記得他
[00:00:34.500 --> 00:00:38.500]  保羅叫他做兒子
[00:00:38.500 --> 00:00:40.500]  屬靈的兒子
[00:00:40.500 --> 00:00:43.500]  保羅自己沒有結婚
[00:00:43.500 --> 00:00:46.500]  所以這個最親
[00:00:46.500 --> 00:00:50.500]  和他emotion最親的應該是提摩泰
[00:00:50.500 --> 00:00:55.500]  不知道大家有沒有看過那些戰爭片
[00:00:55.500 --> 00:00:57.500]  有沒有看過
[00:00:57.500 --> 00:01:00.500]  那些soldier臨死之前
[00:01:00.500 --> 00:01:03.500]  通常就叫隔壁那個人
[00:01:03.500 --> 00:01:05.500]  你幫我講一句說話
[00:01:05.500 --> 00:01:07.500]  講什麼說話呢
[00:01:07.500 --> 00:01:10.500]  幫我太太講我愛她
[00:01:10.500 --> 00:01:11.500]  有沒有看過呢
[00:01:11.500 --> 00:01:13.500]  多數的情節都是這樣
[00:01:13.500 --> 00:01:14.500]  很感人的
[00:01:14.500 --> 00:01:16.500]  其實對白很簡單
[00:01:16.500 --> 00:01:18.500]  不過這個人他覺得
[00:01:18.500 --> 00:01:21.500]  他需要講的說話
[00:01:21.500 --> 00:01:23.500]  就是他對他最愛的人
[00:01:23.500 --> 00:01:26.500]  講一個愛的說話
[00:01:26.500 --> 00:01:28.500]  其實我們人生裏面
[00:01:28.500 --> 00:01:30.500]  我們可能都面對那個moment
[00:01:30.500 --> 00:01:33.500]  就是我們離開世界的moment
[00:01:33.500 --> 00:01:36.500]  不知道你會講什麼說話呢
[00:01:36.500 --> 00:01:40.500]  你不會想家裏的廁所還沒有裝修
[00:01:40.500 --> 00:01:42.500]  你不會想那些東西
[00:01:42.500 --> 00:01:45.500]  你不會想著今天有什麼掛慮
[00:01:45.500 --> 00:01:46.500]  錢搞不定
[00:01:46.500 --> 00:01:48.500]  不用講那些東西
[00:01:48.500 --> 00:01:50.500]  講一個愛的意思
[00:01:50.500 --> 00:01:54.500]  保羅就將他這個愛的意思
[00:01:54.500 --> 00:01:58.500]  講給他所愛的提摩太太聽
[00:01:58.500 --> 00:02:00.500]  所以我們最近在教會裏面
[00:02:00.500 --> 00:02:02.500]  都講到查經
[00:02:02.500 --> 00:02:05.500]  牧師都會領幾堂的查經
