
[00:00:00.000 --> 00:00:04.260]  我們一同讀一段聖經 在初埃及第四十章第三十四節
[00:00:04.260 --> 00:00:06.860]  我們一同來念只有一節的聖經來
[00:00:06.860 --> 00:00:09.400]  當時雲彩遮蓋慧目
[00:00:09.400 --> 00:00:12.200]  夜晚的榮光就充滿了丈母
[00:00:12.200 --> 00:00:13.700]  一同來念再一次來
[00:00:13.700 --> 00:00:16.320]  當時雲彩遮蓋慧目
[00:00:16.320 --> 00:00:20.460]  夜晚的榮光就充滿了丈母
[00:00:20.460 --> 00:00:24.020]  二十週年的特會跟慶典馬上就要來到
[00:00:24.020 --> 00:00:26.560]  事實上還有三個禮拜就要開始
[00:00:26.560 --> 00:00:30.080]  弟兄姊妹你感覺興奮嗎?
[00:00:30.080 --> 00:00:34.080]  今年的二十週年其實是一個Big Reunion
[00:00:34.080 --> 00:00:37.880]  不但有很多我們熟悉的講員會回到我們中間
[00:00:37.880 --> 00:00:40.780]  而且我們分堂的牧者以及很多弟兄姊妹
[00:00:40.780 --> 00:00:42.720]  也會來到我們中間
[00:00:42.720 --> 00:00:45.920]  所以當你來參加特會的時候不要忘記你也是主人
[00:00:45.920 --> 00:00:48.960]  跟你媽說你也是主人
[00:00:48.960 --> 00:00:53.180]  你要主動的去招呼這從外地回來的家人們
[00:00:53.180 --> 00:00:55.880]  感謝曾偉真看見已經很多弟兄姊妹
[00:00:55.880 --> 00:01:00.020]  已經在積極的準備二十週年的一些慶典
[00:01:00.020 --> 00:01:02.280]  在那個禮拜天的時候
[00:01:02.280 --> 00:01:05.480]  我們不但是有號角隊有鼓隊騎隊
[00:01:05.480 --> 00:01:09.020]  還有百人私班來演出生命盒的故事
[00:01:09.020 --> 00:01:11.920]  還有一個非常宏偉的歷史牆的展覽
[00:01:11.920 --> 00:01:13.920]  更是有很多幕後的工作人員
[00:01:13.920 --> 00:01:17.460]  很多弟兄姊妹都在積極做準備的工作
[00:01:17.460 --> 00:01:20.020]  我也看見很多的牧區跟小組
[00:01:20.020 --> 00:01:23.520]  也在積極進行愛靈的行動
[00:01:23.520 --> 00:01:26.980]  藉著愛心的行動來向神獻上感恩
[00:01:26.980 --> 00:01:29.880]  有多少弟兄姊妹你的小組參加愛靈的舉下手
[00:01:29.880 --> 00:01:30.760]  愛靈行動
[00:01:30.760 --> 00:01:32.720]  我們為他們鼓掌好不好
[00:01:32.720 --> 00:01:35.760]  Hallelujah
[00:01:35.760 --> 00:01:40.060]  我相信我們二十週年的活動一定是充滿歡喜
[00:01:40.060 --> 00:01:41.580]  而且充滿神的榮耀的
[00:01:41.580 --> 00:01:42.880]  Amen
[00:01:42.880 --> 00:01:45.720]  在二十週年慶典的聚會當中
[00:01:45.720 --> 00:01:48.560]  我們在現場也會為Shakina Glory
[00:01:48.560 --> 00:01:53.020]  建電計畫做一個模型的揭幕的儀式
[00:01:53.020 --> 00:01:56.620]  一方面是來回應神給我們的呼召
[00:01:56.620 --> 00:02:00.680]  另一方面也是為Shakina Glory建電計畫
[00:02:00.680 --> 00:02:03.760]  我們正式展開做一個宣告
[00:02:03.760 --> 00:02:06.260]  我們希望在2018年的夏天
[00:02:06.260 --> 00:02:07.960]  就是三年的時間
[00:02:07.960 --> 00:02:11.360]  希望能完成這個兩千人的一個會堂
[00:02:11.360 --> 00:02:13.520]  所以今天早上我們要從三方面
[00:02:13.520 --> 00:02:17.520]  來講到Shakina Glory跟我們的關係
[00:02:17.520 --> 00:02:18.780]  首先第一個
[00:02:18.780 --> 00:02:22.560]  Shakina Glory是神榮耀同在的彰顯
[00:02:22.560 --> 00:02:23.860]  跟我一同來念
[00:02:23.860 --> 00:02:28.520]  Shakina Glory是神榮耀同在的彰顯
[00:02:28.520 --> 00:02:32.620]  首先我在說Shakina這個字的意思是什麼呢
[00:02:32.620 --> 00:02:37.420]  這個字的意思就是神在地上的居所
[00:02:37.420 --> 00:02:40.420]  當然這個意思不是說神很可憐
[00:02:40.420 --> 00:02:43.760]  在地上找不到別的地方做一個居所
[00:02:43.760 --> 00:02:47.660]  事實上我們的神是無所不在無所不能
[00:02:47.660 --> 00:02:51.660]  祂並不需要在地上有一個所謂的居所
[00:02:51.660 --> 00:02:54.920]  然而當你查考聖經你就會發現
[00:02:54.920 --> 00:02:59.380]  神卻渴望與人有更親密的關係
[00:02:59.380 --> 00:03:01.160]  能夠盼望在人的身上
[00:03:01.160 --> 00:03:04.560]  能夠彰顯到祂自己的榮耀
[00:03:04.560 --> 00:03:07.160]  但是因為人犯了罪
[00:03:07.160 --> 00:03:11.120]  這個罪使人與神隔絕
[00:03:11.120 --> 00:03:14.720]  所以人不能夠直接來到神的面前
[00:03:14.720 --> 00:03:17.660]  所以神因著祂的憐憫
[00:03:17.660 --> 00:03:22.680]  祂就在地上揀選一個地方分別為聖
[00:03:22.680 --> 00:03:26.560]  成為神與人相會的地方
[00:03:26.560 --> 00:03:28.320]  從創世紀開始
[00:03:28.320 --> 00:03:33.080]  我們看見神吩咐亞伯拉罕竹壇獻祭
[00:03:33.080 --> 00:03:34.180]  為什麼
[00:03:34.180 --> 00:03:37.720]  因為神要在那裡與人相會
[00:03:37.720 --> 00:03:39.320]  神揀選那個地方
[00:03:39.320 --> 00:03:43.160]  好讓神的同在的榮耀能夠彰顯出來
[00:03:43.160 --> 00:03:48.260]  好讓人來到那個地方就能夠遇見神
[00:03:48.260 --> 00:03:52.960]  所以你看見當亞伯拉罕在伯特利竹壇獻祭
[00:03:52.960 --> 00:03:54.960]  一百年之後
[00:03:54.960 --> 00:03:58.720]  他的孫子雅各來到伯特利
[00:03:58.720 --> 00:04:00.460]  在睡覺的時候
[00:04:00.460 --> 00:04:03.160]  他就看見天開了
[00:04:03.160 --> 00:04:07.220]  就在那裡雅各遇見了神
[00:04:07.220 --> 00:04:08.560]  到了初埃及紀
[00:04:08.560 --> 00:04:12.480]  我們看神吩咐摩西建造會墓
[00:04:12.480 --> 00:04:13.520]  為什麼
[00:04:13.520 --> 00:04:17.520]  因為神要在會墓那裡與人相會
[00:04:17.520 --> 00:04:21.880]  神要人經歷到祂的同在跟祂的榮耀
[00:04:21.880 --> 00:04:23.620]  所以會墓一建造完畢
[00:04:23.620 --> 00:04:26.420]  剛才我們讀那段聖經很清楚講到
[00:04:26.420 --> 00:04:29.820]  神的雲彩就遮蓋會墓
[00:04:29.820 --> 00:04:33.320]  夜花的榮光就充滿了在葬墓的裡面
[00:04:33.320 --> 00:04:35.820]  Shakina Glory
[00:04:35.820 --> 00:04:39.320]  以色列人一看見這個神的雲彩
[00:04:39.320 --> 00:04:43.820]  他們就知道神仍然與他們同在
[00:04:43.820 --> 00:04:45.720]  到了索羅門王的時代
[00:04:45.720 --> 00:04:48.920]  神吩咐索羅門王建造聖殿
[00:04:48.920 --> 00:04:52.220]  同樣神乃是要藉著這個聖殿
[00:04:52.220 --> 00:04:56.660]  成為彰顯祂榮耀同在的居所
