
[00:00:00.000 --> 00:00:01.360]  好,我們領受神的話語之師
[00:00:01.360 --> 00:00:02.640]  我先低頭,我要禱告
[00:00:02.640 --> 00:00:05.800]  天文求你自己親自的人來幫助
[00:00:05.800 --> 00:00:08.000]  你來帶去幫助我們,懂得怎樣仰望你
[00:00:08.000 --> 00:00:10.560]  特別將我們當中的弟兄姊妹
[00:00:10.560 --> 00:00:11.960]  我們身體有軟弱的
[00:00:11.960 --> 00:00:13.280]  仰望在神祢的手中
[00:00:13.280 --> 00:00:15.560]  求神祢自己親自的來帶去醫治
[00:00:15.560 --> 00:00:19.080]  讓我們能夠有精神來帶去領受你自己的教導
[00:00:19.080 --> 00:00:21.200]  讓我們能夠在你的話語當中
[00:00:21.200 --> 00:00:22.960]  或許不是整篇
[00:00:22.960 --> 00:00:24.960]  可能是一句、兩句的說話
[00:00:24.960 --> 00:00:26.480]  能夠成為我們的提醒
[00:00:26.480 --> 00:00:28.920]  特別在我們人生裏面面對很多的挑戰
[00:00:28.920 --> 00:00:31.080]  甚至有些人對我們是很不滿
[00:00:31.080 --> 00:00:32.880]  我們有時會攻擊我們的時候
[00:00:32.880 --> 00:00:34.320]  教導我們懂得怎樣去回應
[00:00:34.320 --> 00:00:35.440]  你使用孩子
[00:00:35.440 --> 00:00:37.440]  你的能力在孩子的軟弱上顯得完全
[00:00:37.440 --> 00:00:40.240]  讓孩子的信息能夠成為眾弟兄姊妹的幫助
[00:00:40.240 --> 00:00:41.840]  祈禱賴奉主德聖一命
[00:00:41.840 --> 00:00:42.840]  Amen
[00:00:42.840 --> 00:00:44.960]  我們很深信一件事
[00:00:44.960 --> 00:00:45.920]  就是神的工作
[00:00:45.920 --> 00:00:49.520]  其實絕對不是一件很容易去完成的事
[00:00:49.520 --> 00:00:50.960]  會艱鉅
[00:00:50.960 --> 00:00:52.040]  因為人
[00:00:52.040 --> 00:00:53.760]  他自己的剛硬
[00:00:53.760 --> 00:00:57.600]  再加上敵人的挑戰和攻擊
[00:00:58.120 --> 00:01:00.240]  我們看到尼希米基
[00:01:00.240 --> 00:01:05.600]  尼希米他放棄了一份高薪厚職、舒服的生活
[00:01:05.600 --> 00:01:07.400]  他心裏面很有感動
[00:01:07.400 --> 00:01:09.800]  要回到自己的故鄉裏面
[00:01:09.800 --> 00:01:12.320]  來重建那個圍牆
[00:01:12.320 --> 00:01:13.760]  但是他還沒回去的時候
[00:01:13.760 --> 00:01:17.160]  他已經預計到會有很多的人不滿他
[00:01:17.160 --> 00:01:20.880]  他們的民族的敵人會挑戰他
[00:01:20.880 --> 00:01:22.880]  果然不出所料
[00:01:22.880 --> 00:01:24.360]  當他回去的時候
[00:01:24.360 --> 00:01:27.160]  就面對很多的難阻
[00:01:27.160 --> 00:01:29.680]  但是因為他有預先的計劃
[00:01:29.680 --> 00:01:33.160]  所以他問王拿到那本詔書
[00:01:33.160 --> 00:01:34.760]  這班的敵人
[00:01:34.760 --> 00:01:36.760]  知道他回去的時候
[00:01:36.760 --> 00:01:38.240]  想做一些事
[00:01:38.240 --> 00:01:41.440]  但是在那一刻裏面都沒什麼事可以做到
[00:01:41.440 --> 00:01:43.440]  好了,當尼希米回去的時候
[00:01:43.440 --> 00:01:46.520]  他很有智慧地分配不同的人
[00:01:46.520 --> 00:01:49.440]  在不同的地方裏面來帶他工作
[00:01:49.440 --> 00:01:51.240]  在這一刻裏面
[00:01:51.240 --> 00:01:53.880]  敵人見到他真的開始動手做事的時候
[00:01:53.880 --> 00:01:56.160]  就開始來帶他去攻擊他了
[00:01:56.640 --> 00:02:00.680]  究竟尼希米怎樣很有智慧地來分配工作呢
[00:02:00.680 --> 00:02:05.640]  大家可以在網上再聽回上一次我所講的《國師奇蹟》
[00:02:05.640 --> 00:02:07.640]  在尼希米的第四章裏面
[00:02:07.640 --> 00:02:09.320]  我們見到敵人的攻擊
