
[00:00:00.000 --> 00:00:02.880]  離別在即所說的說話
[00:00:02.880 --> 00:00:05.680]  必定是情深所至
[00:00:05.680 --> 00:00:07.160]  今天這篇經文
[00:00:07.160 --> 00:00:12.160]  就是在保羅第三次宣教行程快要完結的時候
[00:00:12.160 --> 00:00:15.000]  他要回到耶路撒冷之前
[00:00:15.000 --> 00:00:18.440]  向以弗所的一群長老
[00:00:18.440 --> 00:00:20.920]  說的一番臨別的贈言
[00:00:20.920 --> 00:00:23.040]  這也是在《士徒行傳》當中
[00:00:23.040 --> 00:00:25.480]  記下唯一一篇
[00:00:25.480 --> 00:00:29.960]  保羅直接向信徒所說的話
[00:00:29.960 --> 00:00:35.440]  最近在教會的一個群組裏面有網上的團拜
[00:00:35.440 --> 00:00:39.520]  其中有一家人向大家告別
[00:00:39.520 --> 00:00:43.120]  因為他們即將在新年之後離開香港
[00:00:43.120 --> 00:00:45.760]  在香港以外工作和生活
[00:00:45.760 --> 00:00:49.440]  在那次團拜裏不期然大家的對話
[00:00:49.440 --> 00:00:51.800]  都會說一些以前的片段
[00:00:51.800 --> 00:00:56.920]  亦都會說現在要去的地方行程是怎樣
[00:00:56.920 --> 00:01:01.560]  未來大家可能又會發生甚麼不同的事情
[00:01:01.560 --> 00:01:03.400]  在言談之間
[00:01:03.400 --> 00:01:07.080]  你會聽到很多交代、很多祝福
[00:01:07.080 --> 00:01:10.120]  彼此亦都去祝福和代求
[00:01:10.120 --> 00:01:12.120]  情深所至
[00:01:12.120 --> 00:01:15.520]  因為離愁別緒是會令人有傷感
[00:01:15.520 --> 00:01:18.440]  但這個主內的情誼是很深的
[00:01:18.440 --> 00:01:20.720]  保羅的說話亦都是
[00:01:20.720 --> 00:01:23.400]  對著這群以弗所的長老
[00:01:23.400 --> 00:01:26.320]  好像一個告別的贈言的時候
[00:01:26.320 --> 00:01:29.200]  他都將他的肺腑說了出來
[00:01:29.200 --> 00:01:32.600]  他這番說話對我們今天作為牧者
[00:01:32.600 --> 00:01:34.920]  作為教會領袖
[00:01:34.920 --> 00:01:37.160]  其實有直接的提醒
[00:01:37.160 --> 00:01:39.720]  但不要以為只是對領袖所說
[00:01:39.720 --> 00:01:41.960]  這段說話當中亦都是對我們每一個
[00:01:41.960 --> 00:01:44.280]  在這個世代裏面
[00:01:44.280 --> 00:01:45.720]  分別在我們自己的家中
[00:01:45.720 --> 00:01:49.240]  在網絡裏面的信主的單位
[00:01:49.240 --> 00:01:53.120]  在你的小家庭裏面的家庭單位
[00:01:53.120 --> 00:01:56.720]  你都可以是負責帶領家人的那一位
[00:01:56.720 --> 00:02:01.600]  同樣保羅的說話都對我們有提醒
[00:02:01.600 --> 00:02:07.680]  我們先一起將這段時間交託給主
[00:02:07.680 --> 00:02:10.480]  天父上帝我們感謝祢
[00:02:10.480 --> 00:02:13.280]  讓我們今天仍然有機會
[00:02:13.280 --> 00:02:16.760]  可以在網絡的空間聽到祢的話語
[00:02:16.760 --> 00:02:20.400]  主呀 當我們真誠去聆聽
[00:02:20.400 --> 00:02:22.240]  我們願意打開祢的聖言
[00:02:22.240 --> 00:02:24.240]  留心去看的時候
[00:02:24.240 --> 00:02:26.560]  求祢的靈對我們說話
[00:02:26.560 --> 00:02:30.280]  讓祢的真道在祢的話語當中被顯明
[00:02:30.280 --> 00:02:31.280]  多謝祢
[00:02:31.280 --> 00:02:32.680]  祈禱奉主耶穌基督
[00:02:32.680 --> 00:02:34.240]  得聖名字祈求
[00:02:34.240 --> 00:02:35.760]  阿門
[00:02:35.760 --> 00:02:37.720]  我請大家如果你家裏有聖經
[00:02:37.720 --> 00:02:39.720]  你都可以拿出你的聖經
[00:02:39.720 --> 00:02:48.120]  打開《使徒行傳》第二十章
[00:02:48.120 --> 00:02:52.440]  保羅在這段說話裏給出了三個錦囊
[00:02:52.440 --> 00:02:55.760]  第一個錦囊給這群以弗所長老是
[00:02:55.760 --> 00:02:59.160]  「使命先決 正主導」
[00:02:59.160 --> 00:03:02.880]  錦囊是給人在未來面對不同的挑戰
[00:03:02.880 --> 00:03:07.000]  困難的時候的一個應對心得
[00:03:07.000 --> 00:03:10.120]  他首先在第十八節提到
[00:03:10.120 --> 00:03:12.120]  在經文裏說他們到了
[00:03:12.120 --> 00:03:15.200]  其實保羅就是請這群以弗所長老
[00:03:15.200 --> 00:03:17.800]  去到保羅所在的地方
[00:03:17.800 --> 00:03:21.320]  米利都島上去見祂
[00:03:21.320 --> 00:03:22.720]  他們來到後
[00:03:22.720 --> 00:03:26.120]  保羅就跟他們說以下的話
[00:03:26.120 --> 00:03:28.040]  「你們都知道我是怎樣的
[00:03:28.040 --> 00:03:29.280]  我是怎樣和你們相處
[00:03:29.280 --> 00:03:31.080]  怎樣去服侍主的」
[00:03:31.080 --> 00:03:33.120]  《新海苑譯本》讀得更加清楚
[00:03:33.120 --> 00:03:34.520]  他是這樣譯的
[00:03:34.520 --> 00:03:36.880]  「我一直是怎樣和你們相處
[00:03:36.880 --> 00:03:38.400]  怎樣去服侍主
[00:03:38.400 --> 00:03:39.640]  全然謙卑
[00:03:39.640 --> 00:03:40.680]  帶著眼淚
[00:03:40.680 --> 00:03:42.200]  經受試煉
[00:03:42.200 --> 00:03:43.840]  就是猶太人的計謀
[00:03:43.840 --> 00:03:46.400]  要加諸在祂身上的」
[00:03:46.400 --> 00:03:47.800]  「全然謙卑
[00:03:47.800 --> 00:03:48.760]  帶著眼淚
[00:03:48.760 --> 00:03:50.240]  經受試煉」
[00:03:50.240 --> 00:03:52.360]  這三個短句其實都是在說
[00:03:52.360 --> 00:03:55.360]  他是怎樣去服侍主耶穌基督
[00:03:55.360 --> 00:03:58.800]  三方面的服侍態度
[00:03:58.800 --> 00:04:00.360]  在待人處事方面
[00:04:00.360 --> 00:04:03.760]  保羅是一直去保持謙卑
[00:04:03.760 --> 00:04:04.920]  保羅
[00:04:04.920 --> 00:04:05.880]  大使徒
[00:04:05.880 --> 00:04:07.360]  大孫教士
[00:04:07.360 --> 00:04:08.520]  他都謙卑
[00:04:08.520 --> 00:04:09.520]  是的
[00:04:09.520 --> 00:04:12.960]  他常常提醒自己要謙卑
[00:04:12.960 --> 00:04:14.120]  他帶著眼淚
[00:04:14.120 --> 00:04:16.440]  一方面表達他帶著溫柔的心
[00:04:16.440 --> 00:04:17.760]  另一方面也是表達
[00:04:17.760 --> 00:04:20.520]  他因為願意愛別人的緣故
[00:04:20.520 --> 00:04:22.600]  他敞開自己的心的時候
[00:04:22.600 --> 00:04:26.960]  他會承受別人加諸在他身上的拒絕
[00:04:26.960 --> 00:04:30.400]  背叛和傷害
[00:04:30.400 --> 00:04:32.400]  所以是帶著眼淚
[00:04:32.400 --> 00:04:34.640]  是有苦楚的
[00:04:34.640 --> 00:04:36.360]  而經受試煉更加說
