
[00:00:00.000 --> 00:00:05.000]  好高興我們今天又一齊去繼續分享敬畏上主系列
[00:00:05.000 --> 00:00:07.200]  今天的主題是「當依靠神」
[00:00:07.200 --> 00:00:09.200]  我和大家分享的講題是
[00:00:09.200 --> 00:00:12.300]  「形向轉變 堅持依靠」
[00:00:12.300 --> 00:00:15.400]  經文是《誕二里書》第一章
[00:00:15.400 --> 00:00:16.400]  由於時間關係
[00:00:16.400 --> 00:00:19.900]  我挑選了當中第八至十三節
[00:00:19.900 --> 00:00:22.300]  邀請大家先幫我去中讀
[00:00:22.300 --> 00:00:23.700]  然後我再在訊息裏面
[00:00:23.700 --> 00:00:26.200]  去和大家一起去看其他的經文
[00:00:26.200 --> 00:00:27.900]  好 預備起
[00:00:27.900 --> 00:00:29.900]  「當依靠神」
[00:00:57.900 --> 00:00:59.900]  「當依靠神」
[00:01:28.900 --> 00:01:32.900]  「當依靠神」
[00:01:32.900 --> 00:01:34.800]  謝謝大家
[00:01:34.800 --> 00:01:37.000]  今天和大家分享的講題是
[00:01:37.000 --> 00:01:40.000]  「形向轉變 堅持依靠」
[00:01:40.000 --> 00:01:41.800]  小時候經常聽一首歌
[00:01:41.800 --> 00:01:45.400]  它的歌詞是這樣的
[00:01:45.400 --> 00:01:50.000]  「知否世事常變 變幻原是永恆」
[00:01:50.000 --> 00:01:52.200]  小時候不明白這一句的意思
[00:01:52.200 --> 00:01:54.200]  因為覺得天天都是這樣
[00:01:54.200 --> 00:01:57.600]  起床 上學 放學 做功課 睡覺
[00:01:57.600 --> 00:01:58.900]  人長大了
[00:01:58.900 --> 00:02:00.700]  看到很多不同方面的轉變
[00:02:00.700 --> 00:02:03.600]  才明白這一句話的意思
[00:02:03.600 --> 00:02:06.600]  轉變是人生裏面必經的階段
[00:02:06.600 --> 00:02:08.300]  好像我們的人生階段一樣
[00:02:08.300 --> 00:02:10.600]  會經歷很多不同的轉變
[00:02:10.600 --> 00:02:14.000]  結婚 生孩子 置業 患病
[00:02:14.000 --> 00:02:16.600]  家人離世 退休等等
[00:02:16.600 --> 00:02:21.100]  好像我上一年開始成為第二任爸爸
[00:02:21.100 --> 00:02:22.700]  才開始明白
[00:02:22.700 --> 00:02:25.200]  原來一加一真的不是等於二
[00:02:25.200 --> 00:02:26.800]  第二個小朋友出世之後
[00:02:26.800 --> 00:02:30.500]  生命中很多不同的東西都有很多的轉變
[00:02:30.500 --> 00:02:32.200]  除了人生階段之外
[00:02:32.200 --> 00:02:35.900]  科技的進步也都令我們經歷很多的轉變
[00:02:35.900 --> 00:02:39.700]  可能特別年長的弟兄姊妹會更加難去適應
[00:02:39.700 --> 00:02:42.500]  因為有新的資訊要去接受
[00:02:42.500 --> 00:02:45.700]  和人溝通的方式又變得不同
[00:02:45.700 --> 00:02:49.200]  教會生活我們又經歷很多不同的轉變
[00:02:49.200 --> 00:02:50.900]  群體的變動
[00:02:50.900 --> 00:02:52.400]  人事變遷
[00:02:52.400 --> 00:02:54.800]  地點的轉變等等
[00:02:54.800 --> 00:02:57.900]  這幾年在社會的大環境裡面
[00:02:57.900 --> 00:03:00.500]  我們更加經歷很多不同的轉變
[00:03:00.500 --> 00:03:03.900]  新法例 新措施的修訂
[00:03:03.900 --> 00:03:05.300]  很多很多的轉變
[00:03:05.300 --> 00:03:07.700]  令到我們很難去適應
[00:03:07.700 --> 00:03:08.800]  不習慣
[00:03:08.800 --> 00:03:12.100]  甚至乎不懂得去面對
[00:03:12.100 --> 00:03:13.900]  今天我們和其他非信徒一樣
[00:03:13.900 --> 00:03:17.500]  都生活在一個充滿轉變的世代裡面
[00:03:17.500 --> 00:03:19.700]  今天我們說依靠神
[00:03:19.700 --> 00:03:22.400]  究竟什麼為之依靠神呢
[00:03:22.400 --> 00:03:25.200]  是不是說將我們一切的憂慮交給神
[00:03:25.200 --> 00:03:26.500]  就是依靠神
[00:03:26.500 --> 00:03:29.300]  常常祈禱就是依靠神呢
[00:03:29.300 --> 00:03:32.200]  弟兄姊妹我今天想和大家一起學習
[00:03:32.200 --> 00:03:33.200]  依靠神
[00:03:33.200 --> 00:03:36.100]  不純粹是一種傳言的交托
[00:03:36.100 --> 00:03:38.200]  而是一種生活方式
[00:03:38.200 --> 00:03:42.200]  按神生活的指引去呈現出來的生命
[00:03:42.200 --> 00:03:43.400]  記得兩星期前
[00:03:43.400 --> 00:03:47.500]  吳鎮志牧師在培靈會裡面提醒大家
[00:03:47.500 --> 00:03:51.300]  要學習一個有質感的虔誠
[00:03:51.300 --> 00:03:55.800]  讓人用生命去感受去觸摸到的虔誠
[00:03:55.800 --> 00:04:00.100]  今天我們一起去學習一份有質感的依靠神
[00:04:00.100 --> 00:04:01.800]  不是口號式
[00:04:01.800 --> 00:04:03.500]  不是說出口
[00:04:03.500 --> 00:04:06.600]  而是在生命裡面用跟隨神的方式
[00:04:06.600 --> 00:04:09.200]  去呈現出來的依靠神
[00:04:09.200 --> 00:04:10.400]  在聖經裡面
[00:04:10.400 --> 00:04:13.800]  我想起丹尼里和他那三個朋友的經歷
[00:04:13.800 --> 00:04:16.600]  給我看到一份依靠神的生命
[00:04:16.600 --> 00:04:19.200]  他們原先是猶大的皇室
[00:04:19.200 --> 00:04:21.100]  可惜因為戰敗
[00:04:21.100 --> 00:04:23.200]  而去經歷避老
[00:04:23.200 --> 00:04:24.000]  在避老期間
