
[00:00:00.340 --> 00:00:03.420]  我想問問大家
[00:00:03.420 --> 00:00:07.340]  今年我們讀到《路加福音》
[00:00:07.340 --> 00:00:10.580]  但是你有沒有留意到
[00:00:10.580 --> 00:00:13.000]  聖經裏面那麼多卷福音書
[00:00:13.000 --> 00:00:15.500]  記載耶穌基督誕生
[00:00:15.500 --> 00:00:17.400]  都有不同的角度
[00:00:17.400 --> 00:00:20.700]  如果我們看看《馬太福音》
[00:00:20.700 --> 00:00:23.720]  它是要介紹這位
[00:00:23.720 --> 00:00:26.880]  猶太的王,就是新生王
[00:00:26.880 --> 00:00:29.940]  他是萬主之主,萬王之王
[00:00:30.020 --> 00:00:34.980]  來到這個世界。因爲《馬太福音》是以皇者的身份介紹耶穌的
[00:00:34.980 --> 00:00:38.100]  所以他們講到關乎
[00:00:38.100 --> 00:00:41.060]  東方有幾位博士
[00:00:41.060 --> 00:00:44.280]  其實有一些研究,可能他們是一些
[00:00:44.280 --> 00:00:47.040]  東方遠古中東的皇帝
[00:00:47.040 --> 00:00:50.120]  他們來朝見這位新生王
[00:00:50.120 --> 00:00:55.480]  希律是羅馬當時一個非常龐大領域
[00:00:55.480 --> 00:00:58.560]  有權勢的一個王,但是他懼怕
[00:00:58.560 --> 00:01:01.220]  這個王者,所以在這個
[00:01:01.220 --> 00:01:04.840]  《馬太福音》他將耶穌基督
[00:01:04.840 --> 00:01:07.460]  以一位王者的身份帶出來
[00:01:07.460 --> 00:01:08.760]  因爲他是天國的君王
[00:01:08.760 --> 00:01:12.280]  但是《約翰福音》我們發覺
[00:01:12.280 --> 00:01:15.360]  他沒有介紹耶穌基督是降生的任何記載
[00:01:15.360 --> 00:01:18.560]  他只是講到這個是太初的道
[00:01:18.560 --> 00:01:22.660]  因爲他創造萬有的神的意志
[00:01:22.660 --> 00:01:25.800]  所以那裏不需要交代
[00:01:25.800 --> 00:01:28.760]  究竟降生的過程是怎樣的
[00:01:28.760 --> 00:01:31.760]  因爲他本來是一位神的兒子
[00:01:31.760 --> 00:01:32.760]  超越一切
[00:01:32.760 --> 00:01:35.960]  但是《路加福音》特別的地方
[00:01:35.960 --> 00:01:39.520]  就是他記載耶穌基督是一位人子
[00:01:39.520 --> 00:01:43.220]  所以我們知道原來《路加福音》特別地去着重
[00:01:43.220 --> 00:01:48.040]  很多那些耶穌降生的記載內容
[00:01:48.040 --> 00:01:50.320]  可以說在所有方書當中
[00:01:50.320 --> 00:01:51.880]  他是最詳細的
[00:01:51.880 --> 00:01:55.200]  他從一路懷孕預言
[00:01:55.200 --> 00:02:00.000]  這個瑪利亞將要童貞女生子
[00:02:00.000 --> 00:02:02.600]  然後一路講到
[00:02:02.600 --> 00:02:07.600]  預備了他懷孕的過程
[00:02:07.600 --> 00:02:10.400]  遇到他的表姐伊麗莎白
[00:02:10.400 --> 00:02:13.000]  後來他們去到伯利恆降生
[00:02:13.000 --> 00:02:15.100]  牧羊人在曠野那裏
[00:02:15.100 --> 00:02:18.600]  他們來朝見這位新生皇
[00:02:18.600 --> 00:02:23.800]  所以將整個耶穌基督降生的過程
[00:02:23.800 --> 00:02:26.200]  甚至他後來長大的過程
[00:02:26.200 --> 00:02:28.400]  只有《路加福音》記載
[00:02:28.400 --> 00:02:29.600]  爲什麼呢?
[00:02:29.600 --> 00:02:31.600]  爲什麼只有《路加福音》記載
[00:02:31.600 --> 00:02:34.800]  關乎耶穌這些詳細的降生的過程呢?
[00:02:34.800 --> 00:02:36.200]  因爲我們再講
[00:02:36.200 --> 00:02:41.000]  他是以介紹耶穌是人子的角度來
[00:02:41.000 --> 00:02:43.200]  他來到我們當中成爲一個人
[00:02:43.200 --> 00:02:45.400]  Son of man
[00:02:45.400 --> 00:02:48.400]  一個人子來到我們人世當中
[00:02:48.400 --> 00:02:51.800]  很卑微地降生在馬槽那裏
[00:02:51.800 --> 00:02:54.800]  與我們人類表同情
[00:02:54.800 --> 00:02:55.800]  和我們一樣
[00:02:55.800 --> 00:03:01.600]  甚至降悲到比我們人都不配的一個馬槽的地方
[00:03:01.600 --> 00:03:03.400]  所以當《路加》去寫到
[00:03:03.400 --> 00:03:05.400]  關乎耶穌基督來到這個世界
[00:03:05.400 --> 00:03:07.800]  帶給很多不同人的影響
[00:03:07.800 --> 00:03:10.000]  在《路加》裏面特別多記載
[00:03:10.000 --> 00:03:12.000]  講到人生命的改變
[00:03:12.000 --> 00:03:13.600]  講到這位救主來到
[00:03:13.600 --> 00:03:15.600]  和很多的罪人
[00:03:15.600 --> 00:03:19.200]  甚至是一些社會覺得是低下層的
[00:03:19.200 --> 00:03:24.800]  甚至是劈棄他們一些很不喜歡的人
[00:03:24.800 --> 00:03:27.000]  耶穌卻是親近他們
[00:03:27.000 --> 00:03:28.400]  有罪人
[00:03:28.400 --> 00:03:29.600]  有婦孺
[00:03:29.600 --> 00:03:31.200]  有妓女
[00:03:31.200 --> 00:03:35.600]  有很多很多這個世界都覺得不配
[00:03:35.600 --> 00:03:37.600]  和他們在一起的人
[00:03:37.600 --> 00:03:38.800]  耶穌卻是
[00:03:38.800 --> 00:03:40.400]  無論什麼背景
[00:03:40.400 --> 00:03:42.200]  什麼社會階層
[00:03:42.200 --> 00:03:43.600]  耶穌都和他們一樣
[00:03:43.600 --> 00:03:44.400]  爲什麼?
[00:03:44.400 --> 00:03:45.400]  因爲耶穌說
[00:03:45.400 --> 00:03:49.800]  我就是The Son of Man 我就是人子
[00:03:49.800 --> 00:03:52.200]  所以當我們看見《路加福音》
[00:03:52.200 --> 00:03:53.400]  來到今天聖誕節
[00:03:53.400 --> 00:03:54.200]  很特別
[00:03:54.200 --> 00:03:56.400]  聖誕主日的時候很特別的
