
[00:00:00.000 --> 00:00:01.080]  領事會平安
[00:00:01.080 --> 00:00:06.280]  我們知道Dollar Amo
[00:00:06.280 --> 00:00:08.480]  我們小時候叫叮噹
[00:00:08.480 --> 00:00:10.880]  它是有一個時光機的
[00:00:10.880 --> 00:00:13.120]  不用笑的
[00:00:13.120 --> 00:00:14.720]  應該這場沒有人笑的
[00:00:14.720 --> 00:00:16.920]  我會照說的
[00:00:16.920 --> 00:00:21.480]  這個時光機能夠穿越古今
[00:00:21.480 --> 00:00:24.120]  可以回到過去
[00:00:24.120 --> 00:00:26.920]  也可以看看未來發生了什麼事情
[00:00:26.920 --> 00:00:29.240]  有一套電影
[00:00:29.240 --> 00:00:31.360]  你知道Dollar Amo有時候也會出電影
[00:00:31.360 --> 00:00:33.560]  就是Dollar Amo Stand by Me
[00:00:33.560 --> 00:00:36.200]  今年暑假是Stand by Me 2
[00:00:36.200 --> 00:00:37.800]  我現在說Stand by Me 1
[00:00:37.800 --> 00:00:39.720]  因為2我沒有機會看
[00:00:39.720 --> 00:00:41.080]  是幾年前的這套電影
[00:00:41.080 --> 00:00:45.400]  這套電影講述大雄很喜歡靜香
[00:00:45.400 --> 00:00:46.880]  我都說了我們不會笑的
[00:00:46.880 --> 00:00:50.680]  但他又不肯定
[00:00:50.680 --> 00:00:53.760]  究竟將來是否可以跟他結婚
[00:00:53.760 --> 00:00:57.560]  於是很疑惑的大雄坐時光機
[00:00:57.560 --> 00:01:00.200]  走去看看長大後的自己
[00:01:00.200 --> 00:01:03.440]  究竟能否跟靜香舉行婚禮
[00:01:03.440 --> 00:01:05.640]  但因為陰差陽錯
[00:01:05.640 --> 00:01:08.400]  他就去錯了婚禮前的那一天
[00:01:08.400 --> 00:01:09.920]  早了一天
[00:01:09.920 --> 00:01:14.480]  於是劇情中說到他闖禍
[00:01:14.480 --> 00:01:16.840]  搞了很多事情
[00:01:16.840 --> 00:01:19.880]  差一點就跟靜香結不成婚
[00:01:19.880 --> 00:01:22.280]  當然劇情的發展就是
[00:01:22.280 --> 00:01:24.120]  後來他幾經波折之後
[00:01:24.120 --> 00:01:26.880]  終於可以看到長大後的自己
[00:01:26.880 --> 00:01:29.880]  就可以跟靜香結婚
[00:01:29.880 --> 00:01:33.160]  我們知道現實是沒有時光機的
[00:01:33.160 --> 00:01:37.360]  但我們每個人都很想知道未來會是怎樣
[00:01:37.360 --> 00:01:40.280]  可能小朋友就像大雄一樣
[00:01:40.280 --> 00:01:42.400]  他小時候很想知道
