
[00:00:00.000 --> 00:00:05.000]  上星期我們講到機電作為一個農夫
[00:00:05.000 --> 00:00:08.000]  上星期我們講過機電是一個農夫
[00:00:08.000 --> 00:00:12.000]  神父就去拯救他的百姓
[00:00:12.000 --> 00:00:14.000]  那麼神呼召他去拯救百姓
[00:00:14.000 --> 00:00:16.000]  成為一個偉能的勇士
[00:00:16.000 --> 00:00:18.000]  成為一個大能的勇士
[00:00:18.000 --> 00:00:24.000]  就好像我們在我們的生命裏面很忙碌
[00:00:24.000 --> 00:00:26.000]  我們總是在自己的生命裏很忙碌
[00:00:26.000 --> 00:00:29.000]  突然之間有一天神向我們顯現
[00:00:29.000 --> 00:00:32.000]  呼召我們叫我們回香港做香港特首
[00:00:32.000 --> 00:00:35.000]  呼召我們讓我們去香港做香港特首
[00:00:35.000 --> 00:00:38.000]  解決香港的所有眾多問題
[00:00:38.000 --> 00:00:41.000]  解決香港所有的這些動盪的問題
[00:00:41.000 --> 00:00:44.000]  不知道如果神人向你呼召你會有什麼感覺呢
[00:00:44.000 --> 00:00:47.000]  如果神這樣向你呼召你會有什麼感覺呢
[00:00:47.000 --> 00:00:51.000]  我相信無論我們的顏色是黃色還是藍色
[00:00:51.000 --> 00:00:54.000]  我相信如果無論我們的顏色是黃色還是藍色
[00:00:54.000 --> 00:00:56.000]  可能隨時嚇到面無人知
[00:00:56.000 --> 00:00:59.000]  我相信無論我們的顏色是黃色還是藍色
[00:00:59.000 --> 00:01:01.000]  可能隨時嚇到面無人識
[00:01:01.000 --> 00:01:03.000]  我們總是都會嚇到面無人識
[00:01:03.000 --> 00:01:05.000]  面無人識的原因是因為
[00:01:05.000 --> 00:01:07.000]  面無人識的原因是因為
[00:01:07.000 --> 00:01:09.000]  這個呼召太恐怖了
[00:01:09.000 --> 00:01:11.000]  這個呼召太恐怖了
[00:01:11.000 --> 00:01:15.000]  我們如果面對一些戰爭是超越我們的能力的時候
[00:01:15.000 --> 00:01:17.000]  我們面對的戰爭超越我們的能力
[00:01:17.000 --> 00:01:19.000]  叫我們回去做香港特首
[00:01:19.000 --> 00:01:21.000]  我們又不是政客
[00:01:21.000 --> 00:01:23.000]  叫我回去香港做香港特首
[00:01:23.000 --> 00:01:24.000]  我又不是政客
[00:01:24.000 --> 00:01:26.000]  沒錢沒權
[00:01:26.000 --> 00:01:32.000]  一個普通的我如何來面對這些我們處理不了的事呢
[00:01:32.000 --> 00:01:35.000]  一個普通的人怎麼樣去面對這些要處理的事呢
[00:01:35.000 --> 00:01:37.000]  所以他對機電來講
[00:01:37.000 --> 00:01:39.000]  所以他對機電來講
[00:01:39.000 --> 00:01:43.000]  他只不過是一個戰亂之中在掙扎求存的小農夫
[00:01:43.000 --> 00:01:47.000]  他只不過是一個在戰亂中掙扎求生存的小農夫
[00:01:47.000 --> 00:01:51.000]  神竟然叫他來拯救他的百姓
[00:01:51.000 --> 00:01:54.000]  神竟然叫他來拯救他的百姓
[00:01:54.000 --> 00:01:56.000]  所以很明顯機電當時嚇得不得了
[00:01:56.000 --> 00:02:00.000]  所以很明顯機電當時是非常害怕的
[00:02:00.000 --> 00:02:02.000]  也都由於這個害怕
[00:02:02.000 --> 00:02:04.000]  就因為這個害怕
[00:02:04.000 --> 00:02:06.000]  機電就向神求印證
[00:02:06.000 --> 00:02:09.000]  機電就向神求印證
[00:02:09.000 --> 00:02:11.000]  機電就說
[00:02:11.000 --> 00:02:13.000]  機電就說
[00:02:13.000 --> 00:02:20.000]  如果你是按照你所說的話要我拯救的話
[00:02:20.000 --> 00:02:25.000]  如果你是按照你所說的話要我拯救的話
[00:02:25.000 --> 00:02:28.000]  那就給我一個印證來看
[00:02:28.000 --> 00:02:30.000]  那就給我一個印證來看
[00:02:30.000 --> 00:02:33.000]  大家留意機電在求印證
[00:02:33.000 --> 00:02:36.000]  大家留意機電在這裡求印證
[00:02:36.000 --> 00:02:38.000]  他不是想印證
