
[00:00:00.000 --> 00:00:02.240]  真的我們需要讀聖經
[00:00:02.240 --> 00:00:05.640]  不單只是因爲我們既然做了基督徒
[00:00:05.640 --> 00:00:07.520]  應該去把它讀完
[00:00:07.520 --> 00:00:11.280]  而是這個聖經對我們每一個人
[00:00:11.280 --> 00:00:13.960]  我們的屬靈、生命、我們的康復
[00:00:13.960 --> 00:00:16.880]  從罪裏面康復都是非常重要
[00:00:16.880 --> 00:00:19.600]  你很難想象一個病重的人
[00:00:19.600 --> 00:00:20.840]  他不會去喫藥
[00:00:20.840 --> 00:00:23.240]  你很難想象一個癌症的病人
[00:00:23.240 --> 00:00:25.600]  他不願意接受治療
[00:00:25.600 --> 00:00:29.160]  聖經對我們來說就是那個藥
[00:00:29.160 --> 00:00:34.520]  就是上帝爲我們預備的營養的食物跟藥物
[00:00:34.520 --> 00:00:36.560]  這讓我想起一個故事
[00:00:36.560 --> 00:00:42.400]  最近我看了一個新聞報道
[00:00:42.400 --> 00:00:44.400]  是講到一對年輕的夫婦
[00:00:44.400 --> 00:00:47.800]  他們一起在一個研究所
[00:00:47.800 --> 00:00:49.040]  叫做Broad Institute
[00:00:49.040 --> 00:00:51.000]  那邊去做科學的研究
[00:00:51.000 --> 00:00:54.200]  做腦細胞的研究
[00:00:54.200 --> 00:00:55.880]  女的叫做Sonia
[00:00:55.880 --> 00:00:58.120]  男的叫做Eric
[00:00:58.120 --> 00:01:01.200]  那你就聽起來好像不是一個很特別的故事
[00:01:01.200 --> 00:01:05.280]  因爲經常你都會有可能兩個很愛科學的人
[00:01:05.280 --> 00:01:07.400]  他們去讀博士班
[00:01:07.400 --> 00:01:09.120]  然後在那邊他們認識
[00:01:09.120 --> 00:01:10.000]  他們就結婚
[00:01:10.000 --> 00:01:13.080]  那就是在實驗室裏面一起做研究
[00:01:13.080 --> 00:01:16.480]  但是他們的故事其實很不一樣
[00:01:16.480 --> 00:01:19.800]  Sonia在大學的時候是念英語系的
[00:01:19.800 --> 00:01:21.720]  然後後來她去了Harvard Law School
[00:01:21.720 --> 00:01:24.160]  去讀這個法學院
[00:01:24.160 --> 00:01:27.960]  然後她的先生Eric更有趣
[00:01:27.960 --> 00:01:33.000]  他的大學的時候是讀中文系的
[00:01:33.000 --> 00:01:34.960]  後來他去了麻省理工學院
[00:01:34.960 --> 00:01:39.000]  去做城市規劃
[00:01:39.000 --> 00:01:40.360]  這個City Planning
[00:01:40.360 --> 00:01:42.040]  去讀了一個Master Degree
[00:01:42.040 --> 00:01:44.160]  他們在波士頓認識
[00:01:44.160 --> 00:01:49.240]  然後現在他們就在這個Broad Institute裏面一起做研究
[00:01:49.240 --> 00:01:51.800]  也是同時是博士生
[00:01:51.800 --> 00:01:54.600]  Broad Institute是一個很特別的一個機構
[00:01:54.600 --> 00:02:00.960]  因爲它是麻省理工學院跟哈佛大學的聯合的一個研究所
[00:02:00.960 --> 00:02:05.160]  然後他們專攻的是一個Genetics
