
[00:00:00.000 --> 00:00:02.240]  當我們今天打開這段聖經的時候
[00:00:02.240 --> 00:00:04.000]  我想先問你一個問題
[00:00:04.000 --> 00:00:05.720]  在你生命當中
[00:00:05.720 --> 00:00:08.960]  有沒有被我們的主醫治過呢?
[00:00:08.960 --> 00:00:11.080]  你有沒有曾經經歷過
[00:00:11.080 --> 00:00:13.840]  上帝在你身上行的
[00:00:13.840 --> 00:00:16.600]  可能你認爲是神蹟奇事
[00:00:16.600 --> 00:00:18.240]  更可能是你生命裏面
[00:00:18.240 --> 00:00:21.600]  沒有辦法忘記的事呢?
[00:00:21.600 --> 00:00:25.000]  今天有一個耶穌行神蹟的故事
[00:00:25.000 --> 00:00:28.640]  裏面涉及到兩個不同的主角
[00:00:28.640 --> 00:00:29.880]  有很多不同的回應
[00:00:29.880 --> 00:00:31.240]  讓我們去投入
[00:00:31.240 --> 00:00:33.240]  看一看裏面不同人的反應
[00:00:33.240 --> 00:00:34.360]  以至我們知道
[00:00:34.360 --> 00:00:37.240]  究竟上帝今天要跟我們說什麼話
[00:00:37.240 --> 00:00:41.200]  所以一開始說耶穌由坐船到對岸
[00:00:41.200 --> 00:00:44.720]  就看到有一大羣人聚集在祂身邊
[00:00:44.720 --> 00:00:45.920]  先有些背景
[00:00:45.920 --> 00:00:46.680]  如果你留意
[00:00:46.680 --> 00:00:48.520]  可以打開聖經看一看
[00:00:48.520 --> 00:00:50.840]  前面馬科蘭第五章一到二十節
[00:00:50.840 --> 00:00:53.120]  其實是在說另一個很重要的神蹟
[00:00:53.120 --> 00:00:55.040]  這個神蹟就是在說耶穌
[00:00:55.040 --> 00:00:57.200]  從門徒去到加拉森的地方
[00:00:57.200 --> 00:01:00.080]  去爲這個被鬼附的人
[00:01:00.080 --> 00:01:01.640]  將他的鬼趕走
[00:01:01.640 --> 00:01:03.680]  那些鬼去了豬那裏
[00:01:03.680 --> 00:01:06.200]  有二千頭豬跳下山崖
[00:01:06.200 --> 00:01:09.960]  這是剛剛上一段經文所說的神蹟
[00:01:09.960 --> 00:01:11.640]  這段經文一開始說
[00:01:11.640 --> 00:01:13.720]  耶穌就來到對岸的地方
[00:01:13.720 --> 00:01:15.520]  耶穌再一次回到祂的地方
[00:01:15.520 --> 00:01:16.760]  就有一個人物出現
[00:01:16.760 --> 00:01:19.640]  這個人物叫做耶路
[00:01:19.640 --> 00:01:22.920]  聖經裏面描述他是一個會堂的主管
[00:01:22.920 --> 00:01:24.600]  會堂的主管是什麼呢?
[00:01:24.600 --> 00:01:25.120]  很簡單
[00:01:25.120 --> 00:01:28.360]  一定是有權力,可能有些財富
[00:01:28.360 --> 00:01:30.360]  甚至是受人敬仰的人
[00:01:30.360 --> 00:01:31.280]  他一見到耶穌
[00:01:31.280 --> 00:01:33.960]  聖經裏面說他俯伏在祂的腳前
[00:01:33.960 --> 00:01:36.240]  再三求耶穌說
[00:01:36.240 --> 00:01:38.240]  我的女兒,我的小女兒快要死了
[00:01:38.240 --> 00:01:39.440]  你快點爲她按手
[00:01:39.440 --> 00:01:41.760]  讓她好起來,可以活下去
[00:01:41.760 --> 00:01:46.120]  這是第一個這段經文給我們的畫面
[00:01:46.120 --> 00:01:46.960]  就是有一個人
[00:01:46.960 --> 00:01:48.360]  可能大家都認識他
[00:01:48.360 --> 00:01:49.600]  一看就知道
[00:01:49.600 --> 00:01:52.320]  他是一位德高望重的領袖
[00:01:52.320 --> 00:01:54.200]  他一見到耶穌就立刻衝過去
[00:01:54.200 --> 00:01:56.040]  就跪下,就俯伏
[00:01:56.040 --> 00:01:58.920]  就求耶穌
[00:01:58.920 --> 00:01:59.880]  當然我們很明白
[00:01:59.880 --> 00:02:02.200]  因爲他的小女兒病重
[00:02:02.200 --> 00:02:03.720]  快要死了
[00:02:03.720 --> 00:02:05.600]  可能當中不少電影節目做父母
[00:02:05.600 --> 00:02:07.200]  如果有一天你的親人
[00:02:07.200 --> 00:02:08.200]  特別是你的子女
[00:02:08.200 --> 00:02:09.440]  病重
[00:02:09.440 --> 00:02:10.960]  可能你就很緊張
[00:02:10.960 --> 00:02:12.120]  可能你就去求
[00:02:12.120 --> 00:02:12.840]  我也見過
[00:02:12.840 --> 00:02:14.480]  特別是在醫院裏面見過很多家長
[00:02:14.480 --> 00:02:17.480]  去求醫生救我的小女兒
[00:02:17.480 --> 00:02:18.520]  我們都會很緊張
[00:02:18.520 --> 00:02:20.680]  這也是人之常情
[00:02:20.680 --> 00:02:22.360]  更重要就是當我們知道
[00:02:22.360 --> 00:02:25.600]  耶穌之前就是去了格拉森行神蹟
[00:02:25.600 --> 00:02:26.680]  如果在《留意聖經》裏面
[00:02:26.680 --> 00:02:27.680]  馬克福第五章第一節
[00:02:27.680 --> 00:02:29.400]  已經說耶穌特意去格拉森
[00:02:29.400 --> 00:02:30.760]  然後就回來
[00:02:30.760 --> 00:02:32.240]  沒有說去了多久
[00:02:32.240 --> 00:02:33.520]  只是說救了這個人
[00:02:33.520 --> 00:02:35.920]  然後就有一個神蹟的啓示
[00:02:35.920 --> 00:02:39.120]  可能這個會堂的主管來到這個地方
[00:02:39.120 --> 00:02:40.120]  耶穌應該在那裏
[00:02:40.120 --> 00:02:42.480]  誰知道耶穌就不在那個地方
[00:02:42.480 --> 00:02:44.400]  並且與門徒離開了
