
[00:00:00.000 --> 00:00:04.720]  我們知道在路加福第九章
[00:00:04.720 --> 00:00:08.120]  主耶穌當時差派十二個使徒
[00:00:08.120 --> 00:00:12.280]  他們出來傳道、傳揚天國的福音
[00:00:12.280 --> 00:00:17.280]  趕鬼、醫病、證明神的國臨到
[00:00:17.280 --> 00:00:20.880]  所以這是第九章所記載
[00:00:20.880 --> 00:00:23.880]  他們回來述說所經歷的事
[00:00:23.880 --> 00:00:27.480]  到了第十章上一次我們開始就看見
[00:00:27.480 --> 00:00:31.000]  耶穌再差遣七十個門徒
[00:00:31.000 --> 00:00:33.240]  這七十個門徒就很代表
[00:00:33.240 --> 00:00:37.040]  我們所有的平信徒
[00:00:37.040 --> 00:00:39.600]  所有的傳道的人
[00:00:39.600 --> 00:00:43.800]  所有的信徒我們都是成為傳福音的使者
[00:00:43.800 --> 00:00:47.440]  這七十個信徒又出去傳福音
[00:00:47.440 --> 00:00:50.160]  接著上一個星期我們又說
[00:00:50.160 --> 00:00:51.880]  耶穌對他們的差遣
[00:00:51.880 --> 00:00:53.520]  對我們的差遣
[00:00:53.520 --> 00:00:55.720]  也要求我們在傳福音的時候
[00:00:55.720 --> 00:00:57.640]  留意我們很重要的
[00:00:57.640 --> 00:01:01.080]  一些我們的生命的見證
[00:01:01.080 --> 00:01:03.400]  因為我們不單止傳一個信息
[00:01:03.400 --> 00:01:05.520]  更加地是傳揚我們
[00:01:05.520 --> 00:01:10.120]  去見證我們神在我們身上生命的見證
[00:01:10.120 --> 00:01:12.720]  所以他們就出去了
[00:01:12.720 --> 00:01:14.960]  所以今天我們繼續看的時候
[00:01:14.960 --> 00:01:18.040]  我們會看到他們回來的時候
[00:01:18.040 --> 00:01:21.200]  跟耶穌所講述的他們的經歷
[00:01:21.200 --> 00:01:23.640]  好樣地我們在當中體會到
[00:01:23.640 --> 00:01:28.640]  我們真是一班是有福的傳福音者
[00:01:28.640 --> 00:01:33.600]  所以我們首先讀回上一次這個記載
[00:01:33.600 --> 00:01:38.080]  第一第二節我們溫習一下事蹟的開始
[00:01:38.080 --> 00:01:41.120]  我們先來讀第一第二節請讀
[00:01:41.120 --> 00:01:45.280]  這事以後主又設立七十個人
[00:01:45.280 --> 00:01:49.880]  差遣他們兩個兩個地在他前面
[00:01:49.880 --> 00:01:54.960]  往自己所要到的各城各地方去
[00:01:54.960 --> 00:01:59.440]  就對他們說要收的莊稼多
[00:01:59.440 --> 00:02:01.400]  做工的人少
[00:02:01.400 --> 00:02:06.240]  所以你們當求莊稼的主打發工人
[00:02:06.240 --> 00:02:09.120]  出去收他的莊稼
[00:02:09.120 --> 00:02:13.480]  這就是主對門徒對我們的差遣
[00:02:13.480 --> 00:02:15.560]  因為收的莊稼多
[00:02:15.560 --> 00:02:19.520]  做工的人少就是不夠
[00:02:19.520 --> 00:02:21.080]  我們要全民皆兵
[00:02:21.080 --> 00:02:24.560]  每個人都能夠把握我們有的機會
[00:02:24.560 --> 00:02:27.000]  成為主所差派的人
[00:02:27.000 --> 00:02:28.320]  亦都求莊稼的主
[00:02:28.320 --> 00:02:31.040]  這就是主動熱誠的
[00:02:31.040 --> 00:02:37.480]  來參與代表上帝作神的福音的使者
[00:02:37.480 --> 00:02:40.680]  上一次我們讀完最後一節
[00:02:40.680 --> 00:02:43.640]  今天我們回來這節十六節
[00:02:43.640 --> 00:02:46.120]  然後讀到下面的經文
[00:02:46.120 --> 00:02:48.960]  我們一齊讀出這些經節
[00:02:48.960 --> 00:02:50.760]  好嗎 第十六節請讀
[00:02:50.760 --> 00:02:52.840]  有對門徒說
[00:02:52.840 --> 00:02:56.520]  聽從你們的就是聽從我
[00:02:56.520 --> 00:02:59.840]  悉絕你們的就是悉絕我
[00:02:59.840 --> 00:03:04.480]  悉絕我的就是悉絕那差我來的
[00:03:04.480 --> 00:03:05.800]  第七節
[00:03:05.800 --> 00:03:09.760]  那七十個人歡歡喜喜地回來
[00:03:09.760 --> 00:03:15.520]  說主啊 因你的名就是鬼也伏了我們
[00:03:15.520 --> 00:03:19.240]  第十八節 耶穌對他們說
[00:03:19.240 --> 00:03:23.840]  我曾看見撒旦從天上墜落
[00:03:23.840 --> 00:03:26.320]  像閃電一樣
[00:03:26.320 --> 00:03:28.960]  我已經給你們權柄
[00:03:28.960 --> 00:03:32.280]  可以踐踏蛇和蠍子
[00:03:32.280 --> 00:03:36.240]  有勝過囚的一切的能力
[00:03:36.240 --> 00:03:39.720]  斷沒有什麼能害你們
[00:03:39.720 --> 00:03:44.320]  然而 不要因鬼伏了你們就歡喜
[00:03:44.320 --> 00:03:49.600]  要因你們的名記錄在天上歡喜
[00:03:49.600 --> 00:03:50.680]  二十一節
[00:03:50.680 --> 00:03:56.560]  正當那時 耶穌被聖靈感動就歡樂說
[00:03:56.560 --> 00:04:00.560]  父啊 天地的主 我感謝你
[00:04:00.560 --> 00:04:06.920]  因為你將這些事向聰明通達人就藏起來
[00:04:06.920 --> 00:04:09.920]  向嬰孩就顯出來
[00:04:09.920 --> 00:04:15.760]  父啊 是的 因為你的美意本是如此
[00:04:15.760 --> 00:04:20.480]  一切所有的都是我父交付我的
[00:04:20.480 --> 00:04:24.160]  除了父沒有人知道子是誰
[00:04:24.160 --> 00:04:28.400]  除了子和子所願意的子是的
[00:04:28.400 --> 00:04:32.200]  沒有人知道父是誰
[00:04:32.200 --> 00:04:37.240]  耶穌轉身暗暗地對門圖說
[00:04:37.240 --> 00:04:43.200]  看見你們所看見的那眼睛就有福了
[00:04:43.200 --> 00:04:44.920]  我告訴你們
[00:04:44.920 --> 00:04:48.680]  從前有許多先知和君王
[00:04:48.680 --> 00:04:52.520]  要看你們所看的卻沒有看見
[00:04:52.520 --> 00:04:57.800]  要聽你們所聽的卻沒有聽見
[00:04:57.800 --> 00:05:00.120]  哇 厲害啊 這裡
[00:05:00.120 --> 00:05:04.480]  原來能夠看見神的奇妙工作
[00:05:04.480 --> 00:05:09.880]  聽見福音改變人的好消息
[00:05:09.880 --> 00:05:15.800]  這個比起許多先知和君王都有福
[00:05:15.800 --> 00:05:20.000]  所以祂說看見你們所看見的那眼睛
[00:05:20.000 --> 00:05:23.480]  第二十三節就是什麼 有福了
[00:05:23.480 --> 00:05:26.200]  所以真的是 我們是有福的
[00:05:26.200 --> 00:05:29.560]  有福的傳福音者
[00:05:29.560 --> 00:05:31.400]  我們實在是夢福的
[00:05:31.400 --> 00:05:33.520]  所以當時耶穌給我們看見
[00:05:33.520 --> 00:05:36.400]  我們有這個奇妙的特權
[00:05:36.400 --> 00:05:41.680]  給這些門徒們奉主的差遣出去的時候
[00:05:41.680 --> 00:05:45.120]  我們有這個特權 有這個福分
