
[00:00:00.000 --> 00:00:04.280]  神帶領同福堂是向着一個方向走的
[00:00:04.280 --> 00:00:06.200]  就是多待同行
[00:00:06.200 --> 00:00:07.880]  關心社區
[00:00:07.880 --> 00:00:11.680]  以及成爲有信仰活力的教會
[00:00:11.680 --> 00:00:14.480]  我相信我們一班的鼎姐妹
[00:00:14.480 --> 00:00:17.080]  我們都有一個共同的理念
[00:00:17.080 --> 00:00:22.440]  就是我們不是在四步牆裏面敬拜神
[00:00:22.440 --> 00:00:25.600]  我們自己開心 開心就算了
[00:00:25.600 --> 00:00:27.480]  我相信大家有一個共同理念
[00:00:27.480 --> 00:00:30.880]  就是我們應該離開這四步牆
[00:00:30.880 --> 00:00:32.360]  走到出去
[00:00:32.360 --> 00:00:33.800]  和我們的社區
[00:00:33.800 --> 00:00:35.720]  即是大坑 銅鑼灣
[00:00:35.720 --> 00:00:37.840]  我們的社區 我們的論社
[00:00:37.840 --> 00:00:40.120]  建立緊密的關係
[00:00:40.120 --> 00:00:42.040]  以致我們可以打成一片
[00:00:42.040 --> 00:00:43.720]  我們出去的時候
[00:00:43.720 --> 00:00:45.440]  他們成爲我們的好朋友
[00:00:45.440 --> 00:00:47.560]  我們也成爲他們的好朋友
[00:00:47.560 --> 00:00:49.840]  他們進來的時候就沒有什麼隔膜
[00:00:49.840 --> 00:00:51.400]  可以自由的進來
[00:00:51.400 --> 00:00:53.520]  成爲我們的家人
[00:00:53.520 --> 00:00:57.560]  很相信這是神對同福堂的心意
[00:00:57.560 --> 00:01:00.800]  我們很相信神帶領教會
[00:01:00.800 --> 00:01:02.960]  成爲一間社區的教會
[00:01:02.960 --> 00:01:07.160]  我們和我們的論社建立緊密的關係
[00:01:07.160 --> 00:01:09.640]  我相信大家都有一種想法
[00:01:09.640 --> 00:01:12.920]  就是我們應該祝福人
[00:01:12.920 --> 00:01:15.680]  但是今天我很想大家用小時間
[00:01:15.680 --> 00:01:18.600]  我們更深入的探討這個想法
[00:01:18.600 --> 00:01:20.760]  由應該祝福人
[00:01:20.760 --> 00:01:22.640]  變爲我們是充滿盼望
[00:01:22.640 --> 00:01:25.480]  和充滿應許的去祝福人
[00:01:25.480 --> 00:01:26.720]  我再講多一次
[00:01:26.720 --> 00:01:29.440]  由我們覺得應該去祝福人
