
[00:00:00.000 --> 00:00:03.160]  不知道你有沒有聽過或者被人問過
[00:00:03.160 --> 00:00:05.960]  如果今天是你人生裡面最後一天
[00:00:05.960 --> 00:00:09.160]  你會怎樣過呢?
[00:00:09.160 --> 00:00:12.400]  有沒有被人問過這個問題?
[00:00:12.400 --> 00:00:13.760]  有啊
[00:00:13.760 --> 00:00:15.040]  是啊
[00:00:15.040 --> 00:00:18.440]  剛剛過去的2月發生了很多事情
[00:00:18.440 --> 00:00:21.560]  有些是預期會發生的
[00:00:21.560 --> 00:00:23.600]  有些也是頗突發的
[00:00:23.600 --> 00:00:25.720]  預期發生的是什麼呢?
[00:00:25.720 --> 00:00:27.640]  就是我和木區的弟兄姐妹
[00:00:27.640 --> 00:00:31.400]  去了一個內地的探訪
[00:00:31.400 --> 00:00:34.200]  但是呢
[00:00:34.200 --> 00:00:39.920]  突發的就是在我探訪前後不到兩個星期
[00:00:39.920 --> 00:00:43.560]  我要去三場的安息禮服侍
[00:00:43.560 --> 00:00:49.280]  花天家的弟兄姐妹有些都比較年長了
[00:00:49.280 --> 00:00:52.280]  就是六十多歲、八十多歲
[00:00:52.280 --> 00:00:54.000]  同一時間
[00:00:54.000 --> 00:00:57.840]  也聽到在2月有兩位藝人
[00:00:57.840 --> 00:00:58.720]  我不知道你認不認識
[00:00:58.720 --> 00:01:01.480]  一個是台灣的大S
[00:01:01.480 --> 00:01:01.960]  是不是?
[00:01:01.960 --> 00:01:02.960]  肚子餓
[00:01:02.960 --> 00:01:03.480]  是的
[00:01:03.480 --> 00:01:05.800]  另一個就是方大同
[00:01:05.800 --> 00:01:08.320]  他們都離世了
[00:01:08.320 --> 00:01:10.680]  他們年紀比較年輕
[00:01:10.680 --> 00:01:12.200]  但是呢
[00:01:12.200 --> 00:01:13.600]  除了這些之外
[00:01:13.600 --> 00:01:15.400]  也有開心的事情
[00:01:15.400 --> 00:01:16.320]  是什麼呢?
[00:01:16.320 --> 00:01:21.080]  就是Dixon和小花結婚了
[00:01:21.080 --> 00:01:21.720]  是不是?
[00:01:21.720 --> 00:01:24.440]  這些是我們YS的家事
[00:01:24.440 --> 00:01:25.040]  是不是?
