
[00:00:00.000 --> 00:00:02.000]  同埋生活智慧嚟到最後一講喇
[00:00:02.000 --> 00:00:04.000]  咁究竟我哋有啲咩得著呢
[00:00:04.000 --> 00:00:05.000]  特別我自己
[00:00:05.000 --> 00:00:06.000]  即係有啲咩得著呢
[00:00:06.000 --> 00:00:08.000]  咁我就嘗試回顧下
[00:00:08.000 --> 00:00:11.000]  即係唔同嘅講員呢
[00:00:11.000 --> 00:00:12.000]  嚟去到去分享
[00:00:12.000 --> 00:00:13.000]  無論喺真言呀
[00:00:13.000 --> 00:00:14.000]  詩篇呀
[00:00:14.000 --> 00:00:15.000]  傳道書嘅裏面呢
[00:00:15.000 --> 00:00:17.000]  都係有好多好深嘅體會
[00:00:17.000 --> 00:00:19.000]  咁我相信呢自從喺
[00:00:19.000 --> 00:00:20.000]  Pandemic之後呢
[00:00:20.000 --> 00:00:23.000]  即係都令我哋呢好高度關注啦
[00:00:23.000 --> 00:00:26.000]  自己同埋屋企人嗰個嘅健康啦
[00:00:26.000 --> 00:00:28.000]  家居呀社區嘅衛生呢
[00:00:28.000 --> 00:00:30.000]  大家都係注重咗㗎係咪呀
[00:00:30.000 --> 00:00:32.000]  即係為咗呢你去到去增強呢
[00:00:32.000 --> 00:00:34.000]  自己嗰個免疫力
[00:00:34.000 --> 00:00:35.000]  抵禦病毒呢
[00:00:35.000 --> 00:00:37.000]  你都會呢即係做咗一啲
[00:00:37.000 --> 00:00:39.000]  以前你唔會做嘅嘢係咪呀
[00:00:39.000 --> 00:00:41.000]  包括你係會去做好多運動啦
[00:00:41.000 --> 00:00:42.000]  注意飲食啦
[00:00:42.000 --> 00:00:43.000]  係咪呀
[00:00:43.000 --> 00:00:44.000]  早啲休息啦
[00:00:44.000 --> 00:00:47.000]  咁以致呢你都係小病咗係咪呀
[00:00:47.000 --> 00:00:49.000]  即係我唔知大家係咪小病咗呀
[00:00:49.000 --> 00:00:50.000]  即係我係㗎
[00:00:50.000 --> 00:00:51.000]  嚟咗加拿大咁耐呢其實
[00:00:51.000 --> 00:00:53.000]  即係可能係病過一次
[00:00:53.000 --> 00:00:54.000]  即係咁已經係
[00:00:54.000 --> 00:00:55.000]  即係好感恩呀
[00:00:55.000 --> 00:00:58.000]  所以呢喺個過程嘅當中呢
[00:00:58.000 --> 00:01:00.000]  即係我諗呢一個都係好重要呀
[00:01:00.000 --> 00:01:03.000]  即係點樣你去到去顧惜我哋嘅身體
[00:01:03.000 --> 00:01:06.000]  以至到呢去走近遠嘅路
[00:01:06.000 --> 00:01:09.000]  所以呢即係當一諗到呢一度嘅時候呢
[00:01:09.000 --> 00:01:10.000]  同時間
[00:01:10.000 --> 00:01:12.000]  即係其實我哋都好需要呢
[00:01:12.000 --> 00:01:15.000]  嚟去到去注意我哋嘅嗰個嘅靈命呀
[00:01:15.000 --> 00:01:18.000]  即係當我哋返咗返咗好多時間心機
[00:01:18.000 --> 00:01:20.000]  嚟去到去照顧我哋嘅身體
[00:01:20.000 --> 00:01:23.000]  究竟我哋有冇問下自己
[00:01:23.000 --> 00:01:25.000]  一刻我嘅soul
[00:01:25.000 --> 00:01:26.000]  我嘅soul好嗎
[00:01:26.000 --> 00:01:28.000]  soul呀即係我嘅靈命呀
[00:01:28.000 --> 00:01:30.000]  即係好唔好呢
[00:01:30.000 --> 00:01:32.000]  即係此刻係咁咩狀態呢
[00:01:32.000 --> 00:01:35.000]  可能你同我都係好專心咁樣嚟到放假
[00:01:35.000 --> 00:01:36.000]  即係可能都好疲倦呀
[00:01:36.000 --> 00:01:37.000]  一諗到
[00:01:37.000 --> 00:01:38.000]  哇開學啦
[00:01:38.000 --> 00:01:39.000]  back to normal
[00:01:39.000 --> 00:01:42.000]  咁可能都會有啲沉重呀
[00:01:42.000 --> 00:01:45.000]  又或者你喺個過程嘅當中
[00:01:45.000 --> 00:01:47.000]  可能都會從另一個裏面呢
[00:01:47.000 --> 00:01:49.000]  即係好期待呀
[00:01:49.000 --> 00:01:51.000]  嚟緊嗰個新嘅轉變
[00:01:51.000 --> 00:01:54.000]  此刻你嘅soul即係咩狀態呢
[00:01:54.000 --> 00:01:56.000]  我哋點樣嚟去到呢
[00:01:56.000 --> 00:02:01.000]  去增強你嘅屬靈嘅免疫力呢
[00:02:01.000 --> 00:02:03.000]  因為呢我哋都知道啦
[00:02:03.000 --> 00:02:06.000]  其實我哋此刻作為主嘅門徒
[00:02:06.000 --> 00:02:07.000]  我哋都好明白
[00:02:07.000 --> 00:02:11.000]  其實我哋就喺一個嘅屬靈嘅增戰嘅裏面
[00:02:11.000 --> 00:02:16.000]  喺呢一個嘅彼得前書五章八節呢
[00:02:16.000 --> 00:02:17.000]  咁樣提醒我哋
[00:02:17.000 --> 00:02:19.000]  無要謹慎要警醒
[00:02:19.000 --> 00:02:21.000]  因為你哋的仇敵魔鬼
[00:02:21.000 --> 00:02:24.000]  如同咆哮嘅獅子
[00:02:24.000 --> 00:02:29.000]  咆哮嘅獅子走嚟走去尋找
[00:02:29.000 --> 00:02:31.000]  可吞嚇嘅你同埋我
[00:02:31.000 --> 00:02:34.000]  咁所以呢我哋冇一個人可以自誇話
[00:02:34.000 --> 00:02:37.000]  遇惘無光或者當佢冇到
[00:02:37.000 --> 00:02:41.000]  其實冷惡者就係24小時
[00:02:41.000 --> 00:02:42.000]  係咪我哋都要瞓覺
[00:02:42.000 --> 00:02:45.000]  但佢24小時不停咁樣嚟到工作
[00:02:45.000 --> 00:02:47.000]  目的只係一樣嘢
[00:02:47.000 --> 00:02:49.000]  即係好想呢你去到去
[00:02:49.000 --> 00:02:52.000]  即係令到我哋同神嘅關係破裂
[00:02:52.000 --> 00:02:54.000]  甚至乎對神失望
[00:02:54.000 --> 00:02:57.000]  即係好多嘅懷疑
[00:02:57.000 --> 00:02:59.000]  魔鬼就係嗰個殺方
[00:02:59.000 --> 00:03:01.000]  即係講大話之父
[00:03:01.000 --> 00:03:03.000]  所以呢都喺當中
[00:03:03.000 --> 00:03:05.000]  我哋點樣你去到提升
