
[00:00:00.000 --> 00:00:09.000]  今日我們回到聖經裡,看另一個人物,就是阿巴拉罕。
[00:00:09.000 --> 00:00:11.000]  大家應該熟悉。
[00:00:11.000 --> 00:00:18.000]  有人問,為何我又要再講阿巴拉罕呢?
[00:00:18.000 --> 00:00:23.000]  大家都知道,很熟悉的事不用再講了。
[00:00:23.000 --> 00:00:31.000]  大家有多少人讀過阿巴拉罕的故事呢?
[00:00:31.000 --> 00:00:34.000]  如果大家知道的話,舉手。
[00:00:34.000 --> 00:00:36.000]  如果不知道的話,舉手。
[00:00:36.000 --> 00:00:41.000]  不是每個人都有很多。
[00:00:41.000 --> 00:00:49.000]  阿巴拉罕在聖經裡,一開始是一個很關鍵的人物。
[00:00:49.000 --> 00:00:58.000]  在聖經裡,他的名字被提到近三百次。
[00:00:58.000 --> 00:01:00.000]  二百八十多次,不是我數的。
[00:01:00.000 --> 00:01:03.000]  包括他有兩個名字。
[00:01:03.000 --> 00:01:08.000]  在聖經裡提到他的時候,不單止提到他的名字,
[00:01:08.000 --> 00:01:13.000]  而且提到他做的事,關於他的事情。
[00:01:13.000 --> 00:01:18.000]  所以在聖經裡,有二百八十多次提到。
[00:01:18.000 --> 00:01:23.000]  在《創世紀》裡,我們從十二章到二十五章,
[00:01:23.000 --> 00:01:31.000]  有十三章左右,都是關於阿巴拉罕的故事。
[00:01:31.000 --> 00:01:33.000]  是很長的篇幅。
[00:01:33.000 --> 00:01:37.000]  摩西怎會等這麼多篇幅寫他呢?
[00:01:37.000 --> 00:01:39.000]  我想大家應該明白,
[00:01:39.000 --> 00:01:43.000]  阿巴拉罕是一個很重要的,
[00:01:43.000 --> 00:01:46.000]  他有一些特別的事情,我想我們要知道。
[00:01:46.000 --> 00:01:53.000]  另外,猶太人對阿巴拉罕,當他是祖宗。
[00:01:53.000 --> 00:01:59.000]  當他是祖宗,我想叫猶太人認誰是祖宗,
[00:01:59.000 --> 00:02:02.000]  我想是很重要的。
[00:02:02.000 --> 00:02:06.000]  因為耶穌與猶太人吵架的時候,
[00:02:06.000 --> 00:02:09.000]  猶太人想殺了耶穌。
[00:02:09.000 --> 00:02:13.000]  但是他們看阿巴拉罕是祖宗。
[00:02:13.000 --> 00:02:18.000]  但是,阿巴拉罕不是最早的猶太人祖宗,
[00:02:18.000 --> 00:02:21.000]  他前面還有一大堆人。
[00:02:21.000 --> 00:02:24.000]  我們回到前面第十一章,
[00:02:24.000 --> 00:02:27.000]  還有六章,紅水的時候,
[00:02:27.000 --> 00:02:36.000]  羅亞一家是人的祖宗,包括猶太人。
[00:02:36.000 --> 00:02:44.000]  但是,在聖經裡面提到猶太人的祖先的時候,
[00:02:44.000 --> 00:02:48.000]  他們都是引用到阿巴拉罕。
[00:02:48.000 --> 00:03:03.000]  在聖經裡面還有幾節經文,
[00:03:03.000 --> 00:03:07.000]  我想我們都要特別留意,很特別的。
[00:03:07.000 --> 00:03:10.000]  就是在出埃及記裡面,
[00:03:10.000 --> 00:03:16.000]  出埃及記裡面是摩西與神的對話,
[00:03:16.000 --> 00:03:18.000]  而神告訴他們,
[00:03:18.000 --> 00:03:23.000]  因為神叫摩西回去帶那些以色列人出來,
[00:03:23.000 --> 00:03:27.000]  摩西問神怎樣告訴他們,
[00:03:27.000 --> 00:03:34.000]  有一節的聖經就說,我是你父子的神,
[00:03:34.000 --> 00:03:36.000]  就是阿巴拉罕的神,
[00:03:36.000 --> 00:03:39.000]  以撒的神,阿閣的神。
[00:03:39.000 --> 00:03:42.000]  在那裡不單止提到阿巴拉罕,
[00:03:42.000 --> 00:03:45.000]  而是他三代都提到,
[00:03:45.000 --> 00:03:49.000]  提到以撒,提到阿閣。
[00:03:49.000 --> 00:03:57.000]  而這節聖經在出埃及記第三章裡是重複又重複的,
[00:03:57.000 --> 00:04:01.000]  不單止在出埃及記重複,
[00:04:01.000 --> 00:04:04.000]  而到了新約的時候,
[00:04:04.000 --> 00:04:06.000]  如果我們去到呼音書的時候,
[00:04:06.000 --> 00:04:10.000]  事實上在馬太呼音第一章一開始的時候,
[00:04:10.000 --> 00:04:12.000]  就提到阿巴拉罕的後裔,
[00:04:12.000 --> 00:04:17.000]  在呼音書裡面也都引用到這一節的聖經,
[00:04:17.000 --> 00:04:20.000]  所以這一節聖經我們要記住,
[00:04:20.000 --> 00:04:24.000]  因為我們將來看阿巴拉罕的生命的時候,
[00:04:24.000 --> 00:04:29.000]  我們都要想到以撒和阿閣,
[00:04:29.000 --> 00:04:33.000]  因為阿巴拉罕不單止是他自己,
[00:04:33.000 --> 00:04:36.000]  還有他的兒子,他的孫子,
[00:04:36.000 --> 00:04:38.000]  最低限度有三代,
[00:04:38.000 --> 00:04:42.000]  他沒有提到以後阿閣的十二個怎麼樣,
[00:04:42.000 --> 00:04:47.000]  但是我想在這裡我們都看到,
