
[00:00:00.000 --> 00:00:02.000]  讚美主
[00:00:02.000 --> 00:00:05.560]  今天很開心看到這麼多弟兄姐妹在我們當中
[00:00:05.560 --> 00:00:09.120]  我知道因爲今天是復活主日
[00:00:09.120 --> 00:00:10.440]  也是朕禮
[00:00:10.440 --> 00:00:12.440]  也是三堂的聯合崇拜
[00:00:12.440 --> 00:00:17.280]  所以所有弟兄姐妹都很盼望見到大家
[00:00:17.280 --> 00:00:19.280]  所以今天我要很把握時間
[00:00:19.280 --> 00:00:22.280]  因爲我們要在信息裏面
[00:00:22.280 --> 00:00:25.240]  一方面是很想和我們的受朕者
[00:00:25.240 --> 00:00:29.800]  這裏看到順德、嘉嘉和袁山在這裏當中
[00:00:29.800 --> 00:00:32.360]  我要給他們一個免禮的信息
[00:00:32.360 --> 00:00:35.720]  另一方面我們今天也一起來慶祝復活主日
[00:00:35.720 --> 00:00:39.720]  我們也知道耶穌基督復活和我們的生命有什麼關係
[00:00:39.720 --> 00:00:41.720]  所以我選擇了這段題目
[00:00:41.720 --> 00:00:45.680]  是與主同死同葬同復活
[00:00:45.680 --> 00:00:47.240]  經過哥倫多前書
[00:00:47.240 --> 00:00:48.640]  我相信第一次會知道
[00:00:48.640 --> 00:00:53.240]  我們這段時間用哥倫多前書和大家分享教會的問題
[00:00:53.240 --> 00:00:54.920]  但是今天我們在復活節
[00:00:54.920 --> 00:00:59.640]  哥倫多前書第十五章也講了很多關於復活的教導
[00:00:59.640 --> 00:01:02.080]  我選擇了其中三至十一節
[00:01:02.080 --> 00:01:06.000]  而且待會我們也會看羅馬書六章三至十一節
[00:01:06.000 --> 00:01:07.800]  大家就會說穆斯林你行不行
[00:01:07.800 --> 00:01:09.640]  在這麼擔架的時間裏
[00:01:09.640 --> 00:01:14.720]  我就要開始挑戰我自己
[00:01:14.720 --> 00:01:17.080]  首先謝謝我們的領會
[00:01:17.080 --> 00:01:19.040]  秉鳴執事和我們讀了今天的經文
[00:01:19.040 --> 00:01:20.720]  所以我們這裏不讀了
[00:01:20.720 --> 00:01:22.480]  但是我想給大家看到
[00:01:22.480 --> 00:01:25.680]  在剛纔的經文裏面有三個"了"字
[00:01:25.680 --> 00:01:30.880]  "死了"、"埋葬了"、"復活了"
[00:01:30.880 --> 00:01:32.360]  用中文也很容易理解
[00:01:32.360 --> 00:01:35.240]  "死了"當然是過去式發生了
[00:01:35.240 --> 00:01:38.200]  "埋葬了"也埋葬了
[00:01:38.200 --> 00:01:40.240]  沒錯 我們主要是展示基督
[00:01:40.240 --> 00:01:45.440]  的確確是"死了"和"埋葬了"
[00:01:45.440 --> 00:01:49.360]  這裏是在哥倫多前書
[00:01:49.360 --> 00:01:53.120]  哥倫多前書大約是主後五十多年寫的
[00:01:53.120 --> 00:01:55.280]  一個千真萬確的事實
[00:01:55.280 --> 00:01:56.880]  但保羅更加強調了一件事
[00:01:56.880 --> 00:01:58.240]  第三個字是什麼
[00:01:58.240 --> 00:01:59.840]  "復活了"
[00:01:59.840 --> 00:02:01.160]  復活了有什麼不同
[00:02:01.160 --> 00:02:04.240]  復活了就不是一個過去式
[00:02:04.240 --> 00:02:07.520]  "復活了"意思就是現在有沒有活着
[00:02:07.520 --> 00:02:09.000]  剛纔師哥怎麼說
[00:02:09.000 --> 00:02:10.040]  他仍然活着
[00:02:10.040 --> 00:02:13.120]  我們耶穌基督死了、埋葬了
[00:02:13.120 --> 00:02:14.720]  而且復活了
[00:02:14.720 --> 00:02:16.800]  而且是繼續活着
[00:02:16.800 --> 00:02:19.200]  可能我們人世間經常聽到很多傳聞
[00:02:19.200 --> 00:02:21.240]  說那個人死了又翻山
[00:02:21.240 --> 00:02:22.640]  在那個守衛室裏面
[00:02:22.640 --> 00:02:26.200]  本來醫生都宣佈他已經死亡了
[00:02:26.200 --> 00:02:27.680]  誰知道又翻山了
