
[00:00:00.000 --> 00:00:03.800]  我們讀了今天我們所要學習的經文
[00:00:03.800 --> 00:00:08.760]  去到出埃及記的二十三章十節到十七節中間的幾節經文
[00:00:08.760 --> 00:00:12.120]  我們一起開聲去讀
[00:00:12.120 --> 00:00:13.200]  第十節
[00:00:13.200 --> 00:00:17.000]  六年你要耕種田地收藏土產
[00:00:17.000 --> 00:00:20.000]  此時第七年要叫地歇息
[00:00:20.000 --> 00:00:21.240]  不耕不種
[00:00:21.240 --> 00:00:24.120]  使你民眾的窮人有吃的
[00:00:24.120 --> 00:00:25.840]  他們所剩下的
[00:00:25.840 --> 00:00:27.520]  野獸可以吃
[00:00:27.520 --> 00:00:31.960]  你的葡萄園和橄欖園也要照樣辦理
[00:00:31.960 --> 00:00:33.680]  六日你要做工
[00:00:33.680 --> 00:00:35.560]  第七日要安息
[00:00:35.560 --> 00:00:37.920]  使牛奴可以歇息
[00:00:37.920 --> 00:00:43.160]  並使你婢女的兒子和寄居的都可以舒暢
[00:00:43.160 --> 00:00:46.640]  一年三次你要向我守節
[00:00:46.640 --> 00:00:48.760]  你要守隨教節
[00:00:48.760 --> 00:00:50.840]  照我所吩咐你的
[00:00:50.840 --> 00:00:53.400]  在亞北月內所定的日子
[00:00:53.400 --> 00:00:55.400]  吃無教餅七天
[00:00:55.400 --> 00:00:58.320]  誰也不可空手朝見夜我
[00:00:58.320 --> 00:01:01.560]  因為你是這月出了埃及
[00:01:01.560 --> 00:01:03.720]  又要守收割節
[00:01:03.720 --> 00:01:06.320]  所收的是你田間所種
[00:01:06.320 --> 00:01:08.640]  勞碌得來初熟之物
[00:01:08.640 --> 00:01:10.880]  並在年底收藏
[00:01:10.880 --> 00:01:12.600]  要守收藏節
[00:01:12.600 --> 00:01:17.560]  一切的男丁要一年三次朝見夜和華
[00:01:17.560 --> 00:01:18.600]  除了這段聖經
[00:01:18.600 --> 00:01:20.240]  我嘗試在摩西五經裡
[00:01:20.240 --> 00:01:22.360]  它也有相應的教導
[00:01:22.360 --> 00:01:26.160]  我會引用其他的章節來輔助
[00:01:26.160 --> 00:01:29.240]  我們所認識的今日的三個課題
[00:01:29.240 --> 00:01:31.320]  第一個所說的是安息年
[00:01:31.320 --> 00:01:33.960]  是在這段聖經的十至十一節
[00:01:33.960 --> 00:01:35.640]  我們同樣地去看看
[00:01:35.640 --> 00:01:37.960]  李美記的二十五章二至四節
[00:01:37.960 --> 00:01:38.800]  我們一起讀
[00:01:38.800 --> 00:01:39.760]  一二三
[00:01:39.760 --> 00:01:43.560]  你們到了我所賜你們拿地的時候
[00:01:43.560 --> 00:01:45.200]  地要休耕
[00:01:45.200 --> 00:01:47.400]  向夜和華守安息
[00:01:47.400 --> 00:01:50.000]  你們六年要耕種田地
[00:01:50.000 --> 00:01:52.440]  六年要收領葡萄園
[00:01:52.440 --> 00:01:54.440]  收藏地的出產
[00:01:54.440 --> 00:01:55.320]  第七年
[00:01:55.320 --> 00:01:58.280]  地要守完全安息的安息年
[00:01:58.280 --> 00:02:01.520]  就是向夜和華守安息
[00:02:01.520 --> 00:02:03.720]  大家要留意那個時序
[00:02:03.720 --> 00:02:05.560]  夜和華吩咐摩西的時候
[00:02:05.560 --> 00:02:08.280]  以色列人仍然在曠野
[00:02:08.280 --> 00:02:12.040]  是他們未進入到迦南去實踐
[00:02:12.040 --> 00:02:14.520]  他們耕作的生活循環
[00:02:14.520 --> 00:02:16.120]  所以其實安息年
[00:02:16.120 --> 00:02:19.080]  神吩咐以色列民是遵守著一樣
[00:02:19.080 --> 00:02:21.640]  還未曾發生的事情
[00:02:21.640 --> 00:02:23.680]  是說一些將來的事
[00:02:23.680 --> 00:02:26.160]  是帶著一些盼望的應許
[00:02:26.160 --> 00:02:28.000]  盼望就是當然這班以色列人
[00:02:28.000 --> 00:02:30.280]  最終可以進入迦南地
[00:02:30.280 --> 00:02:32.040]  而進入了迦南地的時候
[00:02:32.040 --> 00:02:35.200]  神就應許他們要透過安息年
[00:02:35.200 --> 00:02:36.560]  要去學習
[00:02:36.560 --> 00:02:37.440]  去休息
[00:02:37.440 --> 00:02:38.760]  六年耕作
[00:02:38.760 --> 00:02:40.200]  一年休息
[00:02:40.200 --> 00:02:41.640]  不單止人
[00:02:41.640 --> 00:02:43.720]  連農地果園
[00:02:43.720 --> 00:02:45.560]  都要守安息年
[00:02:45.560 --> 00:02:49.640]  而讓土地可以得到休息
[00:02:49.640 --> 00:02:52.000]  而安息年仍然會有生長
[00:02:52.000 --> 00:02:53.840]  仍然會有出產
[00:02:53.840 --> 00:02:55.200]  神就提醒他們
[00:02:55.200 --> 00:02:57.800]  可以用來照顧貧窮人
[00:02:57.800 --> 00:03:00.240]  連生畜走瘦的需要
[00:03:00.240 --> 00:03:02.200]  都可以照顧得到
[00:03:02.200 --> 00:03:04.120]  這個是神的吩咐
[00:03:04.120 --> 00:03:05.800]  但是當我們繼續看聖經
[00:03:05.800 --> 00:03:09.800]  當以色列人最後進入了迦南地之後
[00:03:09.800 --> 00:03:11.680]  聖經就再無記載
