
[00:00:00.000 --> 00:00:09.000]  今日的福音書經課就是剛剛我們聽執事讀出這段經文
[00:00:09.000 --> 00:00:14.000]  我覺得這段聖經很有意思
[00:00:14.000 --> 00:00:23.000]  亦很配合元朗堂當年開始的時候
[00:00:23.000 --> 00:00:31.000]  稍後我會在比較後的部分跟大家分享
[00:00:31.000 --> 00:00:36.000]  這段聖經可能對很多基督徒來說非常熟悉
[00:00:36.000 --> 00:00:42.000]  這段聖經可以分為兩個部分
[00:00:42.000 --> 00:00:47.000]  第一個部分就是35到40節
[00:00:47.000 --> 00:00:52.000]  主要是雅各和約翰來到耶穌的面前
[00:00:52.000 --> 00:00:55.000]  向他求一些東西
[00:00:55.000 --> 00:01:00.000]  希望耶穌答應他
[00:01:00.000 --> 00:01:08.000]  第二個部分就是另外那十個門徒聽完之後的反應
[00:01:08.000 --> 00:01:22.000]  接著耶穌也藉這個機會教導全體十二個門徒
[00:01:22.000 --> 00:01:24.000]  作為耶穌的十二個門徒
[00:01:24.000 --> 00:01:29.000]  其中的兩個是兩兄弟
[00:01:29.000 --> 00:01:32.000]  或者他們有一個心態
[00:01:32.000 --> 00:01:38.000]  這個心態就是「耶穌,我也跟了你差不多一段時間了」
[00:01:38.000 --> 00:01:41.000]  「我也為你做了很多事」
[00:01:41.000 --> 00:01:47.000]  「應該是時候,不如你給我一些獎賞吧」
[00:01:47.000 --> 00:01:57.000]  所以很自然就想求要拿回一些回報
[00:01:57.000 --> 00:02:03.000]  耶穌就問「那你想求些甚麼呢?」
[00:02:03.000 --> 00:02:07.000]  很簡單地說「將來你掌權的時候」
[00:02:07.000 --> 00:02:09.000]  「左右兩位給我們兩兄弟就行了」
[00:02:09.000 --> 00:02:18.000]  「其餘的十個不關我們事」
[00:02:18.000 --> 00:02:22.000]  可能我們做基督徒做了一段時間
[00:02:22.000 --> 00:02:24.000]  間中有這樣的想法
[00:02:24.000 --> 00:02:26.000]  「我做了基督徒十年」
[00:02:26.000 --> 00:02:29.000]  「或者我做了堂委也十年」
[00:02:29.000 --> 00:02:32.000]  「或者我做了執事也十年」
[00:02:32.000 --> 00:02:35.000]  「應該是時候,耶穌你可以告訴我」
[00:02:35.000 --> 00:02:38.000]  「我可以有些甚麼回報」
[00:02:38.000 --> 00:02:44.000]  那我就滿足了
