
[00:00:00.000 --> 00:00:03.740]  (主題)
[00:00:03.740 --> 00:00:05.660]  各位弟兄姊妹平安神
[00:00:05.660 --> 00:00:07.740]  今天要向你講說話
[00:00:07.740 --> 00:00:11.080]  我從小就開始戴眼鏡
[00:00:11.080 --> 00:00:13.860]  而且近視越來越深
[00:00:13.860 --> 00:00:17.080]  已經有一隻是過千度的
[00:00:17.080 --> 00:00:20.600]  所以很多時候我看東西就不是很清楚
[00:00:20.600 --> 00:00:22.840]  再加上慢慢年紀大
[00:00:22.840 --> 00:00:24.780]  又加上老花
[00:00:24.780 --> 00:00:25.820]  那真是糟糕了
[00:00:25.820 --> 00:00:27.260]  有時候看聖經
[00:00:27.260 --> 00:00:29.620]  都好像懵懵地一樣
[00:00:29.620 --> 00:00:33.140]  後來我兩隻眼睛都做了白內障
[00:00:33.140 --> 00:00:36.060]  但其實看東西清不清楚
[00:00:36.060 --> 00:00:39.200]  未必是關我們的眼事
[00:00:39.200 --> 00:00:42.560]  而是我們的心有沒有明亮
[00:00:42.560 --> 00:00:44.200]  我們基督徒就說
[00:00:44.200 --> 00:00:47.520]  到底你有沒有聽到神的聲音
[00:00:47.520 --> 00:00:50.500]  按照神的心意去行
[00:00:50.500 --> 00:00:54.380]  如果你每樣事情都先求問神
[00:00:54.380 --> 00:00:56.580]  如果神真的批准
[00:00:56.580 --> 00:00:57.900]  然後你去做
[00:00:57.900 --> 00:01:00.700]  那自然就會暢通很多
[00:01:00.700 --> 00:01:01.960]  我也很承認
[00:01:01.960 --> 00:01:04.880]  在我過去服侍神的期間
[00:01:04.880 --> 00:01:08.780]  我有時候都是憑自己去做一些決定
[00:01:08.780 --> 00:01:11.460]  沒有每一件事都很狠切
[00:01:11.460 --> 00:01:14.100]  帶到神的面前去求問神
[00:01:14.100 --> 00:01:16.700]  去等候神的引導
[00:01:16.700 --> 00:01:18.440]  然後我們去行
[00:01:18.440 --> 00:01:22.660]  因此今天我很想送一段聖經給大家
[00:01:22.660 --> 00:01:28.540]  就是《路加福音》第十一章三十四到三十六節
[00:01:28.540 --> 00:01:30.040]  聖經說
[00:01:30.040 --> 00:01:34.800]  我們的眼睛如果是明亮
[00:01:34.800 --> 00:01:38.920]  我們全身就會光明
[00:01:38.920 --> 00:01:42.520]  如果我們的眼睛昏暗了
[00:01:42.520 --> 00:01:47.120]  那個黑暗是多麼的大
[00:01:47.120 --> 00:01:49.640]  原來聖經裡面提到的
[00:01:49.640 --> 00:01:51.680]  不是指我們肉體
[00:01:51.680 --> 00:01:54.060]  我們看得到的眼睛
[00:01:54.060 --> 00:02:00.960]  而是我們心靈裡面的屬靈的狀態
[00:02:00.960 --> 00:02:04.040]  我們裡面要有光
[00:02:04.040 --> 00:02:07.060]  不單止要外面有光
[00:02:07.060 --> 00:02:10.920]  更加是我們整個人的裡頭
[00:02:10.920 --> 00:02:15.860]  所以可以說是一個心靈的眼睛
[00:02:15.860 --> 00:02:20.780]  如果我們的心靈眼睛是迷糊了
[00:02:20.780 --> 00:02:22.600]  是黑暗了
[00:02:22.600 --> 00:02:27.120]  那個黑暗就真的很大了
[00:02:27.120 --> 00:02:29.520]  因此當我看到有些人
