
[00:00:00.000 --> 00:00:03.200]  頂智慧這個牌是不是很漂亮
[00:00:03.200 --> 00:00:05.200]  快要下了
[00:00:05.200 --> 00:00:09.200]  不打算拿回家 不會給你們
[00:00:09.200 --> 00:00:11.200]  但是過了一年
[00:00:11.200 --> 00:00:13.200]  我們在一個這樣的主題裡面
[00:00:13.200 --> 00:00:15.200]  都說了很多
[00:00:15.200 --> 00:00:18.200]  無論是雅各書 希伯來書
[00:00:18.200 --> 00:00:21.200]  這幾個月都在說春艾琴記
[00:00:21.200 --> 00:00:24.200]  大家怎樣去看自己的2018年
[00:00:24.200 --> 00:00:28.200]  神的光是否真的臨在你自己的生命當中
[00:00:28.200 --> 00:00:30.200]  在你家裡 在你的事業
[00:00:30.200 --> 00:00:32.200]  或者在你的學業裡面
[00:00:32.200 --> 00:00:36.200]  教會在這一年裡面經歷了很多東西
[00:00:36.200 --> 00:00:38.200]  我們記得在年初的時候
[00:00:38.200 --> 00:00:41.200]  我們組裝的團隊去了韓國
[00:00:41.200 --> 00:00:44.200]  多謝退休牧師給我們一個很好的退休
[00:00:44.200 --> 00:00:46.200]  裡面的經歷 大家都是很觸動的
[00:00:46.200 --> 00:00:49.200]  因為教會真的大了 我們發展得很快
[00:00:49.200 --> 00:00:51.200]  其實自己的團隊過去都很國亡
[00:00:51.200 --> 00:00:53.200]  但是在Camp裡面
[00:00:53.200 --> 00:00:56.200]  讓我們看到 似乎真的有一群很好的頂智慧
[00:00:56.200 --> 00:00:59.200]  我們在靈裡面的美使的支持
[00:00:59.200 --> 00:01:01.200]  大家都是很感動的
[00:01:01.200 --> 00:01:04.200]  有多少人經歷過朴全道的禱告
[00:01:04.200 --> 00:01:05.200]  有10號嗎
[00:01:05.200 --> 00:01:06.200]  給點掌聲上帝
[00:01:06.200 --> 00:01:08.200]  多謝上帝很愛我們
[00:01:08.200 --> 00:01:10.200]  朴全道身體其實很差
[00:01:10.200 --> 00:01:12.200]  近來我們正在聯絡
[00:01:12.200 --> 00:01:14.200]  他的身體好一點
[00:01:14.200 --> 00:01:15.200]  他們很愛我們
[00:01:15.200 --> 00:01:17.200]  他說如果我們真的OK
[00:01:17.200 --> 00:01:18.200]  我們都在夾時間
[00:01:18.200 --> 00:01:19.200]  希望他出現
[00:01:19.200 --> 00:01:21.200]  他再可以在我們當中服侍
[00:01:21.200 --> 00:01:25.200]  朴全道的出現令我們敬畏神
[00:01:25.200 --> 00:01:28.200]  因為聽先知就聽很多
[00:01:28.200 --> 00:01:30.200]  這麼厲害的先知
[00:01:30.200 --> 00:01:31.200]  我們都是第一次去經歷
[00:01:31.200 --> 00:01:34.200]  很多頂智慧其實在他的禱告裡面
[00:01:34.200 --> 00:01:37.200]  是經歷到很大很大的翻轉
[00:01:37.200 --> 00:01:38.200]  所以頂智慧都希望我們禱告
[00:01:38.200 --> 00:01:41.200]  上帝都將他朴全道帶到教會裡面
[00:01:41.200 --> 00:01:43.200]  我們是做青年士工起家的
[00:01:43.200 --> 00:01:46.200]  但是遇到神之心教會
[00:01:46.200 --> 00:01:49.200]  我們就發覺 嘩 原來可以做成這樣
[00:01:49.200 --> 00:01:53.200]  當然錢的支撐我們都覺得非常羨慕
[00:01:53.200 --> 00:01:56.200]  但是頂智慧我們看一下旁邊那個
[00:01:56.200 --> 00:01:58.200]  他是不是三十五歲以下
[00:01:58.200 --> 00:02:03.200]  我們開始老化了 教會
[00:02:03.200 --> 00:02:09.200]  我們真的要很迫切為青少年士工討好
[00:02:09.200 --> 00:02:10.200]  但是感恩的
[00:02:10.200 --> 00:02:12.200]  當我們在討論這個問題的時候
[00:02:12.200 --> 00:02:14.200]  我們就聽到杜一牧師傅大聲喊
[00:02:14.200 --> 00:02:16.200]  幸福小組 幸福小組
[00:02:16.200 --> 00:02:19.200]  事實上這件事早就放在我們心裡
[00:02:19.200 --> 00:02:21.200]  因為他跟我們小組的運作
[00:02:21.200 --> 00:02:23.200]  都是一個很好的結連
[00:02:23.200 --> 00:02:27.200]  不過幸福小組是全間教會推動的
[00:02:27.200 --> 00:02:29.200]  不論你是什麼職位
[00:02:29.200 --> 00:02:30.200]  你的小組什麼都好
[00:02:30.200 --> 00:02:33.200]  你在那個階段都要做兩晚
[00:02:33.200 --> 00:02:35.200]  有些位置我們都是在調節的
[00:02:35.200 --> 00:02:37.200]  簡單來說就是
[00:02:37.200 --> 00:02:39.200]  如果我們全盤抄完
[00:02:39.200 --> 00:02:41.200]  我們會叫幸福小組
