
[00:00:00.000 --> 00:00:11.000]  使命宣言,我相信對於現今的社會應該不是太過陌生
[00:00:11.000 --> 00:00:20.000]  特別是這些跨國的大企業,他們對於使命宣言是非常非常之重視的
[00:00:20.000 --> 00:00:32.000]  又給幾個機構企業的使命宣言給大家猜猜,看看大家猜不猜得到是什麼公司什麼機構
[00:00:32.000 --> 00:00:40.000]  第一個,讓世界更加歡樂,迪士尼,沒錯了,年輕人應該知道的
[00:00:40.000 --> 00:00:46.000]  第二個,讓每張桌子和每個家庭都有一台電腦
[00:00:46.000 --> 00:00:52.000]  沒理由不知道吧,微軟,是吧
[00:00:52.000 --> 00:00:56.000]  不過我告訴你,這是80年代的說法
[00:00:56.000 --> 00:01:01.000]  不過大家可能不知道,我覺得他是抄回來的
[00:01:01.000 --> 00:01:07.000]  因為在120年代美國的AT&T,他們的使命宣言就是說
[00:01:07.000 --> 00:01:13.000]  讓美國的每個家庭和每間辦公室都安上電話
[00:01:13.000 --> 00:01:18.000]  是不是也有九成相似呢,對不對
[00:01:18.000 --> 00:01:24.000]  好了,接著,將靈感和創作帶給世界上每個運動員
[00:01:24.000 --> 00:01:30.000]  Nike,我不是要賣告白,不要誤會
[00:01:30.000 --> 00:01:37.000]  好,最後那個,保障生命財產免受火災或其他災難侵害
[00:01:37.000 --> 00:01:47.000]  幾個的唐崇拜你都猜不到,香港消防署
[00:01:47.000 --> 00:01:59.000]  使命宣言的確對於每一個企業或機構都有很大的影響
[00:01:59.000 --> 00:02:04.000]  所以彼得·德魯克基金會,Peter Drucker Foundation
[00:02:04.000 --> 00:02:11.000]  他們的主席,佛蘭西斯女士就曾經說過一番這樣的說話
[00:02:11.000 --> 00:02:16.000]  一個強而有力的組織必須要靠使命驅動
[00:02:16.000 --> 00:02:22.000]  企業的使命不單只是回答企業在做什麼
[00:02:22.000 --> 00:02:29.000]  更加重要的是要告訴別人為什麼要這樣做
[00:02:29.000 --> 00:02:34.000]  這是企業的終極意義和目標
[00:02:34.000 --> 00:02:38.000]  崇高明確,富有感召力的使命
[00:02:38.000 --> 00:02:42.000]  不單止可以為企業指明方向
[00:02:42.000 --> 00:02:49.000]  而且可以使得企業的每一個成員都明確了解工作真正的意義
[00:02:49.000 --> 00:02:55.000]  激發出內心深處的動機,是不是很重要
[00:02:55.000 --> 00:02:59.000]  所以不單止是企業,不單止是機構
[00:02:59.000 --> 00:03:08.000]  使命對於教會,甚至對於我們個人同樣非常重要
[00:03:08.000 --> 00:03:14.000]  我今天就用了使命人生這個題目和大家分享
[00:03:14.000 --> 00:03:22.000]  我們試試看,保羅其實已經去到整卷羅馬書差不多結束的時候
[00:03:22.000 --> 00:03:30.000]  甚至他已經講完了基督徒生活的一些指引,開始做結論的時候
[00:03:30.000 --> 00:03:39.000]  保羅去到這個階段,究竟對我們還有什麼教導呢?
[00:03:39.000 --> 00:03:46.000]  所以我今天就選了羅馬書15章14至21節和大家一起分享
[00:03:46.000 --> 00:03:49.000]  我們先來讀一讀這段聖經
[00:03:49.000 --> 00:03:55.000]  預備起,弟兄們,我自己也深信你們是滿有良善
[00:03:55.000 --> 00:03:59.000]  充足了諸般的知識,也能彼此勸誡
[00:03:59.000 --> 00:04:05.000]  但我稍微放膽寫信給你們,是要提醒你們的既成
