
[00:00:00.000 --> 00:00:13.800]  當時巴勒斯坦地圖大概是公元40年左右
[00:00:13.800 --> 00:00:23.480]  剛纔讀的經文在19-30節除了普天下之外還有什麼地方
[00:00:23.480 --> 00:00:34.360]  有耶路撒冷看到嗎 耶路撒冷 跟着耶路撒冷上到岸邊那裏有個地方叫肥尼基
[00:00:34.360 --> 00:00:40.840]  剛纔19和20節裏面講過斯提反這個信徒被殉道之後
[00:00:40.840 --> 00:00:47.560]  因爲基督徒被逼迫他們就四散由肥尼基現在叫西頓港的地方
[00:00:47.560 --> 00:00:51.800]  他們就四散去了什麼地方 其實四散去了很多地方
[00:00:51.800 --> 00:01:00.240]  但有一羣上到600多公里的安提沃是敘利亞當時的首府
[00:01:00.240 --> 00:01:03.800]  按照當時羅馬帝國除了羅馬之外
[00:01:03.800 --> 00:01:08.600]  埃及的亞歷山大和安提沃是最大最出名的城市
[00:01:08.600 --> 00:01:18.120]  那裏有50萬人的 安提沃之外下面有個島叫塞浦路斯
[00:01:18.120 --> 00:01:23.280]  他還說這裏有些塞浦路斯去的猶太人
[00:01:23.280 --> 00:01:29.200]  他們和古利奈 知道古利奈在哪裏嗎
[00:01:29.200 --> 00:01:34.080]  在下面 耶路撒冷下面 北非的地方
[00:01:34.080 --> 00:01:37.960]  地圖未必能看到 看到了嗎 這麼厲害
[00:01:37.960 --> 00:01:47.800]  所以古利奈上去 你知道當時猶太人四散到歐洲 非洲 中亞的地方
[00:01:47.800 --> 00:01:56.160]  今天這裏所說到 耶路撒冷教會聽到四散周圍的猶太信徒
[00:01:56.160 --> 00:01:59.360]  去到安提沃這個外邦人地方傳呼音
[00:01:59.360 --> 00:02:02.720]  接着他們怎麼樣 他們很多人信主
[00:02:02.720 --> 00:02:09.000]  你留意第21節 神的手和他們同在 然後很多人信主
[00:02:09.000 --> 00:02:13.800]  22節 耶路撒冷的教會聽到這個風聲
[00:02:13.800 --> 00:02:21.800]  就派巴拿巴這個信徒上去安提沃 行四百英里
[00:02:21.800 --> 00:02:26.040]  過了一段日子 這裏很特別
[00:02:26.040 --> 00:02:29.880]  聖經在第23節 我們一起讀23節 1 2 3
[00:02:29.880 --> 00:02:32.960]  行久靠主 很特別
[00:02:32.960 --> 00:02:35.200]  這個巴拿巴不知道戴了什麼眼鏡
[00:02:35.200 --> 00:02:38.520]  他去看見神的恩典
[00:02:38.520 --> 00:02:41.960]  所以他勸那些人 教導那些人行久靠主
[00:02:41.960 --> 00:02:46.000]  然後他還去了大掃 知道大掃在哪嗎
[00:02:46.000 --> 00:02:50.920]  我知道掃管墳有個小掃村
[00:02:50.920 --> 00:02:53.440]  有大掃小掃知道什麼是掃管墳嗎
[00:02:53.440 --> 00:02:57.320]  不知道吧 阿娃娃住在小掃
[00:02:57.320 --> 00:03:00.560]  大掃在這裏 基利街有個大掃 就是保羅的家鄉
[00:03:00.560 --> 00:03:06.640]  他上去找了保羅 招聚了去安提沃這個教會
[00:03:06.640 --> 00:03:08.440]  爲什麼找保羅
[00:03:08.440 --> 00:03:12.080]  因爲保羅蒙召的時候 巴拿巴都接待他
[00:03:12.080 --> 00:03:15.080]  知道神呼召保羅做外邦人的信徒
[00:03:15.080 --> 00:03:20.280]  所以這個圖畫就是整個小能傳一個很重要的圖畫
[00:03:20.280 --> 00:03:22.680]  因爲除了耶路撒冷教會
[00:03:22.680 --> 00:03:27.600]  聖經來到這裏就稱另外一個地區做教會
[00:03:27.600 --> 00:03:30.720]  很特別 在撒瑪尼亞
[00:03:30.720 --> 00:03:34.120]  都沒有一個地方稱那裏做什麼什麼教會
[00:03:34.120 --> 00:03:37.000]  整個小能傳 我們講過 它最重要就是
[00:03:37.000 --> 00:03:39.720]  福音怎麼臨到外邦人
[00:03:39.720 --> 00:03:42.960]  而安提沃教會在十一章二十六節裏說
[00:03:42.960 --> 00:03:48.000]  門徒稱爲基督徒是由安提沃開始
[00:03:48.000 --> 00:03:50.760]  所以安提沃是一個很有特別地位
[00:03:50.760 --> 00:03:55.200]  在這裏稱爲一個教會的意思
[00:03:55.200 --> 00:03:58.120]  好 那個地圖看完了
[00:03:58.120 --> 00:04:01.760]  那然後測驗了
[00:04:01.760 --> 00:04:05.600]  由耶路撒冷到安提沃有四百英里
[00:04:05.600 --> 00:04:12.760]  由安提沃到大掃有一百三十英里
[00:04:12.760 --> 00:04:15.480]  大概知道距離
[00:04:15.480 --> 00:04:19.600]  今天我想大家看到一個屬靈的羣體在教會里面
[00:04:19.600 --> 00:04:21.080]  福音怎麼講傳
[00:04:21.080 --> 00:04:24.920]  由第八章 施厲反死之後
[00:04:24.920 --> 00:04:28.400]  到這裏十一章尾
[00:04:28.400 --> 00:04:31.040]  就是看到福音怎麼一步一步地
[00:04:31.040 --> 00:04:33.800]  將福音帶給外邦人
[00:04:33.800 --> 00:04:36.160]  由肥厲這個執事
[00:04:36.160 --> 00:04:38.680]  由保羅這個掃羅
[00:04:38.680 --> 00:04:41.160]  這個逼不教會的人信主
[00:04:41.160 --> 00:04:42.360]  又去到第十章
[00:04:42.360 --> 00:04:44.320]  神特別在二章
[00:04:44.320 --> 00:04:46.000]  叫彼得知道
[00:04:46.000 --> 00:04:49.680]  神要開始改變他們的觀念
[00:04:49.680 --> 00:04:55.120]  以前神叫猶太人和外邦人有明顯的區別
[00:04:55.120 --> 00:04:57.120]  今天上帝說
[00:04:57.120 --> 00:05:00.720]  福音要改變外邦人都可以歸主
[00:05:00.720 --> 00:05:05.960]  所以上次我們看到第十章尾和十一章頭
[00:05:05.960 --> 00:05:09.560]  耶路撒冷的教會都很驚訝
[00:05:09.560 --> 00:05:10.760]  所有猶太人都驚訝
