
[00:00:00.000 --> 00:00:04.220]  主耶穌我們感謝祢讓我們在祢面前一起去敬拜
[00:00:04.220 --> 00:00:07.300]  讓我們安靜在祢面前去等候祢
[00:00:07.300 --> 00:00:09.700]  祢親自對我們講說話
[00:00:09.700 --> 00:00:12.660]  讓我們在敬拜裏面真是和主去相遇
[00:00:12.660 --> 00:00:14.980]  聖靈在我們中間隨意的運行
[00:00:14.980 --> 00:00:16.960]  我們將整個敬拜獻情給祢
[00:00:16.960 --> 00:00:19.900]  願意主耶穌祢被高舉、被尊崇
[00:00:19.900 --> 00:00:21.100]  我們仰望祢
[00:00:21.100 --> 00:00:22.880]  聽我們祈禱奉主耶穌的名及
[00:00:22.880 --> 00:00:24.180]  阿門
[00:00:26.580 --> 00:00:30.360]  早段時間在母親節講了一些
[00:00:30.360 --> 00:00:33.320]  沒有名字或者不顯眼的一些姐妹
[00:00:33.320 --> 00:00:36.760]  一些小人物、一些大義兒
[00:00:36.760 --> 00:00:38.560]  來到《路加方第八章》
[00:00:38.560 --> 00:00:40.080]  跟著這一段經文
[00:00:40.080 --> 00:00:42.820]  八章二十二至五十六節
[00:00:42.820 --> 00:00:46.740]  其實一連戲裏面出現了四個神蹟
[00:00:46.740 --> 00:00:49.520]  其實四個神蹟都是我們很熟悉的神蹟
[00:00:49.520 --> 00:00:52.320]  裏面講到耶穌平靜風浪
[00:00:52.320 --> 00:00:55.820]  耶穌趕鬼、鬼入蛛群
[00:00:55.820 --> 00:00:59.340]  亦有耶穌醫治十二年血藥的婦人
[00:00:59.340 --> 00:01:01.560]  耶穌洗艾路的女兒復活
[00:01:01.560 --> 00:01:03.500]  四個神蹟都是我們很熟悉的
[00:01:03.500 --> 00:01:07.600]  今天我們會一連戲看完這幾個神蹟
[00:01:07.600 --> 00:01:10.040]  其實為何一連戲看完這幾個神蹟呢?
[00:01:10.040 --> 00:01:13.160]  在九章第一、第二節就這樣講
[00:01:13.160 --> 00:01:14.740]  耶穌叫齊了十二個門徒
[00:01:14.740 --> 00:01:16.260]  給他們能力、權柄
[00:01:16.260 --> 00:01:17.540]  制服一切的鬼
[00:01:17.540 --> 00:01:18.840]  醫治各樣的病
[00:01:18.840 --> 00:01:21.640]  又差遣他們去宣傳神國的道
[00:01:21.640 --> 00:01:23.160]  醫治病人
[00:01:23.160 --> 00:01:24.620]  其實在第九章開始的時候
[00:01:24.620 --> 00:01:25.860]  就是一個門徒訓練
[00:01:25.860 --> 00:01:27.440]  耶穌差遣門徒出去
[00:01:27.440 --> 00:01:32.440]  做一些宣教的工作、報道的工作
[00:01:32.440 --> 00:01:35.480]  其實耶穌賦予門徒能力、醫病趕鬼
[00:01:35.480 --> 00:01:38.120]  但當耶穌給門徒能力之先
[00:01:38.120 --> 00:01:40.420]  其實八章二十二至五十六節裏面
[00:01:40.420 --> 00:01:41.840]  就是耶穌親自示範
[00:01:41.840 --> 00:01:44.260]  怎樣去傳導醫病趕鬼
[00:01:44.260 --> 00:01:46.960]  所以今天我們會看完這幾個神蹟
[00:01:46.960 --> 00:01:48.300]  因為時間關係
[00:01:48.300 --> 00:01:51.060]  蝙蝠所限我就不會跟大家讀完四個神蹟
[00:01:51.060 --> 00:01:52.260]  我們讀第一個神蹟
[00:01:52.260 --> 00:01:53.980]  我們一起去讀一下這段經文
[00:01:53.980 --> 00:01:55.780]  路加方第八章二十二節
[00:01:55.780 --> 00:01:56.980]  我們一起讀這段經文
[00:01:56.980 --> 00:01:57.980]  預備起
[00:02:23.980 --> 00:02:27.860]  「黃風大浪 風浪就指著平靜了
[00:02:27.860 --> 00:02:31.960]  耶穌對他們說 你們的信心在哪裡呢
[00:02:31.960 --> 00:02:34.460]  他們又懼怕又驚奇
[00:02:34.460 --> 00:02:37.140]  彼此說 這到底是誰
[00:02:37.140 --> 00:02:42.940]  他吩咐風和水 連風和水也聽從了他」
[00:02:42.940 --> 00:02:45.140]  「這到底是誰」
[00:02:45.140 --> 00:02:47.700]  他吩咐風和水
[00:02:47.700 --> 00:02:51.220]  連風和水都聽從他
[00:02:51.220 --> 00:02:54.300]  這個門徒的反應就是問這個是誰
[00:02:54.300 --> 00:02:55.700]  這到底是誰
[00:02:55.700 --> 00:02:57.020]  他吩咐風和水
[00:02:57.020 --> 00:03:02.780]  連風和水竟然都聽從他
[00:03:02.780 --> 00:03:05.500]  其實剛才開始讀這段經文的時候
[00:03:05.500 --> 00:03:06.700]  其實在舊約聖經裏面
[00:03:06.700 --> 00:03:08.900]  很多時候講到風浪
[00:03:08.900 --> 00:03:11.460]  就是神自己去平靜風浪
[00:03:11.460 --> 00:03:13.340]  特別講到神去駕馭風浪的時候
[00:03:13.340 --> 00:03:17.260]  其實是在表達神那種獨有的主權和地位
[00:03:17.260 --> 00:03:18.100]  在舊約聖經裏面
[00:03:18.100 --> 00:03:21.180]  很多時候講到海是一個邪惡勢力
[00:03:21.180 --> 00:03:24.580]  所以神在裏面去彰顯祂的能力的時候
[00:03:24.580 --> 00:03:26.020]  去駕馭那些風浪
[00:03:26.020 --> 00:03:28.980]  是時時都有這樣的描述
[00:03:28.980 --> 00:03:30.460]  舊約聖經裏面也講到
[00:03:30.460 --> 00:03:34.540]  特別講到形容神那種沉默的時候
[00:03:34.540 --> 00:03:36.260]  很多時候都用睡覺來形容
[00:03:36.260 --> 00:03:39.940]  即是神睡著的覺好像表示那種沉默
[00:03:39.940 --> 00:03:41.300]  但是當神睡醒的時候
[00:03:41.300 --> 00:03:44.660]  就表示祂那種的作為在裏面彰顯能力
[00:03:44.660 --> 00:03:47.020]  所以我們很熟悉的《詩篇121篇》
[00:03:47.020 --> 00:03:48.860]  裏面講到神的保護的時候
[00:03:48.860 --> 00:03:52.180]  就講到神不會睡覺、不會打喊
[00:03:52.180 --> 00:03:55.540]  所以神就是這樣全天候去保護我們
[00:03:55.540 --> 00:03:56.780]  經文開始讀的時候
[00:03:56.780 --> 00:03:58.660]  講到耶穌叫門徒一起上船
[00:03:58.660 --> 00:04:01.580]  然後開船去到湖的另外一邊
[00:04:01.580 --> 00:04:04.540]  徵行的時候耶穌睡著了
[00:04:04.540 --> 00:04:07.100]  其實描述是開頭講耶穌睡著
[00:04:07.100 --> 00:04:08.900]  忽然起了暴風
[00:04:08.900 --> 00:04:10.060]  然後船滿了水
[00:04:10.060 --> 00:04:10.620]  很危險
[00:04:10.620 --> 00:04:13.340]  差不多船要沉的狀態裏面
[00:04:13.340 --> 00:04:14.580]  門徒來叫醒祂
[00:04:14.580 --> 00:04:17.700]  就說夫子夫子我們命都沒有了
[00:04:17.700 --> 00:04:20.940]  耶穌醒了就叱咤狂風大浪
[00:04:20.940 --> 00:04:22.860]  就好像我剛才講的舊約裏面
[00:04:22.860 --> 00:04:27.020]  猶太傳統裏面講到那種的描述
[00:04:27.020 --> 00:04:29.660]  就是耶穌睡覺然後叫醒祂
[00:04:29.660 --> 00:04:31.900]  然後耶穌就醒了的時候叱咤風浪
[00:04:31.900 --> 00:04:33.620]  風浪指著平靜
[00:04:33.620 --> 00:04:36.500]  耶穌對門徒說你們的信心在哪裏呢?
[00:04:36.500 --> 00:04:38.500]  他們又懼怕又稀奇
[00:04:38.500 --> 00:04:41.380]  懼怕稀奇就是講到他們對神那種的
[00:04:41.380 --> 00:04:43.900]  作為那種的影響
[00:04:43.900 --> 00:04:45.340]  見到神那種的作為
[00:04:45.340 --> 00:04:46.820]  又懼怕又稀奇
[00:04:46.820 --> 00:04:51.140]  在裏面那種的表達
[00:04:51.140 --> 00:04:53.700]  英經文講突然間
[00:04:53.700 --> 00:04:55.740]  忽然起了大風
[00:04:55.740 --> 00:04:57.980]  其實從來我們不知道風浪何時來到
[00:04:57.980 --> 00:05:00.540]  我們也沒有心理準備知道風浪何時來
[00:05:00.540 --> 00:05:02.540]  但總言之風浪來的時候就來了
