
[00:00:00.000 --> 00:00:03.000]  首先會問大家兩個問題
[00:00:03.000 --> 00:00:06.000]  請你舉手 不用太高
[00:00:06.000 --> 00:00:07.000]  舉一舉就好
[00:00:07.000 --> 00:00:09.000]  如果你的手不方便舉起
[00:00:09.000 --> 00:00:11.000]  伸手指都可以
[00:00:11.000 --> 00:00:15.000]  在座當中誰是基督徒?
[00:00:15.000 --> 00:00:21.000]  誰是耶穌的門徒?
[00:00:21.000 --> 00:00:25.000]  OK 謝謝
[00:00:25.000 --> 00:00:28.000]  如果不是舉兩次手
[00:00:28.000 --> 00:00:32.000]  一定是對門徒這個字有些疑問
[00:00:32.000 --> 00:00:34.000]  是什麼意思呢?
[00:00:34.000 --> 00:00:35.000]  因為通常我們說
[00:00:35.000 --> 00:00:37.000]  耶穌的門徒可能指那時候
[00:00:37.000 --> 00:00:39.000]  才是跟耶穌的人
[00:00:39.000 --> 00:00:41.000]  那我們今天
[00:00:41.000 --> 00:00:42.000]  我們是不是耶穌的門徒呢?
[00:00:42.000 --> 00:00:46.000]  其實我們就比較少用這個名詞
[00:00:46.000 --> 00:00:50.000]  如果你說看士徒行傳第十一章二十六節
[00:00:50.000 --> 00:00:52.000]  這裡是很清楚的說到
[00:00:52.000 --> 00:00:54.000]  門徒稱為基督徒
[00:00:54.000 --> 00:00:57.000]  是從安提阿開始
[00:00:57.000 --> 00:01:01.000]  安提阿是今天在敘利亞的一個城市
[00:01:01.000 --> 00:01:03.000]  那時候除了耶路撒冷
[00:01:03.000 --> 00:01:06.000]  安提阿的基督徒是最多的
[00:01:06.000 --> 00:01:10.000]  這裡說是最先開始
[00:01:10.000 --> 00:01:14.000]  那些跟耶穌或信耶穌的人
[00:01:14.000 --> 00:01:16.000]  是叫做門徒的
[00:01:16.000 --> 00:01:18.000]  在那個地方開始
[00:01:18.000 --> 00:01:21.000]  才改為叫做基督徒
[00:01:21.000 --> 00:01:24.000]  其實門徒就是一群
[00:01:24.000 --> 00:01:28.000]  跟著老師學東西的學生
[00:01:28.000 --> 00:01:31.000]  或者徒弟跟著師父學東西
[00:01:31.000 --> 00:01:33.000]  那些叫做門徒
[00:01:33.000 --> 00:01:36.000]  耶穌的門徒就是基督徒
[00:01:36.000 --> 00:01:39.000]  基督徒就是耶穌的門徒
[00:01:39.000 --> 00:01:43.000]  雖然我們不是用門徒這個字
[00:01:43.000 --> 00:01:46.000]  沒有使用這個字來自稱
[00:01:46.000 --> 00:01:49.000]  但是還是用門徒訓練這個字
[00:01:49.000 --> 00:01:51.000]  教會很多時候都說
[00:01:51.000 --> 00:01:55.000]  去跟從耶穌 參加門徒訓練班
[00:01:55.000 --> 00:01:59.000]  其實就是學習怎樣去做耶穌的門徒
[00:01:59.000 --> 00:02:01.000]  學習怎樣去跟從耶穌
[00:02:01.000 --> 00:02:05.000]  所以根據福音書的記載
[00:02:05.000 --> 00:02:06.000]  耶穌復活之後
[00:02:06.000 --> 00:02:09.000]  有四十天的時間
[00:02:09.000 --> 00:02:11.000]  向門徒顯現
[00:02:11.000 --> 00:02:15.000]  今天離開復活節幾多天?
[00:02:15.000 --> 00:02:18.000]  我想只有兩個星期
[00:02:18.000 --> 00:02:20.000]  好像時間過得很快
[00:02:20.000 --> 00:02:22.000]  不夠四十天
[00:02:22.000 --> 00:02:24.000]  所以我們可以想像
[00:02:24.000 --> 00:02:26.000]  耶穌在這段時間裡
[00:02:26.000 --> 00:02:29.000]  在當時用不同的機會
[00:02:29.000 --> 00:02:31.000]  向他的門徒顯現
