
[00:00:00.000 --> 00:00:03.000]  記得在今年的1月1日
[00:00:03.000 --> 00:00:06.000]  我們的主餐崇拜裏面
[00:00:06.000 --> 00:00:09.000]  我就使用臨前十三章
[00:00:09.000 --> 00:00:11.000]  一到三節的經文
[00:00:11.000 --> 00:00:13.000]  彼此的勉勵
[00:00:13.000 --> 00:00:15.000]  我們需要有愛
[00:00:15.000 --> 00:00:17.000]  如果沒有愛
[00:00:17.000 --> 00:00:20.000]  教會怎樣叻都沒有用
[00:00:20.000 --> 00:00:23.000]  因為上帝是喜歡我們屬主的人
[00:00:23.000 --> 00:00:25.000]  是彼此相愛
[00:00:25.000 --> 00:00:29.000]  亦都盼望教會中間的氛圍
[00:00:29.000 --> 00:00:31.000]  都是充滿愛的
[00:00:31.000 --> 00:00:33.000]  所以這個都是
[00:00:33.000 --> 00:00:34.000]  在年初的時候
[00:00:34.000 --> 00:00:37.000]  我和各位弟兄姊妹彼此的勉勵
[00:00:37.000 --> 00:00:40.000]  這個亦都是我最大的心聲
[00:00:40.000 --> 00:00:45.000]  在二月和三月的主餐的主日
[00:00:45.000 --> 00:00:47.000]  我就轉了一個重點
[00:00:47.000 --> 00:00:51.000]  將重點放在我們教會的主題方面
[00:00:51.000 --> 00:00:54.000]  是講到健康教會的建立
[00:00:54.000 --> 00:00:57.000]  而健康教會的建立是怎樣開始呢
[00:00:57.000 --> 00:01:01.000]  我們怎樣去認定一些健康的特徵
[00:01:01.000 --> 00:01:02.000]  特質呢
[00:01:02.000 --> 00:01:05.000]  以致我們可以朝著這個方向去努力
[00:01:05.000 --> 00:01:08.000]  然後建立健康的教會
[00:01:08.000 --> 00:01:10.000]  如果大家還記得的
[00:01:10.000 --> 00:01:12.000]  在這兩次的講道裏面
[00:01:12.000 --> 00:01:16.000]  總的方向就是仰望我主之道
[00:01:16.000 --> 00:01:18.000]  原來是講到我們信徒
[00:01:18.000 --> 00:01:19.000]  每一個屬主的人
[00:01:19.000 --> 00:01:23.000]  怎樣在心靈裏面去仰望上帝
[00:01:23.000 --> 00:01:24.000]  很重要
[00:01:24.000 --> 00:01:26.000]  切勿遠離神
[00:01:26.000 --> 00:01:28.000]  然後積極的呢
[00:01:28.000 --> 00:01:30.000]  是總要親近神
[00:01:30.000 --> 00:01:32.000]  我相信大家都記得
[00:01:32.000 --> 00:01:35.000]  這個是一個很重要的層面
[00:01:35.000 --> 00:01:37.000]  當我們說要健康的時候
[00:01:37.000 --> 00:01:40.000]  是先從每一位弟兄姊妹
[00:01:40.000 --> 00:01:41.000]  我再講
[00:01:41.000 --> 00:01:43.000]  是每一位弟兄姊妹
[00:01:43.000 --> 00:01:46.000]  要有健康的生命
[00:01:46.000 --> 00:01:48.000]  健康的靈明
[00:01:48.000 --> 00:01:52.000]  而健康是從神人之間的關係開始
[00:01:52.000 --> 00:01:54.000]  所以我們要學習一個功課
[00:01:54.000 --> 00:01:55.000]  彼此的勉勵
[00:01:55.000 --> 00:01:57.000]  不要遠離神
[00:01:57.000 --> 00:01:58.000]  但是更加的重要
[00:01:58.000 --> 00:02:02.000]  我們要去總要親近神
[00:02:02.000 --> 00:02:03.000]  我也都記得
[00:02:03.000 --> 00:02:04.000]  我舉了兩個的例子
[00:02:04.000 --> 00:02:06.000]  一個就是我們回來
[00:02:06.000 --> 00:02:08.000]  集體的去親近神
[00:02:08.000 --> 00:02:11.000]  我們現在就是一齊集體的
[00:02:11.000 --> 00:02:13.000]  奉主的命去親近神
[00:02:13.000 --> 00:02:15.000]  但是也都彼此勉勵
[00:02:15.000 --> 00:02:17.000]  我們個別的時候
[00:02:17.000 --> 00:02:21.000]  要有恆常的去靈修親近神
[00:02:21.000 --> 00:02:24.000]  這個都是很重要的事情
[00:02:24.000 --> 00:02:27.000]  所以這個就是過去這幾個月
[00:02:27.000 --> 00:02:28.000]  在主餐主人的時候
[00:02:28.000 --> 00:02:32.000]  我和弟兄姊妹分享訊息的焦點
[00:02:32.000 --> 00:02:33.000]  好了
[00:02:33.000 --> 00:02:34.000]  當我們靜下來想回
[00:02:34.000 --> 00:02:38.000]  這個仰望層面的意思的時候
[00:02:38.000 --> 00:02:40.000]  我覺得這個可以說
[00:02:40.000 --> 00:02:45.000]  是從一個空間的觀念裏面去了解
[00:02:45.000 --> 00:02:46.000]  親近神
[00:02:46.000 --> 00:02:48.000]  不要遠離神
[00:02:48.000 --> 00:02:50.000]  是一個空間的向導
[00:02:50.000 --> 00:02:52.000]  是講到我們這個微小的人
[00:02:52.000 --> 00:02:54.000]  怎樣在這個空間裏面
[00:02:54.000 --> 00:02:56.000]  我們怎樣不要遠離神
[00:02:56.000 --> 00:02:58.000]  更加是朝向神
[00:02:58.000 --> 00:02:59.000]  是不是
[00:02:59.000 --> 00:03:02.000]  我們要操練這件事
[00:03:02.000 --> 00:03:04.000]  我們要在不同的空間
[00:03:04.000 --> 00:03:05.000]  除了靈修之外
[00:03:05.000 --> 00:03:06.000]  集體敬拜之外
[00:03:06.000 --> 00:03:08.000]  我們要在不同的任何的空間
[00:03:08.000 --> 00:03:09.000]  走在路上
[00:03:09.000 --> 00:03:10.000]  坐在地鐵上
[00:03:10.000 --> 00:03:12.000]  在家裏或者在工作崗位上
[00:03:12.000 --> 00:03:15.000]  其實我們都要親近神
[00:03:15.000 --> 00:03:17.000]  其實在任何的空間裏面
[00:03:17.000 --> 00:03:18.000]  我們都要親近神
[00:03:18.000 --> 00:03:21.000]  這個我相信我們可以了解得到
[00:03:21.000 --> 00:03:22.000]  好了
[00:03:22.000 --> 00:03:23.000]  在空間上面
[00:03:23.000 --> 00:03:26.000]  我們要有健康的特徵
[00:03:26.000 --> 00:03:28.000]  就是我們要親近神
[00:03:28.000 --> 00:03:30.000]  但是如果我們鑽念去一想
[00:03:30.000 --> 00:03:33.000]  我們不從空間去想健康的時候
[00:03:33.000 --> 00:03:36.000]  我們從一個時間的概念去想的時候
[00:03:36.000 --> 00:03:39.000]  我們應該怎樣有健康的表達呢
[00:03:39.000 --> 00:03:41.000]  如果說我從今天到明天
[00:03:41.000 --> 00:03:43.000]  到下個月到下一年
[00:03:43.000 --> 00:03:45.000]  一個時間的概念裏面
[00:03:45.000 --> 00:03:47.000]  在一個時間的長河裏面
[00:03:47.000 --> 00:03:51.000]  我們的生命應該有甚麼特質
[00:03:51.000 --> 00:03:53.000]  顯得我們健康的呢
[00:03:53.000 --> 00:03:54.000]  靈姐妹
[00:03:54.000 --> 00:04:00.000]  我覺得就是今天的題目所指出來
[00:04:00.000 --> 00:04:02.000]  心意更新
[00:04:02.000 --> 00:04:04.000]  明白神智
[00:04:04.000 --> 00:04:08.000]  就是將我們放在一個時間的歷程裏面
[00:04:08.000 --> 00:04:10.000]  我們要學的功課
[00:04:10.000 --> 00:04:12.000]  我們的生命的特質
[00:04:12.000 --> 00:04:14.000]  就是需要能夠怎樣
[00:04:14.000 --> 00:04:16.000]  不斷的更新
[00:04:16.000 --> 00:04:17.000]  為甚麼
[00:04:17.000 --> 00:04:20.000]  配合上帝在我們身上的心意
[00:04:20.000 --> 00:04:22.000]  很重要的
[00:04:22.000 --> 00:04:25.000]  我們是在走永生的道路
[00:04:25.000 --> 00:04:28.000]  我們在走的是一個使命承擔的道路
[00:04:28.000 --> 00:04:30.000]  是一個見證耶穌基督的道路
[00:04:30.000 --> 00:04:32.000]  是一個為主而活的道路
[00:04:32.000 --> 00:04:33.000]  不只是今天
[00:04:33.000 --> 00:04:35.000]  是明天後天一條漫長的路
[00:04:35.000 --> 00:04:37.000]  只要我們還在地上的時候
[00:04:37.000 --> 00:04:38.000]  這條漫長的路
[00:04:38.000 --> 00:04:41.000]  就是主要放我們在地上的一個很重要的目的
[00:04:41.000 --> 00:04:44.000]  而我們相信主在我們每一個人身上
[00:04:44.000 --> 00:04:47.000]  也都包括在我們教會身上
[00:04:47.000 --> 00:04:49.000]  是有祂的旨意
[00:04:49.000 --> 00:04:51.000]  那我們怎樣去明白祂呢
[00:04:51.000 --> 00:04:53.000]  其中一個很重要的做法
[00:04:53.000 --> 00:04:56.000]  就是我們需要不斷的更新
[00:04:56.000 --> 00:04:57.000]  不斷的更新
[00:04:57.000 --> 00:05:00.000]  我們需要不斷的來到去
[00:05:00.000 --> 00:05:01.000]  在不同的歷程裏面
[00:05:01.000 --> 00:05:04.000]  階段裏面去明白神
