
[00:00:00.000 --> 00:00:02.400]  各位弟兄姊妹,大家平安
[00:00:02.400 --> 00:00:05.200]  今天要跟大家分享的題目是
[00:00:05.200 --> 00:00:10.000]  真實的同心合意
[00:00:10.000 --> 00:00:13.200]  我們都知道我們現在生活的在這個世界上面
[00:00:13.200 --> 00:00:15.200]  充滿了各樣的欺騙
[00:00:15.200 --> 00:00:17.500]  充滿了各種謊言
[00:00:17.500 --> 00:00:19.100]  打開電視、打開媒體
[00:00:19.100 --> 00:00:24.600]  我們常常看到的就是一些假新聞、假消息、假廣告
[00:00:24.600 --> 00:00:28.900]  我們活在一個欺騙的文化和世界當中
[00:00:28.900 --> 00:00:34.600]  好像這個欺騙的文化成為我們生活中的一部分
[00:00:34.600 --> 00:00:36.800]  每次我們收到一個LINE的消息
[00:00:36.800 --> 00:00:38.400]  或者是WeChat的消息
[00:00:38.400 --> 00:00:40.800]  我們心裡面第一個都要想
[00:00:40.800 --> 00:00:42.700]  這是不是真的,對不對
[00:00:42.700 --> 00:00:44.700]  因為看到標題很聳動
[00:00:44.700 --> 00:00:47.300]  就會想說這是不是真的
[00:00:47.300 --> 00:00:49.500]  我想問在座的各位
[00:00:49.500 --> 00:00:54.100]  有誰沒有接過詐騙集團的電話,有沒有
[00:00:54.100 --> 00:01:00.300]  果然我們每一個人都受到詐騙的騷擾
[00:01:00.300 --> 00:01:04.700]  詐騙集團他們的成員都要受過訓練
[00:01:04.700 --> 00:01:07.000]  其中有一項他們要團隊合作
[00:01:07.000 --> 00:01:08.600]  他們要同心合意
[00:01:08.600 --> 00:01:11.400]  所以常常為了要取信受害人
[00:01:11.400 --> 00:01:13.200]  他們必須要演戲
[00:01:13.200 --> 00:01:16.000]  要創造一個擬真的情節
[00:01:16.000 --> 00:01:17.600]  要互相掩飾
[00:01:17.600 --> 00:01:19.000]  那我們不小心
[00:01:19.000 --> 00:01:22.000]  我們就很容易因為貪心
[00:01:22.000 --> 00:01:23.600]  或者是受引誘
[00:01:23.600 --> 00:01:25.800]  我們就上當了
[00:01:25.800 --> 00:01:27.600]  失錢失利
[00:01:27.600 --> 00:01:31.600]  其實我們教會也是看重同心合意
[00:01:31.600 --> 00:01:36.200]  但是這兩個團體有什麼差別呢
[00:01:36.200 --> 00:01:39.400]  這兩種團體都看重同心合意
[00:01:39.400 --> 00:01:42.700]  在本質上面有什麼區分呢
[00:01:42.700 --> 00:01:48.600]  詐騙集團可以跟教會一起同心合意嗎
[00:01:48.600 --> 00:01:50.400]  大家都買過東西對不對
[00:01:50.400 --> 00:01:51.800]  當你們在買東西的時候
[00:01:51.800 --> 00:01:55.800]  現在都會有一個包裝的封面上面
[00:01:55.800 --> 00:01:58.000]  都會有像這樣的Logo
[00:01:58.000 --> 00:02:01.400]  就是不含什麼不含什麼
[00:02:01.400 --> 00:02:02.900]  不含防腐劑
[00:02:02.900 --> 00:02:04.500]  不含人工色素
[00:02:04.500 --> 00:02:09.000]  不含造成過敏的這些物質
[00:02:09.000 --> 00:02:10.500]  同樣的我今天要講的
