
[00:00:00.000 --> 00:00:09.000]  今天是初五,新的一年祝願各位主人常在,身心靈健壯,有我們同心的禱告。
[00:00:09.000 --> 00:00:15.000]  差的恩主,感謝你從歲首到年終,無間斷的護佑。
[00:00:15.000 --> 00:00:22.000]  主我們不知道前面有什麼祭慾,但知道上帝你的恩典常常夠我們使用。
[00:00:23.000 --> 00:00:34.000]  求主幫助我們在新的一年,更加真切地領受體會上帝你的愛,賀等的長闊高深。
[00:00:34.000 --> 00:00:43.000]  以致我們用我們的生命去回應上帝你的恩情,我們靠著主有美好的成長,去見證上帝你的榮美。
[00:00:44.000 --> 00:00:54.000]  請使用今天這份信息,以致無論講的聽的,一同去蒙福,聽我們的禱告,奉教我救主,耶穌基督,寶貴聖名去求,阿們。
[00:00:54.000 --> 00:01:04.000]  在開始之前,準備了一些新年的單張,讓我們在新年探望親友的時候可以使用。
[00:01:04.000 --> 00:01:12.000]  其中有一張單張的標題叫做「轉運,不如去轉個命」。
[00:01:13.000 --> 00:01:17.000]  我們希望生活順利平平安安,這也是人之常情。
[00:01:17.000 --> 00:01:27.000]  對於無神論者,運程好壞也是看你有沒有運氣,未必有什麼特別的,所謂屬命論,萬事是偶然發生,沒有什麼目的。
[00:01:27.000 --> 00:01:34.000]  對於信奉風水命理,民間信仰的人,可能用各種方法去趨吉避凶。
[00:01:35.000 --> 00:01:44.000]  例如我住沙田的時候,也會去一間車公廟,然後買一輛風車,其實不知為什麼,人去我去而已。
[00:01:44.000 --> 00:01:48.000]  好,信了主,我們有什麼改變?
[00:01:48.000 --> 00:01:56.000]  是否仍然向上帝求好運?以前是去求其他神明,現在改為向求耶穌?
[00:01:57.000 --> 00:02:05.000]  我們未必會信好武財,但當生命遇到挑戰的時候,我們往往將所有的祭遇都歸咎給神。
[00:02:05.000 --> 00:02:13.000]  就像神有責任要讓我們順風順利,遇上不如意的時候,可能會埋怨神為什麼不保守我?
[00:02:13.000 --> 00:02:19.000]  我無意去唱高調,我們很自然地求主保守我們,各有安好。
[00:02:20.000 --> 00:02:27.000]  但也可以坦然無懼,在困苦中,求上帝給我們勇氣和能力去面對。
[00:02:27.000 --> 00:02:35.000]  但如果基督信仰只是求順風,順利好運氣,蒙福取決於客觀環境的好壞,
[00:02:35.000 --> 00:02:40.000]  那我們跟其他民間信仰有什麼分別?
[00:02:40.000 --> 00:02:44.000]  我很喜歡「喘運不如喘命」這個標題。
[00:02:45.000 --> 00:02:50.000]  為什麼有時候我們無法作主?但是我們生命的依歸,我們如何去投放我們的生命?
[00:02:50.000 --> 00:02:54.000]  在各種祭遇中,我們如何去回應?我們有得去選擇。
[00:02:54.000 --> 00:02:58.000]  以致我們人生在豬裡面常存盼望,總有出路。
[00:02:58.000 --> 00:03:05.000]  今天很想繼續我們去看《羅馬書》,就像今天的經文,我們去思想一個轉命的功課。
[00:03:05.000 --> 00:03:11.000]  《羅馬書》第五章至第八章是講究因可以改變我們的生命。
[00:03:12.000 --> 00:03:16.000]  上星期我們看了第五章一至十一節。
[00:03:16.000 --> 00:03:21.000]  上文提到人得著救恩,被稱為義,最可以得到赦免。
[00:03:21.000 --> 00:03:31.000]  而人領受這個大福份,何等的豐富能與神和好,生命有盼望,基督神的大愛,活出一個以神為樂的生命。
[00:03:31.000 --> 00:03:36.000]  來到今天的下半段,五章十二至二十一節。
[00:03:37.000 --> 00:03:47.000]  保羅用「為此」作為開始,意思是說,為了達到上文所講,在神的恩典裡面能夠過一個以神為樂的生命。
[00:03:47.000 --> 00:03:52.000]  保羅去解釋,神做了多麼偉大的工作。
[00:03:52.000 --> 00:03:58.000]  今天的整段經文正在重陽神的恩典何等的浩瀚。
[00:03:58.000 --> 00:04:03.000]  首先我們來看看今天的經文內容。
[00:04:04.000 --> 00:04:08.000]  如果大家手上有這段經文,我們一起來看看吧。
[00:04:08.000 --> 00:04:13.000]  有一個字出現了很多次,那個是什麼字,大家找得到嗎?
[00:04:13.000 --> 00:04:16.000]  有一個字出現了很多次,那個是什麼字呢?
[00:04:16.000 --> 00:04:18.000]  哪個?
[00:04:18.000 --> 00:04:24.000]  「一」,「一人」,出現了十次。
[00:04:24.000 --> 00:04:29.000]  但那個「一人」是否一直只講「一個人」,還是不止「一個人」呢?
[00:04:31.000 --> 00:04:35.000]  在講哪兩個人呢?
[00:04:35.000 --> 00:04:38.000]  在講亞當和耶穌基督。
[00:04:38.000 --> 00:04:44.000]  今天的整段經文其實是在比較亞當和耶穌基督。
[00:04:44.000 --> 00:04:48.000]  我嘗試將今天的經文分為三個段落。
[00:04:48.000 --> 00:04:54.000]  重點是講從亞當而出,和從耶穌基督而出的那種分別。
[00:04:55.000 --> 00:05:04.000]  頭一個段落,十二至十四節是講在亞當裏面,帶來全人類的墮落,將死亡導入世界,是一個從生至死的人生。
[00:05:04.000 --> 00:05:14.000]  第二個段落,說在耶穌基督裏面,因信稱而扭轉人的命運,是一個從死亡裏面反而得著生命的人生。
[00:05:14.000 --> 00:05:20.000]  最後兩節做一個結論,保羅再次講到律法和罪的關係。
[00:05:21.000 --> 00:05:30.000]  律法沒有幫人帶來出路,但神的恩典在掌權,於是人因著信靠主耶穌得到永生。
[00:05:30.000 --> 00:05:35.000]  我們先來看第一個段落,十二至十四節。
[00:05:35.000 --> 00:05:43.000]  簡簡單單的一次經文,我們看到保羅握腰講了人類歷史沉淪的三部曲。
[00:05:44.000 --> 00:05:51.000]  第一個說罪是從一人進入世界。一人是誰?他沒有指名道姓,你也知道是亞當。
[00:05:51.000 --> 00:05:58.000]  因為亞當的沉淪以致帶來人類的墮落,將罪帶入了世界。
[00:05:58.000 --> 00:06:05.000]  而罪的結果,死有從罪而來,罪的結果就是帶來死亡。
[00:06:06.000 --> 00:06:15.000]  我們有機會看過《創世記》,當時神跟亞當說不可以吃「知善惡樹」的果子,你吃的時候會怎樣呢?
[00:06:15.000 --> 00:06:22.000]  你吃的日子必定死,但我們知道亞當真的吃了,真的受不住引誘,他會不會馬上死呢?
[00:06:22.000 --> 00:06:32.000]  沒有,就是說這個死不僅是肉身的死亡,更是屬靈上的死亡,跟神的關係隔絕。
[00:06:33.000 --> 00:06:41.000]  然後保羅繼續去將焦點本來從犯罪的一個人影響到全人類,
[00:06:41.000 --> 00:06:47.000]  於是死臨到所有人,因為人人都犯罪。
[00:06:47.000 --> 00:06:53.000]  神學家學者就從這則經文引申很多對原罪的討論。
[00:06:53.000 --> 00:07:02.000]  我們沒有時間花很多時間去討論,基本上可以理解為人類的先祖犯罪。
[00:07:03.000 --> 00:07:08.000]  亞當作為人類的代表,所有的後裔就受到牽連,與生俱來有罪性。
[00:07:08.000 --> 00:07:15.000]  而這個罪性就像一種權勢一樣控制著人的生命,實際去到引誘人,
[00:07:15.000 --> 00:07:24.000]  他裏面的心有很多引發很多心裏面邪惡的思想,也都實實際際具體有很多的罪行。
[00:07:24.000 --> 00:07:31.000]  不論我們喜不喜歡,這是全人類要面對的悲劇,不變的事實。
[00:07:32.000 --> 00:07:41.000]  接著在十三至十四節,保羅在回應當時猶太人對福音那種疑問,
[00:07:41.000 --> 00:07:45.000]  他們說「律法與罪的關係是怎樣的?」
[00:07:45.000 --> 00:07:52.000]  他說:「沒有律法之前,罪已經在世上,但沒有律法,罪也不算為罪。」
[00:07:52.000 --> 00:08:00.000]  或者我們首先簡單去看看當時在猶太人的眼光裏面,律法與罪那種關係。
[00:08:01.000 --> 00:08:09.000]  假如作為猶太人擁有律法,也不可以成為清義的根據,而外邦信徒不需要守國禮進行猶太律法,
[00:08:09.000 --> 00:08:14.000]  對於猶太人來說,他們要這樣發生,他們說是疑問,那律法有甚麼用?
[00:08:14.000 --> 00:08:18.000]  那上帝對以色列民的揀選和應許,那不就是逃遣?
[00:08:18.000 --> 00:08:25.000]  如果清義不需要靠行律法,外邦人豈不是可以無法無天?
[00:08:26.000 --> 00:08:31.000]  於是保羅要一直回應猶太人這個疑問,
[00:08:31.000 --> 00:08:38.000]  他跟著這樣說:「沒有律法之前,罪已經在世上。」
[00:08:38.000 --> 00:08:46.000]  問問大家,在聖經裏面何時真的清清楚楚把律法的條文訂出來?
[00:08:46.000 --> 00:08:52.000]  《齋及記》二十章,神藉著摩西去頒布十誡。
[00:08:53.000 --> 00:08:58.000]  但我想問,十誡未出,摩西的律法未頒布之前,人有沒有犯罪?
[00:08:58.000 --> 00:09:07.000]  當然有啦,在《創世紀》看到,記載了由亞當不信奉神的開始,人類有很多邪惡敗壞,
[00:09:07.000 --> 00:09:10.000]  那個人因為嫉妒,殺了自己弟弟亞伯,
[00:09:10.000 --> 00:09:16.000]  人因為驕傲,很想傳揚自己的名聲,去見巴別塔等等。
[00:09:17.000 --> 00:09:23.000]  《羅馬書》上文第二章提到,即使是外邦人也好,他們心裏面有良知,
[00:09:23.000 --> 00:09:30.000]  他們心裏面的良知就像一個內置的律法體系。
[00:09:30.000 --> 00:09:37.000]  但這裏提到,沒有律法,罪也不算為罪,那有什麼意思呢?
[00:09:37.000 --> 00:09:42.000]  「算」這個詞是寄在某人的賬上面,
[00:09:43.000 --> 00:09:48.000]  就是說,律法的功用是很明確地說,這樣就是違規,
[00:09:48.000 --> 00:09:54.000]  現在你違了規,我要記下它,於是乎我可以定你為有罪,行不行?
[00:09:54.000 --> 00:10:00.000]  或者我給個例子,我在外國生活的時候,見過一些類似的標誌,
[00:10:00.000 --> 00:10:06.000]  在公共交通工具上面,你不可以把腳踩在椅子上面,
[00:10:06.000 --> 00:10:11.000]  或者你不可以像很爽一樣,把腳放在對面那裏。
[00:10:12.000 --> 00:10:15.000]  在香港可能有,不過可能不太多這樣的標誌。
[00:10:15.000 --> 00:10:20.000]  如果在交通工具上面沒有這個標誌,有個人真的這樣做,
[00:10:20.000 --> 00:10:26.000]  我不可以說你犯規要怎樣懲罰,但是就算沒有這個標誌也好,
[00:10:26.000 --> 00:10:30.000]  是不是這樣做就好?是否合意?是否沒問題?
[00:10:30.000 --> 00:10:33.000]  不是的,我們良心知道這樣是不對的。
[00:10:33.000 --> 00:10:40.000]  所以就算沒有律法之前,罪可能被記帳,我們不可以說這是犯罪,
[00:10:41.000 --> 00:10:46.000]  但罪的結果其實仍然引起上帝的憤怒和審判。
[00:10:46.000 --> 00:10:55.000]  接著就提到,連那些跟亞當不是犯一樣罪過的人都死在這個權勢底下,
[00:10:55.000 --> 00:11:00.000]  面對這個人類的困局,那怎麼辦?
[00:11:00.000 --> 00:11:04.000]  上帝早已經為墮落的人類預備出路,
[00:11:04.000 --> 00:11:10.000]  他說亞當是以後要來的人的遇象,那個以後要來的人是誰?
[00:11:11.000 --> 00:11:13.000]  耶穌基督,大家都知道。
[00:11:13.000 --> 00:11:16.000]  我們看看哥林多前書這樣說:
[00:11:16.000 --> 00:11:22.000]  「首先的人是亞當成了有生命的人,活後的亞當成為了次生命的靈,
[00:11:22.000 --> 00:11:27.000]  不是屬靈的在先,是屬血肉的在先,先至跟著是屬靈的。
[00:11:27.000 --> 00:11:31.000]  第一個是出於地,屬於塵土,第二個是出於天。
[00:11:31.000 --> 00:11:38.000]  首先的亞當是人類的第一個人,他作為人類的代表,他失敗他墮落,
[00:11:39.000 --> 00:11:42.000]  所以神要妻去的兒子耶穌基督親淫人間,
[00:11:42.000 --> 00:11:47.000]  保羅說這是第二個亞當,活後的亞當,
[00:11:47.000 --> 00:11:51.000]  他從聖靈感恩,他作為人的第二個代表,
[00:11:51.000 --> 00:11:58.000]  他原備的工作是在人類從亞當的原罪帶來的困局裡被拯救出來。」
[00:11:58.000 --> 00:12:03.000]  這裡提到亞當是以後要來的人的遇象,
[00:12:04.000 --> 00:12:11.000]  亞當和基督分別是兩個不同的族群的創始人,
[00:12:11.000 --> 00:12:15.000]  亞當是犯罪全人類的創始人,
