
[00:00:00.000 --> 00:00:03.560]  我們今天的題目很有趣
[00:00:03.560 --> 00:00:09.000]  叫做是從習律典章蒙神的祝福
[00:00:09.000 --> 00:00:13.440]  為什麼習律典章都能夠蒙得到神的祝福呢?
[00:00:13.440 --> 00:00:15.880]  我們就要解釋一下
[00:00:15.880 --> 00:00:19.360]  其實今天的經文真的很雜亂
[00:00:19.360 --> 00:00:24.880]  由新命紀21章15節至25章19節
[00:00:24.880 --> 00:00:27.760]  講很多不同的律法
[00:00:27.760 --> 00:00:30.920]  真的好像炒雜錦一樣
[00:00:30.920 --> 00:00:32.600]  好像雜碎
[00:00:32.600 --> 00:00:35.280]  去到中國人的餐廳
[00:00:35.280 --> 00:00:38.440]  西人很喜歡叫chop suey
[00:00:38.440 --> 00:00:40.280]  那些是甚麼來的?
[00:00:40.280 --> 00:00:44.200]  那些其實是剩下來的冷飯菜汁
[00:00:44.200 --> 00:00:45.560]  炒在一起
[00:00:45.560 --> 00:00:48.440]  西人吃到津津有味
[00:00:48.440 --> 00:00:54.360]  今天見到好像是雜亂無章的律例典章
[00:00:54.360 --> 00:00:58.160]  我們又能不能夠在這些律法中
[00:00:58.160 --> 00:01:00.240]  看到津津有味呢?
[00:01:00.240 --> 00:01:02.600]  這就是我們今天要講的
[00:01:02.600 --> 00:01:08.880]  從神的習律典章來到蒙神的祝福
[00:01:08.880 --> 00:01:11.000]  先解釋一下
[00:01:11.000 --> 00:01:16.160]  為什麼這些經文會好像是這麼雜亂
[00:01:16.160 --> 00:01:18.160]  給你一些例子
[00:01:18.160 --> 00:01:21.920]  例如好像新命紀21章16至17節
[00:01:21.920 --> 00:01:23.760]  講到納長子
[00:01:23.760 --> 00:01:26.040]  你有兩個太太
[00:01:26.040 --> 00:01:28.040]  一個是你所愛的
[00:01:28.040 --> 00:01:30.320]  一個是你所珍惡的
[00:01:30.320 --> 00:01:34.160]  反而你所珍惡的幫你生了長子
[00:01:34.160 --> 00:01:37.440]  你不能夠將你所愛的妻子
[00:01:37.440 --> 00:01:40.400]  所生的兒子納了他做長子
