
[00:00:00.000 --> 00:00:02.720]  各位電影姐妹 再一次早晨
[00:00:02.720 --> 00:00:05.760]  今天跟大家說的是主題三
[00:00:05.760 --> 00:00:09.600]  這個主題應該是我們上年的五個主題
[00:00:09.600 --> 00:00:14.840]  最後一個系列的最後一篇
[00:00:14.840 --> 00:00:16.440]  第十五篇
[00:00:16.440 --> 00:00:19.000]  一聽到題目「效法基督三」
[00:00:19.000 --> 00:00:22.160]  「活出與基督同死同復活的新生命」
[00:00:22.160 --> 00:00:25.800]  就知道這和我恆常定的題目很不同
[00:00:25.800 --> 00:00:29.840]  因為這是很標準的題目
[00:00:29.840 --> 00:00:36.640]  所以今天說到保羅的思想也是很難理解
[00:00:36.640 --> 00:00:40.000]  但是我們嘗試從一個深入淺出的方法
[00:00:40.000 --> 00:00:42.000]  去理解這段經文對我們
[00:00:42.000 --> 00:00:45.440]  信了耶穌之後生命有什麼提醒
[00:00:45.440 --> 00:00:48.240]  先玩一下遊戲 好不好
[00:00:48.240 --> 00:00:52.040]  填充遊戲 第一條
[00:00:52.040 --> 00:00:54.600]  其實只是第一條
[00:00:54.600 --> 00:00:59.160]  好兄弟 和什麼
[00:00:59.160 --> 00:01:04.840]  「同甘共苦」 好啊 還有呢
[00:01:04.840 --> 00:01:12.240]  「同舟共濟」
[00:01:12.240 --> 00:01:15.280]  「同生共死」
[00:01:15.280 --> 00:01:18.600]  說到上刀山下油鍋 兩翼插刀
[00:01:18.600 --> 00:01:19.880]  義不容辭
[00:01:19.880 --> 00:01:22.560]  因為大家是好兄弟 都會去做的
[00:01:22.560 --> 00:01:25.680]  「好門徒」呢
[00:01:25.680 --> 00:01:39.520]  「同心同恆」 這個也不錯
[00:01:39.520 --> 00:01:41.000]  我們做基督的好門徒
[00:01:41.000 --> 00:01:44.600]  「同心同恆 為主德人」
[00:01:44.600 --> 00:01:47.680]  「同死同活」
[00:01:47.680 --> 00:01:49.920]  哇 更加嚴肅了
[00:01:49.920 --> 00:01:52.000]  很嚴肅 「同死同活」
[00:01:52.000 --> 00:01:58.600]  好 我們看看 基督的門徒一生追隨基督
[00:01:58.600 --> 00:02:00.080]  和效法基督
[00:02:00.080 --> 00:02:04.000]  活出和基督同死同復活的新生命
[00:02:04.000 --> 00:02:06.040]  這個是我們今天想說的
[00:02:06.040 --> 00:02:08.200]  當我們信了耶穌之後
[00:02:08.200 --> 00:02:11.960]  我們就是和主耶穌基督一起同死同復活
[00:02:11.960 --> 00:02:15.040]  我們整個人的生命 整個的生活
[00:02:15.040 --> 00:02:19.160]  都是應該會有不同的 會有轉變的
[00:02:19.160 --> 00:02:23.680]  可能你會說 牧師甚麼叫「同死同生同死」
[00:02:23.680 --> 00:02:25.760]  「同生同復活」
[00:02:25.760 --> 00:02:29.080]  為甚麼呢 「同死同復活」為甚麼呢
[00:02:29.080 --> 00:02:32.160]  我們就看看哥羅西書
[00:02:32.160 --> 00:02:35.400]  這本書當時在說教會的背景是說甚麼呢
[00:02:35.400 --> 00:02:39.840]  當時教會有些信耶穌的人有這樣的想法
[00:02:39.840 --> 00:02:41.880]  只是信耶穌不夠的
[00:02:41.880 --> 00:02:44.800]  信耶穌 跟從耶穌基督不夠的
[00:02:44.800 --> 00:02:47.600]  你的人生都不豐盛的
[00:02:47.600 --> 00:02:51.480]  你一定要做多一點 做多一點 做多一點
[00:02:51.480 --> 00:02:52.760]  做多一點甚麼呀
[00:02:52.760 --> 00:02:54.680]  不吃這個 不吃那個
[00:02:54.680 --> 00:02:56.960]  拜下天使 禁慾
[00:02:56.960 --> 00:02:59.520]  不要做這個 不要做那個
[00:02:59.520 --> 00:03:02.160]  嚴守安息日 行國禮
[00:03:02.160 --> 00:03:03.840]  等等 等等 等等
[00:03:03.840 --> 00:03:05.920]  你做完這些東西
[00:03:05.920 --> 00:03:09.120]  你的人生就行了 就行了 就豐盛了
[00:03:09.120 --> 00:03:12.680]  你才能夠真正 過到真正的生活
