
[00:00:00.000 --> 00:00:11.000]  各位弟兄姊妹平安 很高興現在大家有機會一齊來敬拜主
[00:00:11.000 --> 00:00:19.000]  我同樣開心因為有新的牧者在我們當中 願神使用他
[00:00:19.000 --> 00:00:24.000]  讓教會能夠得到招咒
[00:00:24.000 --> 00:00:27.000]  今天我們講的題目是有福的人
[00:00:27.000 --> 00:00:30.000]  今天要講的題目是有福的人
[00:00:30.000 --> 00:00:33.000]  中國人是很喜歡有福的
[00:00:33.000 --> 00:00:36.000]  你是否有福的人呢
[00:00:36.000 --> 00:00:41.000]  有福的人是一個怎樣的人呢
[00:00:41.000 --> 00:00:44.000]  如果講到福呢
[00:00:44.000 --> 00:00:49.000]  中國人通常是在講四樣事情
[00:00:49.000 --> 00:00:53.000]  當然這個是很傳統的中國人
[00:00:53.000 --> 00:00:57.000]  第一樣就是富
[00:00:57.000 --> 00:01:00.000]  就是有財富的意思
[00:01:00.000 --> 00:01:02.000]  這個有錢
[00:01:02.000 --> 00:01:05.000]  第二個就是貴
[00:01:05.000 --> 00:01:11.000]  貴就是代表人在社會上有地位
[00:01:11.000 --> 00:01:14.000]  受人尊崇
[00:01:14.000 --> 00:01:18.000]  第三個就是壽
[00:01:18.000 --> 00:01:22.000]  壽的意思當然是指在地上能夠活得長久
[00:01:22.000 --> 00:01:25.000]  壽的意思當然是指在地上能夠活得長久
[00:01:25.000 --> 00:01:32.000]  第四個就是考
[00:01:32.000 --> 00:01:35.000]  第四個就是考
[00:01:35.000 --> 00:01:38.000]  考是什麼意思呢
[00:01:38.000 --> 00:01:41.000]  考就是能夠有一個圓滿的結局
[00:01:41.000 --> 00:01:44.000]  這是代表有一個圓滿的結局
[00:01:44.000 --> 00:01:48.000]  是一個很安然的離世
[00:01:48.000 --> 00:01:51.000]  這是第四個福
[00:01:51.000 --> 00:01:54.000]  這些都是好的
[00:01:54.000 --> 00:01:57.000]  都是人人都喜歡的
[00:01:57.000 --> 00:02:02.000]  最好是全部都能夠得到
[00:02:02.000 --> 00:02:07.000]  基督徒相信神是賜福給人的
[00:02:07.000 --> 00:02:14.000]  如果上面四樣東西都是中國人所求的福
[00:02:14.000 --> 00:02:19.000]  那麼神會不會給過我們呢
[00:02:19.000 --> 00:02:24.000]  或者講到福的時候
[00:02:24.000 --> 00:02:30.000]  耶穌基督那位在人間的神
[00:02:30.000 --> 00:02:33.000]  祂會怎麼說呢
[00:02:33.000 --> 00:02:37.000]  如果講到福
[00:02:37.000 --> 00:02:40.000]  耶穌基督這樣說
[00:02:40.000 --> 00:02:45.000]  有福的是那些窮的人
[00:02:45.000 --> 00:02:48.000]  是那些哀傷的人
[00:02:48.000 --> 00:02:53.000]  是那些又飢又渴的人
[00:02:53.000 --> 00:02:57.000]  是那些被人迫害的人
[00:02:57.000 --> 00:03:01.000]  如果我們聽到耶穌這樣講
[00:03:01.000 --> 00:03:05.000]  我們一定會感到很驚訝
[00:03:05.000 --> 00:03:12.000]  什麼貧窮哀傷都是福氣呢
[00:03:12.000 --> 00:03:14.000]  如果是這樣的話
[00:03:14.000 --> 00:03:22.000]  耶穌基督所講的和中國人所求的相差很遠
[00:03:22.000 --> 00:03:30.000]  所以我想今早我們一起來聽一聽耶穌基督這番話
[00:03:30.000 --> 00:03:37.000]  希望我們都能夠真正做一個有福的人
[00:03:37.000 --> 00:03:44.000]  從《馬太福音》第五章一開始
[00:03:44.000 --> 00:03:50.000]  是交代耶穌基督論福的背景
[00:03:50.000 --> 00:03:56.000]  當時耶穌看到一大群群眾走過來
[00:03:56.000 --> 00:03:59.000]  耶穌就馬上上山
[00:03:59.000 --> 00:04:05.000]  意思似乎是要避開這群群眾
[00:04:05.000 --> 00:04:07.000]  上到山以後
[00:04:07.000 --> 00:04:09.000]  他就坐下來
[00:04:09.000 --> 00:04:13.000]  好像一個教師一樣
[00:04:13.000 --> 00:04:17.000]  他的徒弟就到他面前
[00:04:17.000 --> 00:04:26.000]  耶穌就在那時候開始講什麼是有福
[00:04:26.000 --> 00:04:30.000]  所以《馬太福音》這段經文
[00:04:30.000 --> 00:04:39.000]  耶穌基督這番話其實是希望他的門徒明白
[00:04:39.000 --> 00:04:41.000]  什麼是有福
[00:04:41.000 --> 00:04:47.000]  希望他的門徒去做有福的人
[00:04:47.000 --> 00:04:49.000]  也就是說
[00:04:49.000 --> 00:04:54.000]  這番話並不是跟外人說的
[00:04:54.000 --> 00:04:57.000]  是對他的徒弟講的
[00:04:57.000 --> 00:05:00.000]  是對那些跟隨他的人講的
[00:05:00.000 --> 00:05:05.000]  是那些跟耶穌的人要知道的
[00:05:05.000 --> 00:05:11.000]  那到底什麼是有福的人呢
[00:05:11.000 --> 00:05:16.000]  第三節一開始就有講
[00:05:16.000 --> 00:05:21.000]  有福的人是貧窮的人
[00:05:21.000 --> 00:05:23.000]  你一定會覺得很奇怪
[00:05:23.000 --> 00:05:26.000]  為什麼我會說貧窮呢
[00:05:26.000 --> 00:05:29.000]  聖經都不是這樣記載
[00:05:29.000 --> 00:05:33.000]  我本沒有講過貧窮
[00:05:33.000 --> 00:05:39.000]  其實這是原來的意思
[00:05:39.000 --> 00:05:46.000]  貧窮是指那些一無所有的人
[00:05:46.000 --> 00:05:49.000]  沒有什麼保障的人
[00:05:49.000 --> 00:05:53.000]  貧窮的人是有福的
[00:05:53.000 --> 00:05:56.000]  耶穌是這樣宣告
[00:05:56.000 --> 00:05:59.000]  很多人應該開心
[00:05:59.000 --> 00:06:05.000]  因為這個世界最多的就是窮人
[00:06:05.000 --> 00:06:09.000]  窮人因為缺乏
[00:06:09.000 --> 00:06:15.000]  所以他最有可能去投靠上帝
[00:06:15.000 --> 00:06:19.000]  如果他這樣做他就是有福
[00:06:19.000 --> 00:06:24.000]  但主耶穌的話其實我講了一半
[00:06:24.000 --> 00:06:26.000]  主耶穌的話我只講了一半沒有講完
[00:06:26.000 --> 00:06:31.000]  因為貧窮的字背後有一個附帶形容
[00:06:31.000 --> 00:06:34.000]  原來貧窮這個字背後還有一個附帶形容
[00:06:34.000 --> 00:06:38.000]  那個字是在靈裡
[00:06:38.000 --> 00:06:44.000]  那些在靈裡貧窮的人
[00:06:44.000 --> 00:06:46.000]  是有福的
[00:06:46.000 --> 00:06:49.000]  即是說你真的沒有錢
[00:06:49.000 --> 00:06:51.000]  未必是真的有福
[00:06:51.000 --> 00:06:55.000]  就是說你沒有錢並不是真的有福
[00:06:55.000 --> 00:06:57.000]  但你知道自己貧窮
[00:06:57.000 --> 00:07:00.000]  知道自己不足這是有福的
[00:07:00.000 --> 00:07:02.000]  但是你知道自己貧窮
[00:07:02.000 --> 00:07:04.000]  知道你自己不足就是有福
[00:07:04.000 --> 00:07:06.000]  所以你就明白和合本
[00:07:06.000 --> 00:07:09.000]  為什麼譯這句話譯作虛心
[00:07:09.000 --> 00:07:14.000]  所以為什麼和本會翻譯這個字成為虛心
[00:07:14.000 --> 00:07:19.000]  把心靈的貧窮譯作虛心
[00:07:19.000 --> 00:07:22.000]  把心靈的貧窮翻譯成虛心
[00:07:22.000 --> 00:07:27.000]  這個就是為什麼我講的時候
[00:07:27.000 --> 00:07:30.000]  好像和你手上的聖經不同的原因
[00:07:30.000 --> 00:07:32.000]  所以為什麼好像我講的時候
[00:07:32.000 --> 00:07:34.000]  跟大家聖經所寫的不一樣
[00:07:34.000 --> 00:07:38.000]  你要明白物質的缺乏其實可以令人變得自私
[00:07:38.000 --> 00:07:42.000]  大家要明白物質上的缺乏可能會讓人變得更自私
[00:07:42.000 --> 00:07:46.000]  如果我給了你我就沒有了
[00:07:46.000 --> 00:07:47.000]  又說我把它給你了
[00:07:47.000 --> 00:07:49.000]  很容易我們會拿著不放
[00:07:49.000 --> 00:07:52.000]  好像很容易我們都會抓緊不會放
[00:07:52.000 --> 00:07:55.000]  那時候其實和一個有錢的人
[00:07:55.000 --> 00:08:00.000]  他因為想有多點錢又不肯放出來是一樣
[00:08:00.000 --> 00:08:03.000]  其實這個和一個有錢的人他希望更有錢
[00:08:03.000 --> 00:08:06.000]  所以他拿著不放抓著不放其實是一樣的
[00:08:06.000 --> 00:08:08.000]  所以耶穌基督提醒我們
[00:08:08.000 --> 00:08:12.000]  那些有福的是那些在靈裡面貧窮
[00:08:12.000 --> 00:08:14.000]  所以耶穌基督提醒我們那些有福的
[00:08:14.000 --> 00:08:16.000]  就是在靈裡面貧窮的人
[00:08:16.000 --> 00:08:20.000]  他知道自己不足
[00:08:20.000 --> 00:08:22.000]  他不自恃
[00:08:22.000 --> 00:08:27.000]  他不靠自己
[00:08:27.000 --> 00:08:30.000]  這些人他認識到他有限的能力
[00:08:30.000 --> 00:08:32.000]  他就懂得去投靠上帝
[00:08:32.000 --> 00:08:34.000]  他這些人知道他有限的能力
[00:08:34.000 --> 00:08:36.000]  他就會投靠上帝
[00:08:36.000 --> 00:08:40.000]  他就會成為有福的人
[00:08:40.000 --> 00:08:44.000]  當人投靠上帝
[00:08:44.000 --> 00:08:47.000]  就成為耶穌的門徒
