
[00:00:00.000 --> 00:00:03.040]  我們之前有一個系列叫做「過海有樂」
[00:00:03.040 --> 00:00:06.840]  說到的就是當一幫以色列人過了紅海之後
[00:00:06.840 --> 00:00:10.520]  就踏上了抗日的路
[00:00:10.520 --> 00:00:11.720]  在這段路裡面
[00:00:11.720 --> 00:00:14.640]  其實那幫以色列人又試過因為分別沒有水飲
[00:00:14.640 --> 00:00:15.800]  又試過沒有東西吃
[00:00:15.800 --> 00:00:17.600]  就去埋怨上帝
[00:00:17.600 --> 00:00:23.640]  上帝就用了很多不同的神蹟去供應他們的需要
[00:00:23.640 --> 00:00:29.120]  而在途中他們又試過遇到那幫阿瑪利人的偷襲
[00:00:29.120 --> 00:00:35.360]  這幫以色列人就迎來了他們出埃及之後的第一場戰役
[00:00:35.360 --> 00:00:37.080]  而在這場戰役裡面
[00:00:37.080 --> 00:00:39.840]  其實神又用了一個很特別的方式
[00:00:39.840 --> 00:00:44.560]  如果大家有印象就是摩西要上山去舉手這件事
[00:00:44.560 --> 00:00:47.880]  去令到這幫以色列人在這場仗裡面打贏了
[00:00:47.880 --> 00:00:50.640]  而當他們打完這場仗之後
[00:00:50.640 --> 00:00:51.960]  摩西就起了一個壇
[00:00:51.960 --> 00:00:55.880]  就叫做「耶和華尼西」去紀念這件事
[00:00:55.880 --> 00:01:01.320]  之後我們又提到的是摩西的岳父葉緹羅
[00:01:01.320 --> 00:01:04.120]  他來到這幫以色列人的裡面
[00:01:04.120 --> 00:01:07.000]  就帶了他的妻兒來到
[00:01:07.000 --> 00:01:11.000]  二來就是他見到摩西其實都很忙
[00:01:11.000 --> 00:01:14.240]  因為那幫以色列人基本上所有事情都是找摩西去解決的
[00:01:14.240 --> 00:01:18.160]  就教摩西其實你要設立一些千夫長、百夫長、十夫長
[00:01:18.160 --> 00:01:21.280]  那些這樣的制度去分擔他們的事務
[00:01:21.280 --> 00:01:23.400]  過可有樂大概就是講到這件事
[00:01:23.400 --> 00:01:26.160]  接著我們就一去就去到十九章
[00:01:26.160 --> 00:01:29.800]  就是上一個系列就叫做「有規有矩的上帝」
[00:01:29.800 --> 00:01:35.160]  講到那幫以色列人來到西內山的山下面
[00:01:35.160 --> 00:01:36.520]  他們安寧
[00:01:36.520 --> 00:01:40.160]  摩西就吩咐 耶和華叫摩西吩咐
[00:01:40.160 --> 00:01:42.440]  那幫百姓要自截
[00:01:42.440 --> 00:01:44.240]  為什麼要自截呢?
[00:01:44.240 --> 00:01:49.440]  因為他們要預備耶和華即將來到這個山的上面
[00:01:49.440 --> 00:01:52.320]  就講到那幫以色列人的傳媒中
[00:01:52.320 --> 00:01:56.560]  事結了三天之後耶和華就真的來到西內山裡面
[00:01:56.560 --> 00:01:59.600]  那摩西就被召了上山
[00:01:59.600 --> 00:02:04.040]  而在二十至二十二章就講到摩西在山上面
[00:02:04.040 --> 00:02:07.800]  耶和華就將了很多的律例、很多的典章
[00:02:07.800 --> 00:02:12.080]  就可能是包括那些十戒、祭壇的那些條例
[00:02:12.080 --> 00:02:14.640]  還有很多百姓之間
[00:02:14.640 --> 00:02:18.160]  他們怎樣對待對彼此的一些條例
[00:02:18.160 --> 00:02:22.680]  就告訴了摩西,就一直講了三章聖經
[00:02:22.680 --> 00:02:24.560]  那麼到了二十三章
[00:02:24.560 --> 00:02:27.600]  就在講的是耶和華要告訴摩西
[00:02:27.600 --> 00:02:29.400]  除了那些律例之外
[00:02:29.400 --> 00:02:32.720]  以色列人還要守一些安息日、安息年
[00:02:32.720 --> 00:02:34.960]  以及一些不同的節期
[00:02:34.960 --> 00:02:40.440]  那麼當摩西聽了耶和華去做完這件事之後
[00:02:40.440 --> 00:02:42.320]  他們吩咐百姓那些
[00:02:42.320 --> 00:02:44.960]  剛剛講的那些律例那些東西之後
[00:02:44.960 --> 00:02:48.160]  就一直一直到我們今天要看的經文
[00:02:48.160 --> 00:02:49.440]  那麼這段經文呢
[00:02:49.440 --> 00:02:54.240]  其實可以說是出埃及的一個重點所在
[00:02:54.240 --> 00:02:55.320]  那麼為什麼這樣說呢?
[00:02:55.320 --> 00:02:58.440]  因為今天看的經文是在講耶和華
[00:02:58.440 --> 00:03:04.960]  和以色列人正式納約的儀式和整個經過
[00:03:04.960 --> 00:03:10.640]  我會說這一段是出埃及記的那個重點的原因
[00:03:10.640 --> 00:03:12.200]  是因為其實我們很多時候
[00:03:12.200 --> 00:03:13.520]  我們看出埃及記的時候
[00:03:13.520 --> 00:03:15.720]  我們常常都會覺得出埃及記
[00:03:15.720 --> 00:03:17.960]  那麼當然講出埃及啦
[00:03:17.960 --> 00:03:19.800]  那麼最重要的就是出埃及囉
[00:03:19.800 --> 00:03:21.560]  或者可能好一點點可能會想
[00:03:21.560 --> 00:03:25.400]  最重要或者最多人記得的就是過紅海囉
[00:03:25.400 --> 00:03:29.960]  那麼都是在想一些令人印象深刻的大事
[00:03:29.960 --> 00:03:34.160]  但是其實出埃及記最重要的整個主題
[00:03:34.160 --> 00:03:36.840]  它是講的是在西賴山納約
[00:03:36.840 --> 00:03:40.560]  以色列人和耶和華去納約的這件事
[00:03:40.560 --> 00:03:44.520]  講的是他們因為跟神納約之後
[00:03:44.520 --> 00:03:50.840]  以色列人正正式式地從前是埃及奴隸的身份
[00:03:50.840 --> 00:03:53.600]  真真正正地成為一個神的子民
[00:03:53.600 --> 00:03:56.080]  那麼這裡講的是為什麼納約這麼重要
[00:03:56.080 --> 00:04:00.960]  就是因為這是他們身份轉換的一個很重要的時候
[00:04:00.960 --> 00:04:05.840]  是他們整個民族的身份得到被神認同
[00:04:05.840 --> 00:04:09.880]  又或者可以說是被神確立的一個時候
[00:04:09.880 --> 00:04:12.440]  所以我們就看今天的《經文之先》
[00:04:12.440 --> 00:04:13.840]  我們先祈禱
[00:04:13.840 --> 00:04:14.880]  差點忘記了
[00:04:14.880 --> 00:04:15.840]  好
[00:04:15.840 --> 00:04:16.840]  天父上帝多謝祢
[00:04:16.840 --> 00:04:23.160]  多謝祢因為祢是親自與人納約的那個上帝
[00:04:23.160 --> 00:04:26.040]  所以神啊我們求祢幫助我們
[00:04:26.040 --> 00:04:28.680]  我們因著祢的緣故
[00:04:28.680 --> 00:04:31.080]  我們能夠有福份成為祢的子民
[00:04:31.080 --> 00:04:34.920]  祢讓我們同樣有福份可以在聖經裡面
[00:04:34.920 --> 00:04:36.760]  在祢的話語當中
[00:04:36.760 --> 00:04:38.400]  我們知道祢更多
[00:04:38.400 --> 00:04:43.440]  所以神啊求祢這樣繼續透過祢的說話去祝福我們
[00:04:43.440 --> 00:04:46.160]  讓我們更深的認識祢
[00:04:46.160 --> 00:04:47.800]  感謝天父聽我們吐個交托
[00:04:47.800 --> 00:04:49.840]  奉耶穌居得聖名之祈禱
