
[00:00:00.000 --> 00:00:03.400]  請你打開聖經的《約書亞記》第八章
[00:00:03.400 --> 00:00:05.080]  當你看第八章的時候
[00:00:05.080 --> 00:00:09.120]  你會發覺將會有一個問題會發問的
[00:00:09.120 --> 00:00:16.280]  究竟《約書亞記》的作者將這兩個歷史片段記載在這裡的時候
[00:00:16.280 --> 00:00:21.520]  究竟有什麼特別的意義要跟讀者去宣講的呢?
[00:00:21.520 --> 00:00:26.760]  因為我們看到的第一件事是再一次的攻打艾城
[00:00:26.760 --> 00:00:32.320]  完了之後就是去到以巴魯山和基里森山
[00:00:32.320 --> 00:00:37.880]  在那個地方宣讀神的律法和憲制
[00:00:37.880 --> 00:00:41.560]  整體我們的結論是今天的主題
[00:00:41.560 --> 00:00:45.560]  就是同神建立關係比爭戰更加重要
[00:00:45.560 --> 00:00:49.400]  同神建立關係比爭戰更加重要
[00:00:49.400 --> 00:00:52.840]  我們看看在第八章的第一節
[00:00:52.840 --> 00:00:55.600]  當艾城攻打失敗之後
[00:00:55.600 --> 00:01:00.240]  整個以色列民的心都驚慌
[00:01:00.240 --> 00:01:02.920]  要重振軍心
[00:01:02.920 --> 00:01:06.520]  要重拾信心
[00:01:06.520 --> 00:01:08.640]  並不是容易的事情
[00:01:08.640 --> 00:01:11.160]  在這裡耶和華就對約書亞說
[00:01:11.160 --> 00:01:13.280]  不要懼怕也不要驚慌
[00:01:13.280 --> 00:01:14.200]  你起來
[00:01:14.200 --> 00:01:18.720]  率領所有作戰的士兵上艾城去
[00:01:18.720 --> 00:01:20.760]  耶和華說一句話很簡單
[00:01:20.760 --> 00:01:22.880]  但是不是這麼容易可以做得到呢?
[00:01:22.880 --> 00:01:27.040]  我們往往看到先知遇到上帝的時候
[00:01:27.040 --> 00:01:29.760]  上帝的榮光大能降臨的時候
[00:01:29.760 --> 00:01:31.360]  先知就好像死了一樣
[00:01:31.360 --> 00:01:32.960]  伏伏在地上
[00:01:32.960 --> 00:01:37.360]  但當神的說話一要展開的時候
[00:01:37.360 --> 00:01:39.520]  先知就得著能力
[00:01:39.520 --> 00:01:42.760]  有先知甚至上帝要吩咐他張開嘴巴
[00:01:42.760 --> 00:01:45.680]  把他的書卷吞下去
[00:01:45.680 --> 00:01:47.040]  有先知經歷的
[00:01:47.040 --> 00:01:48.480]  是先甜後苦的
[00:01:48.480 --> 00:01:49.760]  有先知經歷的
[00:01:49.760 --> 00:01:51.600]  是先苦後甜的
