
[00:00:00.000 --> 00:00:02.760]  好 我們現在看回這件事情
[00:00:02.760 --> 00:00:05.040]  史詩統治的時候
[00:00:05.040 --> 00:00:06.480]  國中有饑荒
[00:00:06.480 --> 00:00:08.280]  我們現在再問一下這個饑荒
[00:00:08.280 --> 00:00:11.240]  究竟是否關他們上帝審判的事
[00:00:11.240 --> 00:00:14.480]  其中一個clue可以想的就是
[00:00:14.480 --> 00:00:17.120]  伯利恆
[00:00:17.120 --> 00:00:21.880]  伯利恆是一個很重要的地方
[00:00:21.880 --> 00:00:25.000]  伯利恆其實原文的意思
[00:00:25.000 --> 00:00:27.760]  英國人的意思是Bethlehem
[00:00:27.760 --> 00:00:30.200]  Beth就是屋House
[00:00:30.200 --> 00:00:31.920]  Laham就是bread
[00:00:31.920 --> 00:00:33.000]  House of bread
[00:00:33.000 --> 00:00:35.720]  所以故事一開始的時候很搞笑
[00:00:35.720 --> 00:00:38.040]  就是House of bread have no bread
[00:00:38.040 --> 00:00:41.760]  就是一個麪包之城是沒有面包的
[00:00:41.760 --> 00:00:45.360]  所以這件事其實對於以色人來說
[00:00:45.360 --> 00:00:47.440]  已經可以引發他們想
[00:00:47.440 --> 00:00:49.160]  上帝在審判他們
[00:00:49.160 --> 00:00:51.560]  而上帝的審判是絕對有道理的
[00:00:51.560 --> 00:00:53.800]  因爲他們當時是史詩的時候
[00:00:53.800 --> 00:00:59.520]  因爲他們當時正在做眼睜開門
[00:00:59.520 --> 00:01:02.120]  對耶和華眼睜開門是錯的事情
[00:01:02.120 --> 00:01:04.520]  不過你還要想多一層
[00:01:04.520 --> 00:01:06.920]  就是說通常在史詩記裏面
[00:01:06.920 --> 00:01:08.440]  當他們正在做這些事情的時候
[00:01:08.440 --> 00:01:09.960]  耶和華會做什麼呢
[00:01:09.960 --> 00:01:14.440]  會興起這些外邦人去攻擊他們
[00:01:14.440 --> 00:01:16.440]  爲了什麼呢
[00:01:16.440 --> 00:01:18.440]  爲了他想他們迴轉
[00:01:18.440 --> 00:01:21.280]  所以你都可以正面地看這個饑荒
[00:01:21.280 --> 00:01:22.880]  是想他們迴轉的
[00:01:22.880 --> 00:01:25.720]  所以如果下次你遇到饑荒的時候
[00:01:25.720 --> 00:01:27.120]  就是這個案子
[00:01:27.120 --> 00:01:30.440]  他們當時應該正確的動作是什麼呢
[00:01:30.440 --> 00:01:32.600]  迴轉
[00:01:32.600 --> 00:01:33.920]  求耶和華念晚
[00:01:33.920 --> 00:01:35.200]  求耶和華祝福
[00:01:35.200 --> 00:01:36.520]  這樣就搞定了
[00:01:36.520 --> 00:01:38.200]  離開認祂之地
[00:01:38.200 --> 00:01:40.800]  本身這個就是一個很錯的問題
[00:01:40.800 --> 00:01:45.960]  我再給你多一個角度
[00:01:45.960 --> 00:01:49.520]  史詩統治的時候
[00:01:49.520 --> 00:01:51.240]  是饑荒的時候
[00:01:52.680 --> 00:01:56.520]  如果上個學期有和我讀過史詩記的同學知道
[00:01:56.520 --> 00:01:59.520]  史詩記我們去到
[00:01:59.520 --> 00:02:02.400]  史詩的工作除了是打仗之外
[00:02:02.400 --> 00:02:05.600]  還是要帶領以色列人去敬拜上帝
[00:02:05.600 --> 00:02:06.440]  而這些史詩
[00:02:06.440 --> 00:02:07.200]  因爲有十二個
[00:02:07.200 --> 00:02:08.480]  一個比一個差
[00:02:08.480 --> 00:02:10.280]  全部都是差的
[00:02:10.280 --> 00:02:11.480]  我說的是什麼呢
[00:02:11.480 --> 00:02:14.600]  史詩沒有做好一個先知的工作
[00:02:14.600 --> 00:02:17.320]  帶領以色列人歸向上帝
[00:02:17.320 --> 00:02:18.920]  反而他自己
[00:02:18.920 --> 00:02:20.520]  最後的Stanson
[00:02:20.520 --> 00:02:23.120]  參選最喜歡就是見到一個美女
[00:02:23.120 --> 00:02:24.440]  都不知道美不美
[00:02:24.440 --> 00:02:26.840]  就說喜歡因爲她是外邦人
[00:02:26.840 --> 00:02:28.160]  鬼妹
[00:02:28.160 --> 00:02:30.680]  於是他其實在做什麼呢
[00:02:30.680 --> 00:02:33.400]  在耶和華自己眼中看爲對的事情
