
[00:00:00.000 --> 00:00:02.360]  我不知道大家的心情是怎樣
[00:00:02.360 --> 00:00:06.140]  可能你會覺得,回教會這麼久,12月是最忙的了
[00:00:06.140 --> 00:00:10.120]  現在忙完之後呢,我們又要進入新的一年
[00:00:10.120 --> 00:00:14.020]  其實有時自己做傳道目者呢
[00:00:14.020 --> 00:00:16.940]  都可能會有時有個心態
[00:00:16.940 --> 00:00:19.880]  哎呀,好累啊,好辛苦啊
[00:00:19.880 --> 00:00:23.840]  好想找個洞捐
[00:00:23.840 --> 00:00:27.900]  好想不見人,好想不跟人說話
[00:00:27.900 --> 00:00:31.740]  有時我會想,爲什麼我會有這些心呢
[00:00:31.740 --> 00:00:36.220]  其實真是,我不知道你們怎麼想
[00:00:36.220 --> 00:00:42.660]  其實是容許的,我們都是在一個很忙碌的情況裏面
[00:00:42.660 --> 00:00:48.740]  但是呢,其實今天早上,我想今天這個訊息其實很特別
[00:00:48.740 --> 00:00:53.500]  因爲我原本想這個訊息都是延續着聖誕節
[00:00:53.500 --> 00:00:55.420]  耶穌基督降生
[00:00:55.420 --> 00:00:59.980]  對我們的關係,還有對我們今天的影響
[00:00:59.980 --> 00:01:03.420]  但是當我一去看那段經文
[00:01:03.420 --> 00:01:08.780]  再去結合最近在生命裏面的一些體會的時候
[00:01:08.780 --> 00:01:11.820]  我就轉了個方向
[00:01:11.820 --> 00:01:15.820]  我就不是看耶穌基督的降生對我們的影響
[00:01:15.820 --> 00:01:20.540]  而是我看今天我們作爲神的兒女
[00:01:20.540 --> 00:01:25.500]  究竟我們是活在一個什麼樣的生活裏面呢
[00:01:25.500 --> 00:01:29.180]  我是活在一個奴隸的心態呢
[00:01:29.180 --> 00:01:32.780]  還是活在兒子的心態裏面呢
[00:01:32.780 --> 00:01:36.700]  爲什麼你突然間會這麼說,我覺得這個很有意思
[00:01:36.700 --> 00:01:42.380]  因爲如果我經常覺得我的侍奉越侍奉越乏力越困難的時候
[00:01:42.380 --> 00:01:47.500]  很可能我是活在一個奴隸的心態裏面
[00:01:47.500 --> 00:01:50.540]  不能不去做,因爲這些是需要做的
[00:01:50.540 --> 00:01:52.700]  因爲這些是聖經教導我們要去做的
[00:01:52.700 --> 00:01:54.140]  不能不去做
[00:01:54.140 --> 00:01:57.820]  但是你這樣去堅持的話,你會越來越累
[00:01:57.820 --> 00:01:59.500]  你會越來越辛苦
[00:01:59.500 --> 00:02:02.940]  但是反過來,如果你有一個兒子的心的時候
[00:02:02.940 --> 00:02:05.420]  你就會開始明白
[00:02:05.420 --> 00:02:09.180]  我們做的一切其實都有一個心願
[00:02:09.180 --> 00:02:14.140]  就是希望神祂喜悅
[00:02:14.140 --> 00:02:19.100]  聖經裏面有一個故事,我相信大家都很熟悉
[00:02:19.100 --> 00:02:23.100]  在《路加福音》第十五章十一至三十二節裏面
[00:02:23.100 --> 00:02:26.540]  講到一個叫浪子的比喻
[00:02:26.540 --> 00:02:31.020]  浪子的比喻其實不是很貼切的
[00:02:31.020 --> 00:02:37.100]  因爲我們經常以爲焦點就是在講那個小兒子
[00:02:37.100 --> 00:02:41.020]  你記不記得這個故事,不過我也想講一講
[00:02:41.020 --> 00:02:42.700]  這個故事可能大家都知道
[00:02:42.700 --> 00:02:45.500]  一個人,耶穌說的,有兩個兒子
[00:02:45.500 --> 00:02:47.820]  那個小兒子對他爸爸說
[00:02:47.820 --> 00:02:51.580]  "爸爸,請你將我應得的家產分給我"
[00:02:51.580 --> 00:02:54.860]  接着他的爸爸就將家產分給他
[00:02:54.860 --> 00:02:57.420]  其實是沒什麼可能發生的
[00:02:57.420 --> 00:03:00.300]  分家產,爸爸都尚在
[00:03:00.300 --> 00:03:04.300]  爸爸都沒過生,怎麼會分家產給你
[00:03:04.300 --> 00:03:08.380]  但是很奇怪,所以這個耶穌所講的比喻是很特別的
[00:03:08.380 --> 00:03:11.820]  因爲他違背當時一個正常的情況
[00:03:11.820 --> 00:03:16.300]  無論如何,怎麼也好,爸爸將家產分給他之後
[00:03:16.300 --> 00:03:19.980]  誰知道過了幾天,他就將所有的家產
[00:03:19.980 --> 00:03:24.700]  他的錢都拿起來,走了去遠方
[00:03:24.700 --> 00:03:29.180]  他在那裏怎樣,聖經說他任意放蕩浪費資財
[00:03:29.180 --> 00:03:33.660]  他們去喫喝玩樂
[00:03:33.660 --> 00:03:37.660]  最後他沒有錢了
[00:03:37.660 --> 00:03:41.740]  遇到那個地方饑荒,窮困起來
[00:03:41.740 --> 00:03:46.860]  他就去投靠當地的居民
[00:03:46.860 --> 00:03:49.100]  那個人就叫他
[00:03:49.100 --> 00:03:52.460]  "我們沒什麼崗位給你了"
[00:03:52.460 --> 00:03:58.220]  "不過我有一份餵豬的工作,你做不做?"
[00:03:58.220 --> 00:03:59.740]  餵豬?
[00:03:59.740 --> 00:04:03.900]  猶太人說到餵豬,其實是覺得很侮辱的
[00:04:03.900 --> 00:04:06.540]  因爲他們覺得豬是不結症的
[00:04:06.540 --> 00:04:10.460]  但是這個小兒子去到一個境況就是
[00:04:10.460 --> 00:04:16.220]  他在餵豬的時候,他差不多連豬哨都想拿來喫
[00:04:16.220 --> 00:04:20.780]  他落在一個很低沉的情況裏面
[00:04:20.780 --> 00:04:22.700]  他就想起
[00:04:22.700 --> 00:04:27.740]  "我爸爸有很多的故宮,我爸爸有很多的糧食"
[00:04:27.740 --> 00:04:31.340]  "爲什麼我要在這裏餓死呢?"
[00:04:31.340 --> 00:04:35.340]  "好,我要起身,我要去到我父親那裏對他說"
[00:04:35.340 --> 00:04:38.140]  "父親啊,我得罪了天,也得罪了你"
[00:04:38.140 --> 00:04:44.380]  "從今以後,我不配稱爲你的兒子,你就當我是一個工人吧"
[00:04:44.380 --> 00:04:48.700]  這個故事就很熟悉了
[00:04:48.700 --> 00:04:51.420]  在這個小兒子回去的時候
[00:04:51.420 --> 00:04:57.900]  那個爸爸就已經想着伸開雙手跑去抱着他
[00:04:57.900 --> 00:04:59.740]  你又要想一下
[00:04:59.740 --> 00:05:01.900]  爸爸都不是一個年紀很輕的人
[00:05:01.900 --> 00:05:04.540]  他穿着長袍,一個有身份的人
[00:05:04.540 --> 00:05:06.060]  他都不顧自己的身份
[00:05:06.060 --> 00:05:11.820]  看到自己的兒子,都趕緊跑去抱着他
[00:05:11.820 --> 00:05:13.660]  我們看到
[00:05:13.660 --> 00:05:15.980]  好開心,好開心
[00:05:15.980 --> 00:05:17.580]  這個兒子就對爸爸說
[00:05:17.580 --> 00:05:20.060]  "爸爸啊,我得罪了天,也得罪了你"
[00:05:20.060 --> 00:05:23.500]  "從今以後,我不配稱爲你的兒子"
[00:05:23.500 --> 00:05:26.300]  但是反過來,這個爸爸就和那個僕人說
