
[00:00:00.000 --> 00:00:05.760]  我們讀兩節的聖經在菲律賓書第二章第十五到第十六節
[00:00:05.760 --> 00:00:07.260]  我們就一同來念好不好
[00:00:07.260 --> 00:00:08.760]  兩節的聖經來
[00:00:08.760 --> 00:00:10.460]  使你們無可指責
[00:00:10.460 --> 00:00:11.920]  誠實無偽
[00:00:11.920 --> 00:00:13.860]  在這彎曲被謬的世代
[00:00:13.860 --> 00:00:16.320]  作神無瑕疵的兒女
[00:00:16.320 --> 00:00:20.760]  你們顯在這世代中好像明光照耀
[00:00:20.760 --> 00:00:23.200]  將生命的道表明出來
[00:00:23.200 --> 00:00:25.520]  叫我在基督的日子好誇
[00:00:25.520 --> 00:00:28.200]  我沒有空跑也沒有徒勞
[00:00:28.200 --> 00:00:30.560]  我們就讀到這裡
[00:00:30.560 --> 00:00:32.860]  感謝神這兩天我們
[00:00:32.860 --> 00:00:35.660]  北美陵梁青年領袖特會
[00:00:35.660 --> 00:00:38.160]  一共有三百多弟兄姊妹
[00:00:38.160 --> 00:00:40.960]  從二十幾間分堂來參加
[00:00:40.960 --> 00:00:43.860]  我想這一次特會是很特別
[00:00:43.860 --> 00:00:47.900]  因為我們刻意的沒有請外來的講員
[00:00:47.900 --> 00:00:50.100]  因為我們真的看見這些年
[00:00:50.100 --> 00:00:53.160]  神真的在我們北美陵梁大家庭當中
[00:00:53.160 --> 00:00:56.400]  興起了許多年輕的牧者
[00:00:56.400 --> 00:00:58.360]  他們個個有夢想
[00:00:58.360 --> 00:00:59.760]  個個有熱情
[00:00:59.760 --> 00:01:01.560]  而且個個能講
[00:01:01.560 --> 00:01:03.460]  比我年輕時代更加有火
[00:01:03.460 --> 00:01:04.120]  哈利路亞
[00:01:04.120 --> 00:01:05.000]  感謝神
[00:01:05.000 --> 00:01:12.220]  我相信這幾天透過信息
[00:01:12.220 --> 00:01:14.400]  透過很多精彩的活動
[00:01:14.400 --> 00:01:17.820]  每一位弟兄姊妹真的有豐富的得著
[00:01:17.820 --> 00:01:19.960]  我也相信復興的火焰
[00:01:19.960 --> 00:01:21.520]  一定能夠從我們中間
[00:01:21.520 --> 00:01:22.660]  帶回到每一個分堂
[00:01:22.660 --> 00:01:27.120]  哈利路亞 讚美我們的神
[00:01:27.120 --> 00:01:29.320]  在這裡我要特別特別感謝
[00:01:29.320 --> 00:01:30.960]  我們教會的弟兄姊妹
[00:01:30.960 --> 00:01:33.260]  我知道除了大會同工之外
[00:01:33.260 --> 00:01:36.200]  有很多弟兄姊妹是義務來幫忙
[00:01:36.200 --> 00:01:40.160]  專程來幫忙做飯弄奶茶一大堆
[00:01:40.160 --> 00:01:41.660]  這種東西來照顧
[00:01:41.660 --> 00:01:43.660]  讓每一個參加弟兄姊妹
[00:01:43.660 --> 00:01:44.920]  真的賓至如歸
[00:01:44.920 --> 00:01:48.120]  我相信你們在神面前的擺上神秘紀念
[00:01:48.120 --> 00:01:49.860]  為你們欣賞感謝每一位
[00:01:53.660 --> 00:01:55.920]  弟兄姊妹我相信我們都渴望
[00:01:55.920 --> 00:01:59.300]  神的復興能夠降臨在我們中間
[00:01:59.300 --> 00:02:00.660]  我記得有一次
[00:02:00.660 --> 00:02:02.960]  喬治爾·蒂斯牧師
[00:02:02.960 --> 00:02:04.760]  聽他的分享的時候
[00:02:04.760 --> 00:02:06.760]  他就講到說每一次
[00:02:06.760 --> 00:02:08.800]  他聽見有人說主啊
[00:02:08.800 --> 00:02:11.360]  求你來復興我們的時候
[00:02:11.360 --> 00:02:14.560]  他直覺上第一個反應就是
[00:02:14.560 --> 00:02:16.760]  為什麼
[00:02:16.760 --> 00:02:19.320]  為什麼神要復興我們呢
[00:02:19.320 --> 00:02:21.000]  你們想過這個問題
[00:02:21.000 --> 00:02:22.760]  難道是為了
[00:02:22.760 --> 00:02:25.160]  是讓我們得滿足嗎
[00:02:25.160 --> 00:02:29.160]  難道是為了讓我們可以向別人誇耀嗎
[00:02:29.160 --> 00:02:31.060]  我相信都不是
[00:02:31.060 --> 00:02:33.660]  那為什麼神要來復興我們呢
[00:02:33.660 --> 00:02:36.060]  我相信神的心意是要在這個地上
[00:02:36.060 --> 00:02:37.960]  為他名的緣故
[00:02:37.960 --> 00:02:41.160]  要興起一支極大的軍隊
[00:02:41.160 --> 00:02:42.960]  來見證他的榮耀
[00:02:42.960 --> 00:02:44.560]  來轉化這個世代
[00:02:44.560 --> 00:02:45.720]  你們
[00:02:45.720 --> 00:02:47.700]  而這支軍隊不只是
[00:02:47.700 --> 00:02:49.360]  包括全職傳道人
[00:02:49.360 --> 00:02:52.260]  更是包括每一位平信徒
[00:02:52.260 --> 00:02:56.620]  跟你朋友說就包括你也跟他說
[00:02:56.620 --> 00:02:59.460]  無論你是屬於上個世代下個世代
[00:02:59.460 --> 00:03:03.460]  我告訴你我們都活在這個世代
[00:03:03.460 --> 00:03:06.000]  你就是神在這個世代
[00:03:06.000 --> 00:03:08.560]  所要使用的一支軍隊
[00:03:08.560 --> 00:03:10.600]  能夠影響這個世代
[00:03:10.600 --> 00:03:12.620]  能夠轉化這個世界
[00:03:12.620 --> 00:03:13.560]  你們
[00:03:13.560 --> 00:03:15.400]  那你說我們要怎麼樣
[00:03:15.400 --> 00:03:17.760]  能夠在今天這樣一個世代
[00:03:17.760 --> 00:03:21.760]  成為一個影響世代的器皿呢
[00:03:21.760 --> 00:03:23.360]  今天早上從三方面跟大家分享
[00:03:23.360 --> 00:03:24.620]  第一個
[00:03:24.620 --> 00:03:26.900]  我們一定要活出真實的信仰
[00:03:26.900 --> 00:03:31.600]  跟你們說要活出真實的信仰
[00:03:31.600 --> 00:03:33.700]  在剛才我們所讀的那段聖經當中
[00:03:33.700 --> 00:03:36.520]  保羅很清楚地勸勉我們
[00:03:36.520 --> 00:03:37.800]  今天當我們面對這樣一個
[00:03:37.800 --> 00:03:40.220]  充滿黑暗跟罪惡的世代
[00:03:40.220 --> 00:03:42.820]  我們其實一點不需要埋怨
[00:03:42.820 --> 00:03:45.860]  也不需要驚慌跟恐懼
[00:03:45.860 --> 00:03:49.760]  保羅說我們活在這樣彎曲背謬的世代
[00:03:49.760 --> 00:03:53.360]  我們要竭力活出生命的到來
[00:03:53.360 --> 00:03:54.860]  你們
[00:03:54.860 --> 00:03:56.300]  第二點我們看見
[00:03:56.300 --> 00:03:57.920]  在這樣一個世代裡面
[00:03:57.920 --> 00:04:00.460]  我們真的渴望看見
[00:04:00.460 --> 00:04:03.160]  神的榮耀的降臨在我們中間
[00:04:03.160 --> 00:04:06.200]  我們渴望神的靈在我們身上來工作
[00:04:06.200 --> 00:04:08.700]  我們也渴望在我們生命當中
[00:04:08.700 --> 00:04:12.360]  能夠看見真實的生命的見證
[00:04:12.360 --> 00:04:13.560]  這個世代其實
[00:04:13.560 --> 00:04:15.520]  雖然無論你覺得這個世代
[00:04:15.520 --> 00:04:16.920]  多麼黑暗
[00:04:16.920 --> 00:04:18.860]  你覺得世代充滿罪惡
[00:04:18.860 --> 00:04:20.260]  可是我告訴你
[00:04:20.260 --> 00:04:23.100]  在世人心靈的深處
[00:04:23.100 --> 00:04:24.720]  他們還是有個渴望
[00:04:24.720 --> 00:04:28.120]  看見一些真實生命的見證的
[00:04:28.120 --> 00:04:29.200]  特別在這樣一個
[00:04:29.200 --> 00:04:30.800]  千變萬化的世代當中
